gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT3G19450,7228,12790,6170,4240,6756,4180
AT3G19460,897,1468,863,1376,1474,1236
AT3G19470,200,293,276,404,366,333
AT3G19480,1412,2098,909,2000,2064,1174
AT3G19490,2875,3833,2584,4188,4419,4023
AT3G19500,70,60,79,64,61,106
AT3G19508,512,510,324,424,447,338
AT3G19510,1053,1430,1041,1547,1561,1481
AT3G19515,1392,2057,1130,2149,2282,1646
AT3G19520,1825,3442,1726,3465,3555,2519
AT3G19530,2,2,2,10,21,12
AT3G19540,1572,2697,1364,1555,1596,1227
AT3G19550,14,2,22,4,12,5
AT3G19553,1004,2218,1110,2520,1870,1507
AT3G19560,0,0,0,0,0,0
AT3G19570,766,1302,668,1131,1090,800
AT3G19580,378,1010,305,1775,4198,1800
AT3G19590,694,807,590,767,932,728
AT3G19595,0,0,2,4,8,2
AT3G19600,0,0,0,0,0,0
AT3G19610,0,0,2,0,0,0
AT3G19615,50,91,91,180,115,46
AT3G19620,301,657,326,1048,1962,1703
AT3G19630,1569,2130,1247,1928,1827,1559
AT3G19640,1580,2961,1628,3105,3545,2645
AT3G19650,881,1312,835,1100,1152,1056
AT3G19660,524,733,599,843,513,450
AT3G19663,7,0,6,13,4,7
AT3G19670,1678,2466,1529,2669,2393,2135
AT3G19680,1678,4198,2049,8303,4337,2631
AT3G19690,28,50,40,146,41,48
AT3G19700,947,805,1167,673,457,1145
AT3G19710,3998,4069,5965,2598,2619,5870
AT3G19720,2833,4990,2491,3926,4347,3166
AT3G19740,2711,4108,2686,3346,3567,3105
AT3G19760,6725,12428,6359,8857,10795,7575
AT3G19770,978,1434,1039,1923,1703,1545
AT3G19780,978,1378,998,1678,1480,1408
AT3G19790,635,904,576,1167,1044,962
AT3G19800,2099,3642,1487,3756,3793,2344
AT3G19810,2375,3069,1608,2689,2540,1710
AT3G19820,12242,15545,10995,15272,15043,11490
AT3G19830,1850,3102,1506,2397,2766,2047
AT3G19840,1171,1706,1242,1561,1318,1306
AT3G19850,1173,1584,829,1321,595,475
AT3G19860,1926,3061,1597,4728,3112,2054
AT3G19870,1318,1920,1297,2334,2148,1841
AT3G19880,0,0,0,0,0,0
AT3G19890,0,0,0,0,0,0
AT3G19895,810,1247,634,1517,1659,1332
AT3G19900,2479,3713,1653,6080,5143,4761
AT3G19910,1989,3187,1637,4971,5222,3605
AT3G19920,14,33,14,25,36,14
AT3G19930,4040,10751,4817,4781,2853,2600
AT3G19940,0,0,2,6,2,7
AT3G19950,1169,2138,1057,2187,2761,1916
AT3G19960,2276,3204,1943,3711,2992,2694
AT3G19970,453,1185,484,994,1295,817
AT3G19980,1701,2536,1621,2619,3057,2378
AT3G19990,840,1380,690,2104,2230,1309
AT3G20000,5631,8739,5494,5011,5333,5227
AT3G20010,1208,1691,1228,1460,1256,1270
AT3G20015,412,479,454,425,362,624
AT3G20020,706,1173,763,948,881,720
AT3G20030,0,0,0,0,0,0
AT3G20040,300,425,303,543,392,428
AT3G20050,10156,15428,9643,9015,10091,9698
AT3G20060,3635,6385,2748,8343,8575,5407
AT3G20070,495,617,415,631,550,440
AT3G20080,766,944,637,1298,1353,1206
AT3G20090,260,256,197,298,284,230
AT3G20100,756,949,762,1746,2472,2476
AT3G20110,248,303,318,80,40,55
AT3G20120,586,673,457,966,1070,899
AT3G20130,134,176,109,149,148,184
AT3G20140,10,10,0,30,41,36
AT3G20150,840,883,742,660,669,712
AT3G20155,0,0,1,0,0,0
AT3G20160,2,11,19,4,0,10
AT3G20170,305,642,335,605,626,431
AT3G20180,6,18,8,7,8,14
AT3G20190,8,6,7,6,4,12
AT3G20200,344,296,171,302,370,279
AT3G20210,119,107,54,144,92,82
AT3G20220,94,81,40,125,66,57
AT3G20230,4718,5660,3098,6081,4677,3394
AT3G20240,1112,1328,972,675,724,937
AT3G20250,1526,2512,1608,4317,5204,3718
AT3G20260,881,984,775,790,873,864
AT3G20270,1147,1913,795,2082,2870,1959
AT3G20280,530,652,468,596,537,527
AT3G20290,2658,4329,2681,5914,5883,5175
AT3G20300,748,1872,564,3475,9256,5531
AT3G20310,1544,2653,1378,2799,4343,3214
AT3G20320,2117,3159,1828,2977,3035,2429
AT3G20330,3343,5397,3473,3119,3990,3590
AT3G20340,202,237,322,390,402,639
AT3G20350,1171,1846,1072,1305,1253,1049
AT3G20360,41,127,44,39,96,109
AT3G20362,1,0,0,0,0,0
AT3G20365,0,0,0,0,0,0
AT3G20370,4232,7584,4050,6952,8558,8800
AT3G20380,115,152,291,6,9,4
AT3G20390,7676,11801,8709,11968,10854,11314
AT3G20395,527,1732,528,2540,411,127
AT3G20400,0,2,0,0,0,2
AT3G20410,2334,4696,2963,3425,3264,2722
AT3G20420,104,248,92,331,302,232
AT3G20430,932,1255,872,1084,922,820
AT3G20440,2540,2343,1748,1850,886,1140
AT3G20450,70,91,72,73,78,112
AT3G20460,27,39,60,13,30,27
AT3G20470,2726,2232,2537,6653,4900,6479
AT3G20475,55,106,102,134,127,133
AT3G20480,113,199,78,151,167,123
AT3G20490,492,778,489,564,736,613
AT3G20500,1155,1912,1253,3068,3553,3075
AT3G20510,960,1640,1234,1443,1577,1384
AT3G20520,13,24,15,30,32,42
AT3G20530,10,28,2,9,16,20
AT3G20540,2337,3853,2111,2526,2227,1902
AT3G20550,1181,1686,1012,1979,1788,1472
AT3G20555,0,2,2,1,0,0
AT3G20557,21,29,10,2,2,10
AT3G20560,802,1347,853,1297,1341,1360
AT3G20570,675,727,604,718,698,785
AT3G20580,3,5,4,1,6,4
AT3G20590,58,59,51,9,2,18
AT3G20600,436,875,354,419,556,279
AT3G20610,0,0,4,0,0,0
AT3G20620,611,1005,573,1036,1336,1265
AT3G20630,2831,4483,2730,4665,4951,3957
AT3G20640,193,274,245,168,164,224
AT3G20650,842,1441,860,1475,1516,1151
AT3G20655,0,0,0,1,0,0
AT3G20660,340,637,324,1477,1036,893
AT3G20670,1842,2289,1629,2355,2054,1750
AT3G20680,1393,2263,925,2346,2160,1218
AT3G20690,0,0,0,0,0,0
AT3G20700,0,0,1,0,0,0
AT3G20710,38,32,23,39,21,32
AT3G20720,1454,2260,1423,2537,3095,2719
AT3G20730,364,469,269,427,404,374
AT3G20740,1182,1845,1043,1365,1710,1419
AT3G20750,0,0,2,0,0,0
AT3G20760,2,63,0,8,82,1
AT3G20770,5698,10610,5010,12226,11897,8038
AT3G20780,691,831,617,852,841,712
AT3G20790,1815,2985,1415,2932,3065,2199
AT3G20800,1535,2399,1299,2108,1950,1750
AT3G20810,2238,1718,1856,5417,1828,3386
AT3G20820,3246,6987,1978,5344,8114,4454
AT3G20830,178,254,183,294,433,311
AT3G20840,122,105,76,57,35,40
AT3G20850,3,0,12,8,2,9
AT3G20860,530,654,524,940,1460,1232
AT3G20865,24,30,24,33,16,25
AT3G20870,1240,1761,1123,1716,1916,1556
AT3G20880,12,12,10,8,5,13
AT3G20885,0,0,0,0,0,0
AT3G20890,519,799,457,703,738,539
AT3G20898,296,275,256,212,237,256
AT3G20900,183,175,161,131,159,141
AT3G20910,438,666,419,780,1059,753
AT3G20920,1711,2910,1771,3102,3329,2593
AT3G20930,1376,1883,1043,1885,1765,1223
AT3G20935,43,25,37,16,8,24
AT3G20940,52,56,90,12,19,48
AT3G20950,0,0,0,0,0,0
AT3G20960,148,220,167,262,115,215
AT3G20966,0,0,0,0,0,0
AT3G20970,1306,2244,1353,1760,1717,1526
AT3G20978,20,26,30,14,18,26
AT3G20980,1,0,0,0,0,0
AT3G20993,0,0,0,0,0,0
AT3G20997,0,0,0,0,0,0
AT3G21000,4,2,0,2,9,0
AT3G21055,15337,24574,8583,20087,21653,9919
AT3G21060,774,958,640,917,770,785
AT3G21070,1918,4143,2012,5603,4791,3959
AT3G21080,208,330,228,124,48,27
AT3G21090,125,309,199,689,539,423
AT3G21100,604,801,641,1071,909,932
AT3G21110,1805,2649,1373,1575,1768,1390
AT3G21120,0,0,0,0,0,0
AT3G21130,0,0,0,0,0,0
AT3G21140,1765,3566,1787,1549,1819,1344
AT3G21150,657,1213,298,152,2140,664
AT3G21160,1258,1821,1037,2092,2025,1604
AT3G21170,0,0,0,0,0,0
AT3G21175,1127,1697,969,1796,2029,1468
AT3G21180,76,101,81,71,20,45
AT3G21190,1062,2180,1274,1490,2121,1729
AT3G21200,4683,6855,3285,5753,5975,4002
AT3G21210,68,98,80,77,58,102
AT3G21215,2335,4079,2017,3738,3584,3023
AT3G21220,1905,3653,2216,2082,3747,2842
AT3G21230,731,1451,1658,1973,2122,2657
AT3G21240,1344,2261,2188,2310,2673,3392
AT3G21250,7103,14952,5387,11230,16245,10927
AT3G21260,730,1006,453,808,1063,764
AT3G21270,957,1598,715,1603,2072,1224
AT3G21280,651,994,550,1066,1075,945
AT3G21290,1088,1750,972,1875,1958,1505
AT3G21295,511,862,550,1064,1005,673
AT3G21300,1764,2047,1490,1536,1081,1234
AT3G21310,68,112,62,74,72,76
AT3G21320,9,6,11,17,8,19
AT3G21330,62,90,58,82,40,24
AT3G21338,0,0,0,0,0,0
AT3G21340,42,98,70,26,15,40
AT3G21350,908,1535,937,1894,1669,1401
AT3G21351,872,1195,890,281,349,244
AT3G21352,66,49,43,6,9,15
AT3G21360,236,508,224,600,711,360
AT3G21370,29,59,20,172,165,56
AT3G21371,0,0,0,0,0,0
AT3G21380,14,32,8,119,70,54
AT3G21390,896,1509,674,1026,1899,1198
AT3G21400,550,813,515,846,801,800
AT3G21410,0,0,0,0,0,0
AT3G21420,488,524,505,776,575,686
AT3G21430,1431,1999,1216,2843,2451,2166
AT3G21450,0,0,0,0,0,0
AT3G21460,4,18,5,12,4,4
AT3G21465,905,1433,868,840,1001,902
AT3G21470,79,175,96,98,94,110
AT3G21475,0,0,0,0,0,0
AT3G21480,743,1150,845,812,774,905
AT3G21490,2,1,0,2,0,3
AT3G21500,125,231,60,297,261,267
AT3G21510,776,704,910,1049,784,937
AT3G21520,82,114,78,390,502,342
AT3G21530,993,1516,864,1067,916,860
AT3G21540,2027,3678,2517,1399,1500,1576
AT3G21550,220,475,398,321,457,580
AT3G21560,3212,6664,2591,2519,10942,6621
AT3G21570,0,0,0,0,0,0
AT3G21580,830,1093,621,846,974,825
AT3G21590,1,0,0,0,0,0
AT3G21600,265,228,290,491,396,509
AT3G21610,980,1573,981,2264,2533,2292
AT3G21620,14,17,14,71,92,39
AT3G21630,1572,3317,1886,2662,2550,1907
AT3G21640,768,1310,696,1110,970,739
AT3G21650,830,1426,842,1758,1617,1222
AT3G21660,9,30,5,15,45,46
AT3G21670,1616,3383,1095,1876,7116,5280
AT3G21680,118,123,106,103,71,99
AT3G21690,9478,19813,7810,14449,22534,17594
AT3G21700,398,839,401,576,944,765
AT3G21710,305,293,312,893,519,679
AT3G21720,242,431,379,392,280,304
AT3G21730,0,0,0,0,0,0
AT3G21740,484,751,493,573,540,473
AT3G21750,1801,2584,1493,2932,4985,4222
AT3G21755,2748,3555,1456,2987,4649,3514
AT3G21760,2767,3560,1445,2961,4634,3497
AT3G21770,2671,2850,2611,2618,2442,2550
AT3G21780,513,1175,420,821,1077,379
AT3G21781,133,348,136,206,215,81
AT3G21790,1810,3072,1141,4222,4783,3051
AT3G21800,3,0,2,7,2,3
AT3G21805,29,68,52,33,22,33
AT3G21810,869,1204,841,1277,1175,1033
AT3G21820,1082,1764,1160,1090,970,971
AT3G21830,0,0,0,0,0,2
AT3G21840,8,2,0,2,0,0
AT3G21850,7,2,6,5,14,2
AT3G21860,2,2,3,4,0,2
AT3G21865,2787,4420,2506,5741,6921,5759
AT3G21870,297,512,177,484,419,171
AT3G21880,0,1,0,0,6,2
AT3G21890,123,181,69,38,1261,555
AT3G21900,0,0,0,0,0,0
AT3G21910,0,0,2,1,0,0
AT3G21920,0,0,0,0,0,0
AT3G21930,0,0,0,0,0,0
AT3G21940,0,0,0,0,1,0
AT3G21945,0,2,0,0,2,0
AT3G21950,313,742,188,477,717,264
AT3G21960,0,0,0,2,2,0
AT3G21970,0,0,0,0,0,0
AT3G21980,0,0,0,0,1,0
AT3G21990,0,0,0,0,0,0
AT3G22000,0,0,0,0,0,0
AT3G22010,0,0,1,0,0,0
AT3G22020,0,0,0,0,0,0
AT3G22022,0,0,0,0,0,0
AT3G22030,0,0,0,0,0,0
AT3G22040,0,0,0,0,0,0
AT3G22050,0,0,0,0,0,0
AT3G22053,0,0,0,0,0,0
AT3G22057,0,2,3,2,0,0
AT3G22060,3376,9078,6436,3833,4797,2934
AT3G22070,193,252,150,274,353,241
AT3G22072,193,252,150,274,353,241
AT3G22080,0,0,0,0,1,1
AT3G22090,2,25,2,8,20,14
AT3G22100,13,28,7,78,188,60
AT3G22104,848,1256,732,1225,1172,850
AT3G22110,4611,7952,3747,7646,9714,6366
AT3G22120,52188,51242,50875,58157,31284,36990
AT3G22121,31630,32096,31258,36042,20524,23480
AT3G22142,976,750,702,1166,920,1165
AT3G22150,1819,2244,1014,1980,1490,898
AT3G22160,895,2043,1101,776,1522,1211
AT3G22170,2679,4674,2701,5124,4608,4022
AT3G22180,496,620,480,519,446,508
AT3G22183,470,607,369,876,743,601
AT3G22190,1829,2771,1692,3704,3503,2641
AT3G22200,10207,15675,9132,34600,45338,38080
AT3G22210,4007,4342,2226,7107,6724,5488
AT3G22220,1098,1709,1144,1805,1880,1562
AT3G22230,10490,15797,10138,9100,9245,8231
AT3G22231,70,706,132,49,466,57
AT3G22235,273,1279,366,318,727,161
AT3G22240,661,767,1077,668,432,510
AT3G22250,0,6,8,0,4,4
AT3G22260,470,801,440,1098,827,701
AT3G22270,1771,2477,1606,2859,3505,3037
AT3G22275,6,12,30,7,8,51
AT3G22290,1713,3024,1851,3383,3462,3067
AT3G22300,1838,2681,1873,1788,1890,1886
AT3G22310,4060,6589,4663,2317,2693,2965
AT3G22320,5135,9181,5145,5446,5659,4795
AT3G22330,3576,6016,3759,3286,3841,3299
AT3G22345,0,0,0,0,0,0
AT3G22350,0,0,0,0,0,0
AT3G22360,0,4,4,2,0,0
AT3G22370,5003,12977,5722,11027,18380,10029
AT3G22380,9158,13111,7847,16692,18635,16275
AT3G22400,262,369,311,279,317,416
AT3G22410,121,240,134,226,324,329
AT3G22415,50,49,49,68,48,74
AT3G22420,1411,2569,1008,1541,1756,951
AT3G22421,0,0,0,0,0,0
AT3G22425,810,1437,755,1019,1075,790
AT3G22430,384,686,392,876,881,762
AT3G22436,0,0,1,0,2,1
AT3G22440,9450,12085,6909,17734,16888,13794
AT3G22450,143,117,126,194,120,92
AT3G22460,219,262,217,1197,535,620
AT3G22470,205,247,176,322,282,248
AT3G22480,1728,2844,1600,2157,2352,1822
AT3G22490,20,25,2,14,21,12
AT3G22500,0,0,0,0,0,2
AT3G22510,0,6,2,4,8,2
AT3G22520,1577,2799,1385,2328,2784,1949
AT3G22530,1504,2489,1101,1635,2851,1910
AT3G22540,75,63,54,13,16,29
AT3G22550,1282,2090,1328,4958,3320,3188
AT3G22560,15,23,15,167,266,298
AT3G22570,113,205,176,155,127,143
AT3G22580,0,0,0,0,0,0
AT3G22590,1088,1736,978,1379,1566,1196
AT3G22600,891,1158,1074,18872,17248,18101
AT3G22620,740,830,785,16254,14255,16212
AT3G22630,2110,3758,1979,3902,4297,3383
AT3G22640,0,6,2,4,4,4
AT3G22650,0,0,0,0,0,0
AT3G22660,3085,5320,3529,1541,1977,1929
AT3G22670,188,288,192,234,156,165
AT3G22680,649,1452,662,968,1065,876
AT3G22690,187,279,185,240,237,193
AT3G22700,11,16,14,8,6,0
AT3G22710,0,0,0,0,0,0
AT3G22720,0,0,0,0,0,0
AT3G22723,0,0,0,0,0,0
AT3G22730,0,0,0,0,0,0
AT3G22740,135,79,200,466,343,968
AT3G22750,1378,2171,1567,1813,2649,2065
AT3G22760,523,542,391,829,679,743
AT3G22770,21,26,12,8,10,22
AT3G22780,2180,3007,2203,2587,2241,2068
AT3G22790,1488,1617,1448,1793,1519,1771
AT3G22800,447,558,521,200,246,191
AT3G22810,343,425,283,439,414,402
AT3G22820,51,91,44,88,83,68
AT3G22830,101,70,50,2258,1360,1792
AT3G22840,5271,9564,1893,5581,11300,5707
AT3G22845,2991,5162,3421,5222,7080,6051
AT3G22850,2504,3663,2831,4620,5024,5113
AT3G22860,12,6,9,9,10,6
AT3G22870,0,0,0,0,2,0
AT3G22880,512,849,501,483,656,605
AT3G22886,43,69,57,106,26,21
AT3G22890,28101,68122,27615,34274,47105,30285
AT3G22900,102,135,89,148,139,124
AT3G22910,143,183,107,717,557,560
AT3G22920,0,0,0,0,0,0
AT3G22930,433,621,636,1039,1001,1335
AT3G22940,1,0,0,0,0,0
AT3G22942,807,1330,891,888,904,631
AT3G22950,1561,2802,1422,2180,3002,2010
AT3G22960,11660,16727,10837,19497,18960,15301
AT3G22961,6,13,13,44,26,27
AT3G22968,2636,3838,2378,4979,3558,3202
AT3G22970,2636,3838,2378,4979,3558,3202
AT3G22980,1216,2233,1049,2100,2110,1643
AT3G22990,1136,1738,1048,1714,1816,1477
AT3G23000,4893,8360,4354,4543,12103,6743
AT3G23010,48,100,44,113,77,51
AT3G23020,363,472,310,395,244,273
AT3G23030,2753,6812,3352,5062,3669,2115
AT3G23040,0,1,2,4,2,0
AT3G23050,5520,12212,4263,7461,8029,3595
AT3G23060,4,18,0,2,4,8
AT3G23070,2875,3372,1860,3341,2957,2368
AT3G23080,702,1044,426,1663,1239,788
AT3G23090,298,461,369,565,634,377
AT3G23100,761,1218,822,1241,1081,806
AT3G23110,139,237,247,421,317,223
AT3G23120,39,147,232,103,194,146
AT3G23125,1,2,1,0,0,1
AT3G23130,0,0,0,0,2,0
AT3G23140,0,0,0,0,0,0
AT3G23145,0,0,0,0,0,0
AT3G23150,1426,2533,1828,9355,1425,1369
AT3G23160,498,724,522,908,1039,797
AT3G23165,0,0,0,0,0,0
AT3G23167,0,0,0,0,0,0
AT3G23170,836,2364,1275,6245,2302,1484
AT3G23171,0,0,0,0,0,0
AT3G23172,0,0,0,0,0,0
AT3G23175,490,576,490,576,376,404
AT3G23180,171,208,212,691,545,519
AT3G23190,305,373,415,195,106,171
AT3G23200,271,402,279,461,494,442
AT3G23210,689,1013,691,437,1194,981
AT3G23220,2,26,5,4,21,6
AT3G23230,117,363,185,24,189,42
AT3G23240,70,303,129,68,318,120
AT3G23245,0,0,0,0,0,1
AT3G23250,856,2561,2415,815,1489,1221
AT3G23255,275,424,289,593,449,364
AT3G23260,47,113,57,152,87,75
AT3G23270,0,2,0,0,0,0
AT3G23280,3179,5539,2872,7356,6086,5056
AT3G23290,273,507,346,287,399,392
AT3G23300,3519,6456,4121,5395,6363,4825
AT3G23310,1606,2416,1259,2921,2765,1978
AT3G23320,0,0,4,0,3,0
AT3G23325,886,1500,793,1367,1502,1119
AT3G23326,7,14,7,10,13,6
AT3G23330,272,419,245,290,238,220
AT3G23340,623,972,468,1391,1581,1062
AT3G23350,0,0,0,0,0,0
AT3G23360,0,10,6,0,0,0
AT3G23370,357,499,420,223,146,215
AT3G23380,4,2,4,2,3,0
AT3G23390,6679,9651,6341,5420,5727,5104
AT3G23400,7354,15553,6267,15842,23189,14274
AT3G23410,1890,4374,1327,1880,4600,2983
AT3G23420,0,10,0,0,7,0
AT3G23430,1246,1152,1549,1453,1244,1692
AT3G23440,36,86,48,112,87,50
AT3G23450,1595,1959,1746,4541,3052,3376
AT3G23460,3,4,2,5,6,6
AT3G23470,352,342,493,321,209,338
AT3G23480,183,185,115,293,181,154
AT3G23490,2845,4798,2302,5705,5905,4029
AT3G23510,277,330,264,117,117,78
AT3G23530,5357,9302,5385,5995,6424,4351
AT3G23540,1771,3228,1652,3628,5425,3579
AT3G23550,5773,16301,5792,1927,3021,794
AT3G23560,1377,3273,1108,2884,3570,2129
AT3G23570,1984,3151,2713,3435,4371,4320
AT3G23580,1967,3181,1708,2350,2880,2495
AT3G23590,2079,3090,1891,3021,2956,2740
AT3G23600,6969,10613,6580,15222,15514,12618
AT3G23605,615,895,530,855,1066,848
AT3G23610,170,202,154,427,320,278
AT3G23620,4928,8777,5873,3193,3619,3764
AT3G23630,42,186,132,30,32,22
AT3G23633,0,0,0,0,0,0
AT3G23635,3,2,9,14,11,10
AT3G23637,0,0,0,0,0,0
AT3G23640,2082,3072,1722,3860,3750,2799
AT3G23650,0,0,0,2,0,0
AT3G23660,1829,2933,1847,3432,3719,2926
AT3G23670,650,550,589,601,456,593
AT3G23680,0,0,0,0,0,0
AT3G23685,0,0,0,0,0,0
AT3G23690,1714,2825,1651,3585,3812,3011
AT3G23700,7270,10083,3643,9271,7716,4031
AT3G23710,989,1503,882,1038,935,831
AT3G23715,0,0,0,0,0,0
AT3G23727,0,0,0,0,0,0
AT3G23730,1271,2887,1784,2013,2412,2570
AT3G23740,319,378,393,352,302,449
AT3G23750,3111,5403,3203,5210,5737,4210
AT3G23760,1056,1372,604,1523,1158,698
AT3G23770,0,0,0,2,0,0
AT3G23780,1231,2007,1117,1647,1728,1456
AT3G23790,969,1777,776,2035,1468,1469
AT3G23800,274,558,563,54,33,89
AT3G23805,659,855,511,532,749,502
AT3G23810,15233,29363,14689,21008,39197,24165
AT3G23820,7484,14572,7540,11501,21905,13398
AT3G23830,3199,3721,3275,1631,1450,1811
AT3G23840,417,954,252,1088,2067,1082
AT3G23850,1,0,0,0,0,0
AT3G23860,2,3,2,0,2,0
AT3G23870,47,37,44,78,39,60
AT3G23880,410,804,156,577,274,84
AT3G23890,1599,1584,1314,1334,1058,1297
AT3G23900,2069,3052,1840,3697,3670,3157
AT3G23910,754,1145,592,2147,2612,2089
AT3G23920,3340,7858,1943,13550,36502,17605
AT3G23930,193,382,400,193,363,303
AT3G23940,6922,11912,7500,4440,4733,4552
AT3G23950,0,0,0,0,0,0
AT3G23955,10,4,2,8,16,4
AT3G23960,0,0,0,0,2,0
AT3G23970,0,0,0,0,0,0
AT3G23980,2111,3649,2242,4020,3924,3393
AT3G23990,11509,22972,11170,8247,16132,9936
AT3G24000,380,375,254,464,377,314
AT3G24010,713,937,637,1163,996,956
AT3G24020,340,519,457,643,435,479
AT3G24030,599,1121,508,1163,1171,783
AT3G24040,1603,2647,1595,2281,2509,2189
AT3G24050,2691,4431,2828,3962,4345,3610
AT3G24060,4,0,0,0,0,0
AT3G24065,5,2,0,4,1,6
AT3G24068,0,0,0,0,0,0
AT3G24070,770,1347,576,1618,1269,757
AT3G24080,4290,6094,4655,3573,3778,3825
AT3G24090,319,630,520,490,785,620
AT3G24093,0,0,0,0,4,0
AT3G24100,2851,4194,2885,5938,5189,4777
AT3G24110,100,103,89,145,67,115
AT3G24120,1251,1867,1016,2002,1794,1267
AT3G24130,4,1,0,0,0,0
AT3G24140,717,1480,785,796,1065,1025
AT3G24150,501,740,439,634,735,659
AT3G24160,7052,13062,6482,13817,15795,11757
AT3G24170,8766,19689,8506,20790,36686,22302
AT3G24180,3886,6364,3761,6153,6813,5250
AT3G24190,4706,9144,3661,6645,12813,7193
AT3G24200,1709,2820,1490,2756,2925,2272
AT3G24210,82,92,135,56,48,57
AT3G24216,0,0,0,0,0,0
AT3G24220,0,0,0,0,0,0
AT3G24225,10,4,8,1,0,9
AT3G24230,65,33,34,17,4,8
AT3G24240,861,723,965,966,623,924
AT3G24250,0,0,4,2,0,0
AT3G24255,194,261,153,283,312,235
AT3G24260,0,0,0,0,0,0
AT3G24270,0,0,0,0,0,0
AT3G24280,0,0,0,0,0,0
AT3G24290,8,5,0,0,1,0
AT3G24300,396,484,350,122,93,130
AT3G24310,14,7,13,553,60,226
AT3G24315,675,1056,594,1391,1511,1062
AT3G24320,781,1189,834,749,796,835
AT3G24330,0,2,0,0,0,2
AT3G24332,0,2,0,0,0,2
AT3G24340,20,37,32,44,40,49
AT3G24350,1470,2647,1442,2777,3195,2275
AT3G24360,80,133,57,196,233,179
AT3G24420,1613,2838,1048,8324,5763,4152
AT3G24430,5662,9636,3486,7230,8645,4188
AT3G24440,1273,1877,1193,1360,1518,1406
AT3G24450,164,125,132,179,127,147
AT3G24460,554,1303,445,642,2067,1426
AT3G24465,0,0,0,0,0,0
AT3G24480,2499,3756,3423,3626,3366,4555
AT3G24490,1200,1588,1106,1615,1293,1151
AT3G24495,588,800,599,542,658,683
AT3G24500,1332,3592,1017,2067,14368,2936
AT3G24503,8917,18245,8709,8120,9623,7683
AT3G24506,1242,1757,1038,1602,1522,1134
AT3G24508,0,0,0,0,0,2
AT3G24510,2,2,10,0,0,0
AT3G24513,0,0,0,0,0,0
AT3G24515,366,319,298,425,267,431
AT3G24516,0,1,2,0,0,2
AT3G24517,0,0,0,0,0,0
AT3G24518,372,413,379,1351,2495,1793
AT3G24520,377,403,381,1398,2562,1823
AT3G24530,1268,2571,1404,2220,2774,2069
AT3G24535,67,97,68,77,98,115
AT3G24540,6,8,8,4,2,4
AT3G24542,0,0,6,4,0,2
AT3G24550,4925,9699,5417,8139,10044,7526
AT3G24560,527,744,380,656,525,474
AT3G24570,1372,2402,1367,2355,2291,1798
AT3G24580,0,0,0,0,0,0
AT3G24590,2581,3477,1839,2773,3259,2303
AT3G24600,5,10,0,2,2,8
AT3G24610,2,2,2,0,2,2
AT3G24612,5,4,1,5,3,6
AT3G24614,0,3,2,2,3,5
AT3G24615,4,3,0,2,4,5
AT3G24620,0,0,0,0,0,2
AT3G24630,255,441,207,502,563,417
AT3G24640,2,0,4,73,96,97
AT3G24650,2,26,0,26,14,10
AT3G24660,583,683,546,730,785,854
AT3G24670,782,971,762,869,739,694
AT3G24690,0,0,0,0,0,0
AT3G24700,0,0,0,0,0,0
AT3G24710,0,0,0,0,0,0
AT3G24715,321,695,195,334,562,360
AT3G24730,345,561,329,770,678,546
AT3G24740,1268,2099,1230,3271,3476,2784
AT3G24750,81,88,49,74,549,158
AT3G24760,757,1086,625,1385,1976,1483
AT3G24770,1388,1951,1536,1476,2279,2147
AT3G24780,47,80,75,46,74,58
AT3G24790,0,1,2,4,8,0
AT3G24800,1044,1588,973,1713,1737,1642
AT3G24810,248,327,278,198,276,269
AT3G24820,360,636,383,749,740,562
AT3G24830,15991,24676,14000,15494,17441,13651
AT3G24840,563,781,690,1426,1985,1852
AT3G24850,0,0,0,0,2,2
AT3G24860,463,609,458,555,572,537
AT3G24870,537,761,451,896,841,768
AT3G24880,521,827,524,873,816,736
AT3G24890,227,349,207,291,232,219
AT3G24900,6,9,14,21,15,9
AT3G24929,112,181,126,213,177,229
AT3G24982,259,334,442,465,442,830
AT3G25010,113,161,112,294,301,232
AT3G25011,7,13,9,14,17,7
AT3G25013,108,174,110,176,233,152
AT3G25014,16,43,18,34,35,37
AT3G25020,153,282,224,350,274,347
AT3G25030,337,491,283,603,596,470
AT3G25040,2030,3304,2127,2986,3345,2952
AT3G25050,0,0,0,0,0,0
AT3G25060,48,46,42,42,49,39
AT3G25070,2303,5034,2535,3554,2619,1666
AT3G25080,2,0,0,11,2,2
AT3G25090,0,0,0,0,0,0
AT3G25099,0,0,0,0,0,0
AT3G25100,237,257,218,287,256,278
AT3G25110,604,855,707,1467,1990,1683
AT3G25120,1086,1593,1013,1322,1213,1143
AT3G25130,295,364,306,324,291,307
AT3G25140,3322,5885,3563,5914,6956,5363
AT3G25150,2386,3832,2378,4521,4259,3688
AT3G25160,0,0,0,2,0,0
AT3G25165,0,0,0,0,0,0
AT3G25170,0,0,0,0,0,0
AT3G25180,14,35,62,28,68,77
AT3G25190,50,38,39,40,11,31
AT3G25200,0,0,0,0,0,0
AT3G25210,527,868,588,893,703,568
AT3G25220,2264,3323,2214,4059,4544,4004
AT3G25221,9,21,11,8,14,9
AT3G25230,8757,18278,7222,7220,19466,8479
AT3G25233,0,0,0,0,0,0
