gene,shoot_control_1,shoot_control_2,shoot_control_3,shoot_ABA_1,shoot_ABA_2,shoot_ABA_3
AT1G03570,0,0,0,0,0,0
AT1G03590,1430,3274,1776,2997,4175,2609
AT1G03600,9103,12070,5224,10671,11139,6191
AT1G03610,1080,3217,1472,7198,2705,1451
AT1G03620,65,77,61,114,79,69
AT1G03630,6041,9095,3149,9083,10680,5603
AT1G03640,0,0,0,0,0,0
AT1G03650,227,274,214,238,218,149
AT1G03660,41,44,36,12,24,25
AT1G03670,0,0,2,2,2,2
AT1G03680,11143,19797,6276,14352,17727,8282
AT1G03687,866,1163,618,893,770,709
AT1G03700,12,16,16,272,112,190
AT1G03710,12,14,14,6,24,21
AT1G03720,2,0,0,0,0,0
AT1G03730,972,1720,755,1051,1333,846
AT1G03740,3796,8735,4161,5351,3634,2817
AT1G03743,5,2,0,0,0,0
AT1G03746,1,2,0,4,0,0
AT1G03750,329,539,356,765,690,539
AT1G03760,912,1594,800,1106,958,731
AT1G03770,528,1025,607,882,732,743
AT1G03780,619,668,582,708,607,596
AT1G03790,22,22,9,1128,1143,821
AT1G03800,41,122,54,135,167,81
AT1G03810,0,1,0,0,0,0
AT1G03820,609,556,620,431,320,536
AT1G03830,796,1018,689,898,581,603
AT1G03840,200,151,217,130,89,163
AT1G03850,511,996,459,647,498,260
AT1G03860,6090,11021,6256,6594,8497,6199
AT1G03870,7933,19407,8428,3797,3718,1802
AT1G03880,0,0,1,0,0,0
AT1G03890,0,0,0,0,0,0
AT1G03900,3641,6157,3357,7771,7447,5835
AT1G03905,371,583,380,514,524,403
AT1G03910,2519,3836,2264,3709,3571,2810
AT1G03920,121,172,149,172,133,183
AT1G03930,1753,2813,1480,2426,2538,2164
AT1G03935,30,76,24,51,57,26
AT1G03940,930,1987,939,2632,5198,3960
AT1G03950,626,1072,531,1454,1620,1017
AT1G03960,776,973,798,1081,883,981
AT1G03970,872,1653,699,1710,1958,1185
AT1G03980,649,1056,510,1114,1169,765
AT1G03982,0,2,0,1,0,2
AT1G03990,160,229,136,215,373,382
AT1G04000,598,950,541,939,1131,865
AT1G04010,455,868,405,764,856,605
AT1G04020,691,803,686,911,889,981
AT1G04030,3549,6043,3056,3127,2164,1483
AT1G04040,7553,16072,7308,6741,5008,3118
AT1G04050,225,343,207,330,262,226
AT1G04070,462,551,425,527,510,440
AT1G04080,6154,9760,5669,10584,7928,7167
AT1G04090,24,52,25,67,68,47
AT1G04100,281,567,298,406,427,365
AT1G04110,197,369,218,234,297,195
AT1G04120,5032,7698,5879,8379,10538,11675
AT1G04130,595,1108,519,789,1631,902
AT1G04140,4648,7826,4661,9192,9786,8237
AT1G04150,7,8,4,10,10,14
AT1G04160,502,707,418,1045,772,719
AT1G04170,7476,13927,7787,6889,8669,7542
AT1G04171,0,0,0,0,0,0
AT1G04180,42,53,67,106,269,158
AT1G04190,1927,3016,1823,1828,2041,2010
AT1G04200,1420,2405,1666,3432,2836,2373
AT1G04210,4114,6987,4394,4921,5474,4769
AT1G04220,514,593,485,17498,37294,23700
AT1G04230,524,897,489,1163,1365,852
AT1G04240,646,1141,643,1301,1645,703
AT1G04250,2075,4093,1698,3477,5511,2271
AT1G04260,590,1089,623,845,1031,753
AT1G04270,19675,28217,17547,17894,18392,16214
AT1G04280,1315,2251,1128,2590,2064,1044
AT1G04290,833,1226,674,1303,1425,1124
AT1G04295,706,1089,616,1101,1267,1000
AT1G04300,3555,6400,3538,7459,6858,5323
AT1G04310,711,1266,619,1482,2769,1756
AT1G04320,0,0,0,0,0,0
AT1G04330,102,104,104,45,132,91
AT1G04340,1162,1687,986,1492,1794,1469
AT1G04350,2300,4626,1375,4905,5941,3036
AT1G04360,167,252,198,912,434,600
AT1G04370,11,26,24,7,17,13
AT1G04380,19,12,24,23,10,18
AT1G04390,535,760,491,1023,928,709
AT1G04400,5471,9313,4396,14121,10360,7074
AT1G04410,31285,46994,28929,46851,50091,40728
AT1G04420,4421,7390,3153,6623,6919,4180
AT1G04425,327,230,232,369,297,362
AT1G04430,5126,10233,5583,9829,8562,6260
