gene,root_control_1,root_control_2,root_control_3,root_MeJA_1,root_MeJA_2,root_MeJA_3
AT5G05300,15,10,19,26,9,27
AT5G05310,1194,1148,1450,1245,1084,1077
AT5G05320,348,306,309,483,252,180
AT5G05330,233,214,260,138,167,124
AT5G05340,1778,1160,2872,2115,1314,2307
AT5G05350,126,65,149,70,62,109
AT5G05360,1875,2109,2228,1867,1954,1446
AT5G05365,622,432,698,338,356,304
AT5G05370,3955,3943,5017,4517,4411,2970
AT5G05380,431,448,649,567,553,458
AT5G05390,326,279,659,213,111,228
AT5G05400,733,720,832,1021,422,536
AT5G05410,799,1037,1051,936,743,930
AT5G05420,33,27,12,40,13,12
AT5G05430,109,147,156,143,113,118
AT5G05435,383,442,502,502,469,388
AT5G05440,5469,5408,6829,9245,5926,5073
AT5G05450,3416,2934,3968,3061,2246,2724
AT5G05460,3201,3113,3668,3176,3002,2977
AT5G05470,2583,2550,3504,1890,1721,2002
AT5G05480,1620,1539,1885,1532,1587,1337
AT5G05490,115,92,180,110,138,124
AT5G05500,2368,3779,5771,6081,3275,5105
AT5G05510,861,793,839,615,594,525
AT5G05520,3761,3852,4731,3558,3873,3256
AT5G05530,75,104,76,205,85,71
AT5G05540,3056,3146,3338,2919,3336,2692
AT5G05550,990,907,1069,875,1100,757
AT5G05560,2685,2196,2887,1992,1589,2029
AT5G05570,3329,2896,4113,3479,2511,2963
AT5G05580,611,599,670,494,520,517
AT5G05590,688,714,1108,1582,1305,1341
AT5G05598,6,3,6,19,11,15
AT5G05600,2784,3412,5017,38746,20830,22956
AT5G05610,4434,4349,5243,4732,4728,3863
AT5G05620,2185,2057,2458,1922,1775,1625
AT5G05630,229,215,233,282,204,251
AT5G05640,1748,1586,1457,1217,1595,1055
AT5G05650,1,0,0,0,0,2
AT5G05657,6,4,8,6,6,13
AT5G05660,3500,3355,4268,3223,2751,3147
AT5G05670,2945,3225,3235,2592,3084,2242
AT5G05680,2669,2175,2327,1771,1870,1647
AT5G05690,2809,2427,3053,2178,2574,2080
AT5G05700,2613,2172,3153,3212,2202,2364
AT5G05710,439,396,679,469,485,332
AT5G05720,4,2,10,2,8,2
AT5G05730,5323,4856,7489,25252,16960,19901
AT5G05740,367,390,323,342,333,268
AT5G05750,2697,2396,2692,2791,2649,1840
AT5G05760,1593,1480,1961,1585,1428,1399
AT5G05770,198,133,106,119,110,63
AT5G05780,11877,11815,13516,10001,10176,8800
AT5G05790,3397,2351,4671,3792,3029,3278
AT5G05795,0,0,0,0,0,0
AT5G05800,1918,1802,2012,1683,1867,1520
AT5G05810,182,126,160,99,133,124
AT5G05820,2410,2313,3251,2357,1958,2168
AT5G05830,823,800,1035,671,656,566
AT5G05840,121,109,193,109,74,92
AT5G05850,734,697,957,1035,775,790
AT5G05860,1705,1465,1933,1519,1067,969
AT5G05870,463,417,631,442,378,401
AT5G05880,1752,1881,2545,1437,1440,1736
AT5G05890,1996,2318,2796,1711,1633,1728
AT5G05900,582,818,1031,933,936,963
AT5G05910,0,0,0,0,2,2
AT5G05920,1365,1527,1947,1231,1132,1144
AT5G05930,1155,1131,1338,1505,1292,1168
AT5G05940,1275,1117,1714,928,869,935
AT5G05945,4,2,11,5,3,2
AT5G05950,1621,1371,1933,1566,1645,1171
AT5G05960,14288,9050,14864,16534,14123,10693
AT5G05965,416,130,295,464,216,197
AT5G05970,1811,1565,2030,1376,1406,1294
AT5G05980,3555,3294,4580,3659,3351,3395
AT5G05985,0,0,0,0,0,0
AT5G05987,1207,1142,1548,1269,1293,975
AT5G05990,1463,1749,1781,1004,1497,979
AT5G06000,762,726,932,471,585,529
AT5G06010,2,0,2,0,0,0
AT5G06020,0,0,0,0,0,0
AT5G06030,0,0,0,0,0,1
AT5G06040,0,0,0,0,0,0
AT5G06043,0,0,0,0,0,0
AT5G06050,3138,3105,4017,2549,2641,2379
AT5G06060,2172,2053,2008,1769,1797,1395
AT5G06070,45,24,6,18,11,8
AT5G06080,21,11,31,68,72,61
AT5G06090,345,350,736,406,179,428
AT5G06100,1383,1309,1723,1484,1517,1078
AT5G06110,9534,8237,9975,7277,6816,6566
AT5G06120,4460,3804,4990,4067,3290,3740
AT5G06125,0,0,1,0,0,0
AT5G06130,2549,2169,2701,2776,2417,2087
