gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT3G56430,1792,1916,2160,1718,1500,1795
AT3G56440,380,356,483,451,310,355
AT3G56450,1054,966,1006,931,815,1063
AT3G56460,4882,4510,5984,5325,4405,5057
AT3G56470,940,743,1128,847,633,826
AT3G56480,4174,3622,4650,3627,2636,3314
AT3G56490,10490,9672,10740,10851,9610,9057
AT3G56500,74,73,90,155,94,113
AT3G56510,2926,2429,2921,2784,2394,2767
AT3G56520,2,0,2,0,0,0
AT3G56530,4,0,0,0,0,0
AT3G56540,24,10,18,8,8,10
AT3G56550,137,117,139,137,116,151
AT3G56560,0,0,0,0,0,0
AT3G56570,1117,1102,918,881,923,1001
AT3G56580,3659,3227,4545,3472,2535,3601
AT3G56590,4245,3244,6707,4178,2681,5329
AT3G56600,28,23,35,16,22,32
AT3G56610,0,0,0,0,0,0
AT3G56620,236,230,494,194,163,292
AT3G56630,322,287,366,390,273,328
AT3G56640,1687,1493,2085,1641,1345,1821
AT3G56650,179,147,201,185,159,210
AT3G56660,16,10,25,27,8,8
AT3G56670,0,0,0,0,0,0
AT3G56680,4594,3915,4251,4226,3370,4017
AT3G56690,1885,1829,2408,1685,1721,2048
AT3G56700,1,12,12,6,8,17
AT3G56705,32,1,18,16,12,10
AT3G56710,115,80,250,147,90,277
AT3G56720,2498,2240,3018,2492,2204,2715
AT3G56730,254,201,323,231,168,201
AT3G56740,2251,2226,2935,2011,1905,2361
AT3G56750,2285,2214,2771,2438,2021,2747
AT3G56760,2311,2274,3690,2357,2102,2982
AT3G56770,174,163,333,300,179,352
AT3G56780,12,12,34,21,14,32
AT3G56790,16,34,70,32,20,31
AT3G56800,15236,16005,20963,16274,13891,15416
AT3G56810,812,602,937,638,426,578
AT3G56820,975,896,1244,1065,914,1137
AT3G56825,180,117,193,146,154,143
AT3G56830,521,556,625,597,494,549
AT3G56840,1452,1308,1678,1660,1218,1577
AT3G56850,2595,2525,2772,2598,2378,2627
AT3G56860,6787,5601,8519,7041,4777,7375
AT3G56870,881,883,990,659,645,773
AT3G56880,3983,3520,5459,3625,3027,4508
AT3G56890,71,60,84,71,37,81
AT3G56891,268,171,230,306,125,208
AT3G56900,1483,1469,1681,1398,1314,1446
AT3G56910,2392,2187,2609,2084,2005,2235
AT3G56920,8,4,2,4,0,4
AT3G56930,2247,2123,3062,3419,1816,2963
AT3G56940,987,864,1378,898,1058,1446
AT3G56950,4568,3505,5693,4811,3250,4524
AT3G56960,714,773,846,790,718,865
AT3G56970,1561,788,1014,1227,454,593
AT3G56980,2083,1238,1734,2433,803,1259
AT3G56990,4941,4694,5552,4425,4013,5231
AT3G57000,4139,4129,4890,4015,3660,4241
AT3G57010,3553,2471,5680,2697,2075,3176
AT3G57020,5267,4646,9597,4493,4660,8088
