gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT1G49390,553,467,513,545,416,382
AT1G49400,3164,2864,3643,2854,2588,3270
AT1G49405,79,95,113,77,102,128
AT1G49410,7635,6899,8248,6248,6354,6776
AT1G49420,0,13,0,0,0,0
AT1G49430,2414,2109,3186,2494,1590,2244
AT1G49435,0,0,0,0,0,0
AT1G49450,488,384,494,643,217,297
AT1G49460,0,1,1,0,0,0
AT1G49470,1329,525,1435,1252,564,996
AT1G49475,320,346,390,333,279,295
AT1G49480,4201,4221,5341,4554,3757,4814
AT1G49490,187,139,366,176,97,210
AT1G49500,1049,684,1602,1219,555,1255
AT1G49510,1616,1497,1909,1534,1216,1731
AT1G49520,708,584,895,766,517,718
AT1G49530,296,273,346,282,262,322
AT1G49540,2957,2928,3163,2521,2462,2978
AT1G49560,1762,1647,2312,1853,1157,1654
AT1G49570,2767,672,2026,10031,3260,12479
AT1G49580,4613,4667,5830,4359,3590,4892
AT1G49590,2206,1970,2636,2206,1845,2240
AT1G49600,15519,14664,16726,13543,12523,14157
AT1G49610,18,20,28,28,28,39
AT1G49620,256,257,416,225,239,249
AT1G49630,1571,1361,1814,1502,1123,1553
AT1G49640,1,6,4,4,11,4
AT1G49650,249,225,356,272,231,370
AT1G49660,3636,3094,5584,4103,3630,6461
AT1G49670,5314,4591,6160,5989,3660,5468
AT1G49680,0,0,0,0,0,0
AT1G49690,0,0,0,0,0,0
AT1G49700,350,310,274,394,311,264
AT1G49710,2373,2211,3447,2696,2145,3103
AT1G49715,0,0,0,0,0,0
AT1G49720,2228,1888,2620,2262,1752,2154
AT1G49730,1327,1328,1476,1220,1085,1191
AT1G49740,2261,1846,3278,1962,1635,2623
AT1G49750,112,83,245,183,111,252
AT1G49760,21652,17987,20606,16889,14474,17368
AT1G49770,0,0,0,0,0,0
AT1G49780,1047,960,1208,970,791,997
AT1G49790,28,18,36,24,6,27
AT1G49800,0,2,0,2,0,0
AT1G49810,0,0,2,0,0,2
AT1G49820,5787,5251,6174,5723,4476,5457
AT1G49830,26,23,15,40,13,6
AT1G49832,208,139,223,216,140,183
AT1G49840,1141,971,1258,941,825,1118
AT1G49850,1738,1400,1972,1783,1334,1864
AT1G49860,2444,1733,2950,3486,1065,2833
AT1G49870,1649,1441,1743,1609,974,1128
AT1G49880,357,310,357,316,316,295
AT1G49890,1849,1852,2497,1779,1341,2162
AT1G49900,150,130,170,159,133,184
AT1G49910,690,557,709,600,420,536
AT1G49920,99,101,85,67,97,60
AT1G49930,2,0,0,1,0,0
AT1G49938,7,3,6,7,3,7
AT1G49940,95,117,85,92,59,75
AT1G49950,3147,3105,3710,3166,2582,3179
AT1G49952,20,9,7,7,11,10
AT1G49960,1664,1353,2169,1622,1016,1677
AT1G49970,4419,3770,4913,4538,3318,4540
AT1G49975,14,12,14,8,6,19
AT1G49980,1393,1297,1655,1603,1047,1444
AT1G49990,76,61,99,66,74,77
AT1G50000,406,486,508,414,428,463
AT1G50010,41794,45809,50731,34119,35098,38106
AT1G50020,1380,1268,2275,1536,1323,1749
AT1G50030,6661,5257,7974,6842,4373,7577
AT1G50040,179,213,227,241,265,202
AT1G50050,117,81,65,130,122,166
AT1G50055,924,910,935,869,992,989
AT1G50060,1327,1035,2051,2258,2141,3355
AT1G50070,0,0,0,0,0,0
AT1G50080,0,2,4,2,0,4
AT1G50090,239,202,328,682,283,441
AT1G50100,1,0,0,1,0,0
AT1G50110,1736,1672,1988,2344,1890,2844
AT1G50120,3355,3373,4443,3789,2834,3932
AT1G50140,3977,3659,4790,3961,3086,4373
AT1G50160,0,0,0,0,0,0
AT1G50170,1197,982,1256,1328,997,1368
AT1G50180,150,132,238,128,121,212
AT1G50190,0,4,2,0,0,0
AT1G50200,20144,17809,22178,20702,15123,19976
AT1G50220,1,4,0,0,0,0
AT1G50240,2557,2024,2404,2094,1422,1696
AT1G50250,2230,1884,3154,1786,1900,3371
AT1G50260,1024,979,1300,1193,943,1226
AT1G50270,444,400,536,420,321,426
AT1G50280,162,132,217,134,119,153
AT1G50290,208,159,221,192,181,175
AT1G50300,1799,1617,2078,1696,1382,1884
AT1G50310,15,9,32,38,20,21
AT1G50320,1577,1345,1968,1622,1277,1684
AT1G50325,0,0,0,0,0,0
AT1G50340,0,0,0,0,0,0
AT1G50350,2,0,0,2,0,0
AT1G50360,3538,3349,4599,4104,2922,4382
AT1G50370,5785,5242,7010,5892,4719,5918
AT1G50380,3417,2946,4030,3025,2742,3553
AT1G50390,206,349,359,283,337,260
AT1G50400,319,401,501,270,433,479
AT1G50410,3974,3306,4671,4204,2815,4661
AT1G50420,3715,2944,4060,3836,2885,4511
AT1G50430,8879,9083,11871,8660,7973,9806
AT1G50440,1662,1502,2309,1822,1389,1851
AT1G50450,413,316,474,331,339,493
AT1G50460,2546,2361,3037,2134,1979,2943
AT1G50470,0,0,0,0,0,0
AT1G50480,12196,9661,12387,14158,10201,13012
AT1G50490,10793,11203,10302,9463,9157,8253
AT1G50500,4325,3805,4930,4487,3316,4458
AT1G50510,2109,2003,2250,2123,1692,1938
AT1G50520,1933,1915,2584,1811,1606,2051
AT1G50530,7,9,4,2,4,2
AT1G50560,1798,1462,2122,1746,1133,1650
AT1G50570,6080,5135,6811,5679,4263,5615
AT1G50575,1258,1276,1410,1120,1132,1310
AT1G50580,1236,1335,1555,1306,1096,1404
AT1G50590,327,300,481,354,303,433
AT1G50600,3675,2989,4720,4047,2794,3962
AT1G50603,0,0,0,0,0,0
AT1G50610,4,6,6,10,6,8
AT1G50620,1996,1753,2350,1917,1687,2090
AT1G50630,1774,1846,2371,1941,1360,1540
AT1G50640,4996,4086,6480,5135,3829,5567
AT1G50650,0,0,0,2,0,0
AT1G50659,1256,1207,1650,1524,939,1609
AT1G50660,7318,7235,8369,7220,5883,7959
AT1G50670,3992,3702,5094,4095,3240,3809
AT1G50680,0,5,0,0,0,0
AT1G50690,0,0,0,0,0,0
AT1G50691,0,0,0,0,0,0
AT1G50700,783,749,947,847,658,871
AT1G50710,2513,2358,2940,2439,2128,2481
AT1G50720,58,54,62,17,39,38
AT1G50730,3041,2784,3374,2999,2417,3334
AT1G50732,4,2,7,2,10,6
AT1G50740,2301,2041,2977,2421,2100,2761
AT1G50750,300,268,373,171,297,478
AT1G50760,8,8,15,12,10,2
AT1G50770,2,0,5,4,0,0
AT1G50780,4,9,0,14,4,21
AT1G50790,262,281,326,228,229,262
AT1G50800,0,0,0,0,0,0
AT1G50820,0,1,0,2,1,2
AT1G50830,2,6,14,10,0,2
AT1G50840,1160,1193,1712,1313,1064,1687
AT1G50870,0,0,0,0,0,0
AT1G50880,0,0,0,0,0,0
AT1G50890,771,845,1264,1009,681,1067
AT1G50900,568,545,718,577,620,669
AT1G50910,813,888,1026,872,814,934
AT1G50920,22173,19936,23690,19574,16053,20880
AT1G50930,190,190,391,347,223,369
AT1G50940,1755,1501,2038,1842,1434,1690
AT1G50950,165,170,228,194,128,132
AT1G50954,0,0,0,0,0,0
AT1G50960,0,0,2,4,2,0
AT1G50970,733,581,720,650,464,814
AT1G50980,0,0,0,1,0,0
AT1G50990,0,0,0,0,0,0
AT1G51000,35,37,40,88,62,91
AT1G51010,82,87,81,121,121,205
AT1G51020,214,252,179,377,271,436
AT1G51030,30,26,38,53,38,48
AT1G51035,26,49,91,56,66,91
AT1G51040,0,0,0,0,0,0
AT1G51055,42,35,49,35,16,13
AT1G51060,13275,12924,17397,12691,10185,13014
AT1G51070,10894,8825,12331,11723,7746,10889
AT1G51080,190,124,242,189,140,173
AT1G51090,18,22,20,16,18,14
AT1G51100,215,205,256,208,179,235
AT1G51110,118,60,117,94,112,139
AT1G51120,0,0,0,0,0,0
AT1G51130,890,888,916,827,792,837
AT1G51140,1396,987,1556,1397,938,963
AT1G51150,0,0,0,0,0,0
AT1G51160,5892,5358,6833,5938,4695,6153
AT1G51170,1124,906,1480,1190,773,1162
AT1G51172,0,0,0,0,0,0
AT1G51190,1243,1358,1304,1124,1205,1052
AT1G51200,15760,13365,16725,14503,13127,15098
AT1G51210,0,0,2,0,2,2
AT1G51220,58,84,41,26,50,29
AT1G51230,0,0,0,0,0,0
AT1G51240,0,0,0,0,0,0
AT1G51250,0,0,0,0,0,0
AT1G51260,25,46,58,24,16,14
AT1G51270,1349,1005,980,1805,592,736
AT1G51290,0,0,0,0,0,0
AT1G51300,10,2,6,4,0,2
AT1G51310,835,849,1021,757,899,1044
AT1G51320,0,0,0,2,0,4
AT1G51330,0,0,0,2,0,6
AT1G51340,504,270,670,455,254,584
AT1G51350,1944,1660,2493,2035,1407,2181
AT1G51355,321,225,409,324,235,303
AT1G51360,622,565,665,671,566,685
AT1G51370,497,425,565,546,435,532
AT1G51380,1189,1245,1436,1038,994,1192
AT1G51390,1630,1621,1942,1853,1331,1757
AT1G51400,313,285,411,349,345,312
AT1G51402,450,398,582,451,420,400
AT1G51405,283,284,279,238,174,137
AT1G51410,0,2,3,0,3,2
AT1G51420,4681,4289,5685,7688,3956,5691
AT1G51430,1300,1211,1476,1052,1249,1403
AT1G51440,26,16,27,54,21,22
AT1G51450,1365,1234,1531,1304,1050,1460
AT1G51460,307,319,117,419,292,187
AT1G51470,522,1115,3123,922,1108,2937
AT1G51480,89,79,75,126,66,84
AT1G51490,0,0,0,0,2,1
AT1G51500,1486,1548,1144,1415,1246,998
AT1G51510,6512,6561,7831,6399,5832,5913
AT1G51520,302,315,408,336,249,287
AT1G51530,0,1,6,2,5,7
AT1G51538,1,2,0,2,0,5
AT1G51540,2456,2392,3113,2604,2219,2786
AT1G51550,1286,1127,1530,1436,1085,1342
AT1G51560,1337,1139,1425,1334,976,1222
AT1G51570,5850,4810,6807,5237,3927,5412
AT1G51580,1555,1431,1906,1493,1352,1644
AT1G51590,4886,4733,6278,5597,3825,5281
AT1G51600,1984,1866,2584,2157,1576,2093
AT1G51610,1585,1259,1932,1511,1181,1722
AT1G51620,349,350,289,486,201,269
AT1G51630,8141,6430,9024,7924,5012,7441
AT1G51640,834,905,1126,892,632,883
AT1G51645,821,892,1121,883,616,887
AT1G51650,26008,28090,31105,29597,29649,27394
AT1G51660,1941,1587,2401,1775,1443,1981
AT1G51670,83,60,86,63,53,66
AT1G51680,15618,13436,30492,16545,10009,19838
AT1G51690,6524,5677,7844,6396,4905,6808
AT1G51700,555,372,782,503,485,736
AT1G51710,7604,7397,9136,8095,6645,7860
AT1G51720,2392,2301,2911,2824,1875,2643
AT1G51730,5802,6060,6384,5405,5710,5875
AT1G51740,1128,1340,1581,1433,1224,1475
AT1G51745,1675,1697,1830,1623,1368,1567
AT1G51760,6791,5321,7768,8773,6410,8650
AT1G51770,121,115,91,123,52,77
AT1G51780,7,16,13,26,3,32
AT1G51790,2587,2472,2782,4483,1998,2812
AT1G51800,3938,3881,5109,7786,3955,5768
AT1G51805,17,2,4,12,12,24
AT1G51810,14,4,9,8,4,3
AT1G51820,367,335,392,464,413,416
AT1G51823,0,0,2,0,0,0
AT1G51830,7476,6633,6761,12748,6199,7664
AT1G51840,1962,1681,1930,3459,1523,2526
AT1G51850,4012,3913,5148,6287,3679,4899
AT1G51860,2093,2022,1988,3912,1796,2143
AT1G51870,158,139,180,445,169,195
AT1G51880,108,132,168,294,110,135
AT1G51890,2266,1909,2128,3748,1306,1834
AT1G51900,2,1,14,2,1,0
AT1G51910,0,0,0,0,2,4
AT1G51913,39,39,38,42,43,27
AT1G51915,14,8,16,27,7,17
AT1G51920,25,18,40,18,19,22
AT1G51930,2,0,5,0,0,0
AT1G51940,605,751,915,762,588,1073
AT1G51950,894,953,1557,1276,997,1448
AT1G51960,34,23,32,51,23,42
AT1G51965,1373,1316,1593,1430,1007,1401
AT1G51970,0,0,0,0,0,0
AT1G51980,26593,23564,29994,26376,20779,25553
AT1G51990,0,0,0,0,0,0
AT1G52000,6,10,10,8,37,12
AT1G52030,2,4,10,2,0,2
AT1G52040,2,2,2,4,8,4
AT1G52050,1632,1662,3533,1265,1528,2469
AT1G52060,2732,2214,4649,2158,3319,4680
AT1G52070,8051,7027,12461,4525,7208,9182
AT1G52080,1146,1045,1562,1187,876,1395
AT1G52100,514,769,784,419,700,287
AT1G52110,57,68,168,110,82,180
AT1G52120,411,241,197,670,172,158
AT1G52130,88,91,55,184,49,48
AT1G52140,3031,1407,2835,2876,1340,2497
AT1G52150,6279,4570,8659,6339,3461,6823
AT1G52155,688,609,928,798,542,810
AT1G52160,2012,1722,2228,1866,1633,2029
AT1G52170,0,0,0,0,0,0
AT1G52180,0,0,0,0,0,0
AT1G52185,0,0,0,0,0,0
AT1G52190,87,82,128,68,36,63
AT1G52191,0,0,3,0,0,0
AT1G52200,8224,6954,7141,15385,6611,7107
AT1G52220,156,151,162,153,237,204
AT1G52230,76,44,77,101,50,150
AT1G52240,470,528,776,841,602,689
AT1G52260,1898,1884,2216,1914,1502,1804
AT1G52270,40,50,77,66,34,64
AT1G52280,2324,2490,3172,2425,1828,2130
AT1G52290,102,57,125,105,65,72
AT1G52300,41673,44149,47396,38045,44242,38891
AT1G52310,3792,3546,4361,4061,3250,4302
AT1G52315,445,398,458,522,330,362
AT1G52320,2462,1947,2969,3063,1589,2881
AT1G52325,1,0,2,10,0,4
AT1G52330,1039,889,1430,1253,742,1285
AT1G52340,2197,2263,2598,2349,1998,2376
AT1G52342,328,270,397,662,418,462
AT1G52343,260,246,363,669,310,600
AT1G52347,1019,913,1210,1365,968,1316
AT1G52350,0,0,0,0,0,0
AT1G52360,13435,13018,15839,14344,10614,13750
AT1G52370,2170,2201,2322,2037,2075,2176
AT1G52380,4390,3970,4544,4074,3692,3722
AT1G52390,0,1,0,4,0,2
AT1G52400,130,85,171,152,105,92
AT1G52410,440,435,911,750,619,728
AT1G52415,2,0,2,2,2,0
AT1G52420,11304,9530,12385,12540,7914,12230
AT1G52430,110,131,123,103,74,91
AT1G52440,14,2,22,16,6,18
AT1G52450,305,223,294,317,150,219
AT1G52460,0,0,0,0,0,0
AT1G52470,0,2,0,4,2,2
AT1G52490,1,0,0,1,1,1
AT1G52500,1697,1653,1773,1589,1449,1575
AT1G52510,1414,1384,1511,1292,1194,1290
AT1G52520,741,726,899,739,581,814
AT1G52530,184,159,202,167,149,156
AT1G52540,1712,1678,2135,1788,1379,1689
AT1G52550,164,128,194,225,146,180
AT1G52560,224,217,253,196,289,118
AT1G52565,292,295,530,423,336,598
AT1G52570,203,125,218,170,152,173
AT1G52580,38,30,53,45,33,51
AT1G52590,270,245,313,293,275,289
AT1G52600,4444,3935,5326,4588,3692,4430
AT1G52615,0,1,2,3,0,2
AT1G52618,99,77,97,105,100,101
AT1G52620,734,554,669,694,434,652
AT1G52630,1169,985,1174,1005,830,1013
AT1G52640,182,167,209,143,181,167
AT1G52650,62,65,56,57,60,52
AT1G52660,274,405,669,713,560,695
AT1G52670,4463,4604,5547,3790,3826,4441
AT1G52680,2,4,0,0,2,0
AT1G52690,82,79,112,45,73,49
AT1G52695,4,0,0,0,0,0
AT1G52700,195,187,230,355,177,298
AT1G52710,1882,1632,1761,1832,1398,1793
AT1G52720,3901,4283,4737,4203,4344,4301
AT1G52730,3652,3384,4405,3705,3009,3469
AT1G52740,10892,10271,11164,10813,9535,9831
AT1G52750,962,1215,1895,1121,991,1429
AT1G52760,11493,11238,19917,13063,10911,17183
AT1G52770,2,6,4,0,0,4
AT1G52780,2849,2357,3392,3074,1911,3073
AT1G52790,46,33,54,38,47,31
AT1G52800,26,43,136,59,30,86
AT1G52810,4,0,2,0,2,0
AT1G52820,191,207,356,215,180,264
AT1G52825,636,528,698,690,444,592
AT1G52827,52,21,10,34,16,8
AT1G52830,9,7,19,10,2,10
AT1G52855,60,32,19,77,26,25
AT1G52857,76,33,60,84,10,39
AT1G52860,2,1,0,0,0,0
AT1G52870,700,605,567,556,623,641
AT1G52880,604,579,590,720,390,441
AT1G52890,17,2,10,24,38,22
AT1G52900,0,0,0,0,0,0
AT1G52905,1470,1236,1689,1469,1240,1433
AT1G52910,1207,1183,1905,1054,1162,1376
AT1G52920,99,114,128,102,116,119
AT1G52930,6464,6146,6714,5452,5405,5681
AT1G52940,2,0,0,0,0,2
AT1G52950,8,7,17,6,10,15
AT1G52970,0,0,0,0,0,0
AT1G52980,11950,11139,11430,10445,9977,11303
AT1G52990,3,2,9,6,2,14
AT1G53000,4352,3880,4685,3560,3641,3770
AT1G53010,0,0,0,0,0,0
AT1G53023,0,0,2,4,0,1
AT1G53025,969,779,1241,917,712,997
AT1G53030,1489,1226,1419,1820,1324,1359
AT1G53035,1085,994,1352,1326,947,1210
AT1G53039,0,0,0,0,0,0
AT1G53040,4301,4459,5980,4245,3496,4956
AT1G53050,4222,3682,5749,4628,3235,5093
AT1G53060,189,211,251,160,191,207
AT1G53070,1891,1692,2000,2001,1325,1498
AT1G53080,8,0,12,10,10,13
AT1G53090,1382,902,1475,1069,785,1548
AT1G53100,128,106,200,150,82,141
AT1G53110,728,656,949,811,693,937
AT1G53120,1175,1085,1137,937,958,1083
AT1G53130,682,710,1156,937,727,741
AT1G53140,1791,1643,1617,1434,1168,1140
AT1G53160,2,1,2,2,6,0
AT1G53163,107,88,143,113,66,94
AT1G53165,2830,2628,3406,3098,2286,3243
AT1G53170,420,529,618,397,467,580
AT1G53180,1759,1891,2528,3043,2488,3330
AT1G53190,1712,1751,2134,1751,1554,2126
AT1G53200,1610,1341,1626,1388,1292,1693
AT1G53210,11195,9991,13913,12371,8476,11403
AT1G53220,0,0,0,0,0,0
AT1G53230,448,632,965,603,440,721
AT1G53233,436,620,964,598,453,706
AT1G53240,31465,34323,40648,28467,30733,31336
AT1G53250,321,343,355,281,332,326
AT1G53260,6,2,2,2,8,2
AT1G53265,0,0,0,0,0,0
AT1G53270,639,590,1044,637,395,612
AT1G53280,4724,4153,5584,4781,4189,4916
AT1G53282,0,0,0,0,0,0
AT1G53285,0,0,0,0,1,2
AT1G53290,1383,1288,1705,1178,1129,1454
AT1G53300,6130,5932,9248,5396,4502,7604
AT1G53310,26934,23977,28528,29201,19138,22347
AT1G53320,4410,4105,4861,4072,3986,4243
AT1G53325,0,0,0,0,0,0
AT1G53330,137,111,132,126,95,127
AT1G53340,360,400,554,706,433,696
AT1G53345,835,959,1016,872,780,935
AT1G53350,869,956,831,738,907,989
AT1G53360,0,0,0,0,0,0
AT1G53366,0,0,0,1,0,2
AT1G53370,4,10,7,6,17,16
AT1G53380,5184,5660,6743,5767,4834,6445
AT1G53390,3416,3040,4340,4050,2554,4035
AT1G53400,2265,1904,2843,2401,1693,2537
AT1G53410,75,53,95,64,43,96
AT1G53420,26,16,38,25,18,14
AT1G53430,4158,3226,4793,6638,3281,5457
AT1G53440,3266,2342,4308,5427,2823,5252
AT1G53450,1484,1181,1637,1740,1371,1841
AT1G53460,1448,1478,1666,1487,1532,1560
AT1G53470,3310,2704,3836,3014,2647,3033
AT1G53480,55,53,66,63,55,41
AT1G53490,517,472,536,460,414,399
AT1G53500,6249,5983,8256,6627,4891,7104
AT1G53510,5204,4196,6807,5098,3821,6009
AT1G53520,611,832,800,545,703,803
AT1G53530,774,886,1054,789,921,907
AT1G53540,204,326,244,228,526,269
AT1G53541,343,246,343,315,260,297
AT1G53542,473,412,511,350,377,514
AT1G53543,21,17,8,12,8,10
AT1G53550,3,4,2,0,0,7
AT1G53560,923,748,1012,1146,1035,970
AT1G53570,3754,3830,5517,4602,3845,5361
AT1G53580,6118,5329,7822,7938,5371,7151
AT1G53590,3362,2888,4198,3976,2658,3665
AT1G53600,209,141,218,161,165,196
AT1G53610,79,77,63,124,61,51
AT1G53620,25,30,50,89,42,40
AT1G53625,1076,889,1248,2160,655,969
AT1G53633,329,363,423,689,370,364
AT1G53635,226,206,142,283,126,121
AT1G53640,459,506,349,657,331,298
AT1G53645,5022,4926,5839,4677,3986,4774
AT1G53650,1152,1078,1421,1301,1088,1407
AT1G53660,284,285,404,342,275,312
AT1G53670,1165,934,1402,1187,950,1352
AT1G53680,382,535,811,756,614,819
AT1G53683,0,0,0,0,0,0
AT1G53687,0,0,0,0,0,0
AT1G53690,2,0,0,2,0,5
AT1G53700,216,219,295,259,196,290
AT1G53705,0,0,0,0,0,0
AT1G53708,115,154,195,226,217,334
AT1G53710,2405,2449,3168,2451,2209,2792
AT1G53720,2481,2415,2746,2519,2146,2702
AT1G53730,3468,3233,4853,3771,2780,4373
AT1G53750,20025,18908,22417,20768,16638,18809
AT1G53760,2532,2422,3062,2783,2331,3036
AT1G53770,1676,1595,2040,1776,1319,2057
AT1G53780,5041,4742,6083,5622,4464,6025
AT1G53785,1309,1282,1725,1587,1034,1862
AT1G53790,857,839,1199,1127,762,1066
AT1G53800,1186,997,1348,1086,914,1240
AT1G53801,658,560,714,567,518,628
AT1G53815,0,0,1,0,0,0
AT1G53820,0,0,2,2,0,0
AT1G53830,1677,1412,2104,2072,1447,1450
AT1G53840,7508,7130,9725,8978,6740,9409
AT1G53850,6116,5718,6899,6239,5110,5678
AT1G53860,489,405,376,480,275,246
AT1G53870,0,0,0,1,0,0
AT1G53880,33,28,48,28,28,25
AT1G53885,7,5,12,9,0,1
AT1G53887,236,204,228,317,190,211
AT1G53890,0,0,0,1,0,0
AT1G53900,26,20,35,24,19,19
AT1G53903,7,3,10,9,0,2
AT1G53910,13659,12375,15992,15809,11245,14740
AT1G53920,1506,1312,2213,1580,1256,1892
AT1G53930,19,20,9,20,4,6
AT1G53935,87,42,99,50,46,44
AT1G53940,362,236,568,349,154,437
AT1G53950,192,121,217,218,88,145
AT1G53970,23,31,34,29,19,24
AT1G53980,106,64,178,143,77,136
AT1G53990,535,549,699,886,403,674
AT1G54000,48185,55825,69906,38867,41196,45575
AT1G54010,8439,10568,14832,5284,8260,7670
AT1G54020,97,159,190,89,164,159
AT1G54030,10852,12166,15579,10833,10552,11512
AT1G54040,4,2,2,0,0,3
AT1G54050,465,585,485,402,649,527
AT1G54060,2139,2139,2726,2346,1831,2385
AT1G54070,0,4,4,2,2,7
AT1G54080,12061,9694,12352,10728,8555,10626
AT1G54090,2689,2433,3469,2885,2312,2870
AT1G54095,75,104,129,143,59,49
AT1G54100,12604,12837,15040,18179,14236,15743
AT1G54110,511,476,615,490,474,478
AT1G54115,2710,2354,2789,2622,2057,2429
AT1G54120,190,176,388,233,227,406
AT1G54130,2958,2575,3543,3934,2744,3746
AT1G54140,1437,1199,1664,1303,1165,1416
AT1G54150,1298,1415,1593,1465,1274,1426
AT1G54160,198,264,328,197,230,272
AT1G54170,3847,3554,4950,4323,3197,4365
AT1G54180,1130,1192,1274,1023,1003,1089
AT1G54200,704,594,1254,686,542,984
AT1G54210,789,738,996,929,696,837
AT1G54215,8,30,29,17,24,19
AT1G54217,392,287,533,428,279,376
AT1G54220,2135,2003,2448,2050,1614,2011
AT1G54230,1,0,1,0,0,0
AT1G54240,2,2,0,0,0,0
AT1G54250,2048,1803,1926,1923,1734,1744
AT1G54260,1409,1247,1733,1410,1204,1607
AT1G54270,15041,14998,19454,14536,13450,16927
AT1G54280,74,80,96,73,73,84
AT1G54290,1146,940,1202,1408,964,1213
AT1G54300,6,0,6,0,0,0
AT1G54310,1125,901,932,797,983,929
AT1G54320,8253,7011,9994,8799,6475,9009
AT1G54330,183,98,233,138,93,111
AT1G54340,5204,4428,5740,5227,3758,4911
AT1G54350,1081,979,1224,1139,775,1106
AT1G54355,614,617,671,664,518,653
AT1G54360,4364,3513,4543,3628,2940,3848
AT1G54370,3452,3225,3995,3256,2476,3236
AT1G54380,2087,2107,2459,1816,1929,2127
AT1G54385,2439,2483,2550,2053,1884,1579
AT1G54390,2262,2413,2903,2515,2018,2578
AT1G54400,157,89,182,140,107,184
AT1G54410,63579,45281,71151,75253,39177,62437
AT1G54420,0,0,0,0,0,0
AT1G54440,2140,2008,2546,1992,1708,2080
AT1G54445,0,0,0,0,0,0
AT1G54450,842,996,1358,1096,831,1127
AT1G54460,3982,3593,4946,4118,3057,4007
AT1G54470,16,43,34,51,26,50
AT1G54490,5827,4685,6736,6493,4227,6172
AT1G54500,436,339,587,376,368,529
AT1G54510,2805,2514,3272,2444,1907,2867
AT1G54520,1546,1493,2070,1801,1362,1814
AT1G54530,278,349,563,431,322,436
AT1G54540,1085,957,1693,1018,678,1087
AT1G54550,0,0,2,6,0,2
AT1G54560,127,136,112,73,94,118
AT1G54570,2325,1639,2974,1945,1466,2439
AT1G54575,2843,1638,2965,3448,1749,3139
AT1G54580,20155,17842,22900,16473,15076,17807
AT1G54590,0,3,5,0,4,2
AT1G54610,5831,4801,6670,5845,3797,5617
AT1G54620,0,0,0,0,0,0
AT1G54630,11516,10107,13279,10696,8635,10026
AT1G54640,1,0,0,0,0,0
AT1G54650,925,947,1060,950,778,913
AT1G54670,0,1,0,0,0,0
AT1G54680,971,878,1165,801,845,851
AT1G54690,9485,8982,11475,8159,7038,8591
AT1G54700,949,726,1039,1145,746,976
AT1G54710,3281,2905,4479,3987,2618,4115
AT1G54720,0,0,5,0,6,0
AT1G54730,1434,1558,2310,1779,1401,2401
AT1G54740,1670,1696,1625,2172,1326,1500
AT1G54760,8,12,17,8,15,6
AT1G54770,2310,2364,3075,2586,2099,2456
AT1G54775,0,0,0,0,0,0
AT1G54780,290,394,500,291,367,462
AT1G54790,132,114,437,187,101,303
AT1G54820,47,34,42,30,8,18
AT1G54830,2401,2104,3177,2444,2110,2565
AT1G54840,258,241,241,183,240,261
AT1G54850,1042,913,990,894,828,943
AT1G54860,0,6,2,0,0,0
AT1G54870,26,22,14,2,6,8
AT1G54880,0,0,0,0,0,0
AT1G54890,2523,2413,3647,2374,2078,2708
AT1G54920,6172,5392,6733,6214,3909,5851
AT1G54930,8,10,9,19,5,18
AT1G54940,179,256,495,546,327,507
AT1G54950,3,11,3,14,2,3
AT1G54960,1072,1043,1238,997,733,1002
AT1G54970,1539,1782,4256,8786,3706,7536
AT1G54980,0,0,2,0,0,0
AT1G54990,4892,4807,6336,4985,3727,4383
AT1G55000,1229,974,1169,1425,1175,1306
AT1G55010,21,25,31,52,43,47
AT1G55020,35718,35577,45859,57187,36659,49035
AT1G55030,52,77,105,74,73,94
AT1G55040,1195,1427,1608,1180,1054,1317
AT1G55045,0,0,0,0,0,0
AT1G55050,163,145,145,129,111,166
AT1G55060,0,0,0,0,0,0
AT1G55070,0,2,0,0,0,2
AT1G55080,1431,1221,1842,1571,1034,1545
AT1G55090,4080,3755,4653,3852,3183,3876
AT1G55110,1328,1225,1707,1389,1098,1613
AT1G55120,1001,877,1304,1149,617,984
AT1G55130,2495,2283,3018,2213,2026,2440
AT1G55140,845,746,828,632,647,788
AT1G55150,2810,2748,3319,2882,2433,2985
AT1G55152,463,339,445,441,258,334
AT1G55160,2414,2294,2841,2559,2097,2240
AT1G55170,937,927,1183,1076,801,1089
AT1G55175,16,37,18,24,31,36
AT1G55180,693,583,1090,689,556,935
AT1G55190,1491,1465,1985,1626,1365,1782
AT1G55200,963,1053,822,1115,1151,1088
AT1G55205,1190,1152,1259,1095,1061,1099
AT1G55207,63,55,82,64,50,88
AT1G55210,10210,8504,15345,9974,7481,9727
AT1G55220,0,2,0,2,2,0
AT1G55230,16,12,34,20,19,6
AT1G55240,349,364,818,256,187,421
AT1G55250,2434,2228,2874,2442,1729,2422
AT1G55260,859,880,748,872,861,534
AT1G55265,1240,1304,1533,1337,964,1085
AT1G55270,1566,1464,2199,1619,1234,1709
AT1G55280,255,257,343,328,233,286
AT1G55290,106,202,273,293,219,368
AT1G55300,700,690,916,625,634,843
AT1G55310,5463,6022,6432,5355,6234,6521
AT1G55320,2703,2669,4787,2450,2260,4035
AT1G55325,4591,3892,5294,4531,3171,4743
AT1G55330,3409,2980,5003,3559,2767,3175
