gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G41850,1299.18567598854,4.8358288240076,0.71697744841471,6.74474327567761,1.5329783383817e-11,1.07322419853432e-09
AT2G42430,1968.16612198863,2.65578963547057,0.171884683515719,15.4509964538387,7.4286093445748e-54,4.08626575446932e-51
AT2G43500,1572.71203350118,1.00770676438789,0.120467531218129,8.36496568160969,6.01324259117926e-17,7.59147232699532e-15
AT2G45400,4472.73482690911,1.33482733601154,0.174437386736123,7.65218604215148,1.97591086127295e-14,2.01098980740039e-12
AT2G45420,2203.61032064586,5.53585556275853,0.254430106770466,21.7578636153806,5.81972089252909e-105,1.12044176483416e-101
AT2G45450,1398.68550545152,1.46662101563017,0.184243162476184,7.96024664318139,1.71696680551329e-15,1.9637170350383e-13
AT2G47130,5289.40919346367,1.94852877144872,0.151812601026738,12.8350924644624,1.04278401178804e-37,4.15369638350672e-35
AT2G47140,3583.83908664675,1.14305678266601,0.174270737307877,6.55908616858962,5.41385139090432e-11,3.43615957923249e-09
AT2G47260,3166.25142712636,1.04229831116326,0.179581792262674,5.80403112158885,6.47392524049658e-09,2.92123232092173e-07
AT2G47860,4308.46695026194,1.60055859209099,0.131694650207193,12.1535581709117,5.49222021607865e-34,1.8938322933144e-31
AT3G01070,1075.47115111772,1.5370648887824,0.199683988541927,7.69748691422829,1.38768295476626e-14,1.43765198672489e-12
AT3G03170,1297.33743758929,1.82028661479309,0.230401289352318,7.9005053309819,2.77774959189921e-15,3.11525965153629e-13
AT3G03660,1402.69587546826,1.79422548946066,0.186226935505412,9.63461856144069,5.7103682276689e-22,9.9944422093814e-20
AT3G04650,1019.26167772067,1.38297538508329,0.219259770744405,6.30747437337902,2.8362552099046e-10,1.61792602751669e-08
AT3G07390,9711.70047199953,2.52347505461395,0.223785595862137,11.2763068815588,1.7180821493311e-29,4.3618518567029e-27
AT3G09760,1560.36563380669,1.45386267697971,0.224296213829817,6.48188684131249,9.05825697187785e-11,5.59553237490091e-09
AT3G10870,3042.29590496243,6.24411241303611,0.310585812014511,20.104306673044,6.76593561424054e-90,8.22702160504207e-87
AT3G13380,5391.55804963689,1.58356558879107,0.213011273137161,7.43418677081655,1.05213223679969e-13,9.8810614092615e-12
AT3G14060,1771.80369976302,1.57258487472201,0.252952010313478,6.21692973609158,5.06976639777326e-10,2.7366077824242e-08
AT3G14362,1733.38854015025,3.3588326441114,0.16563580399547,20.27842147102,1.99429156326748e-91,2.55967322145381e-88
AT3G14620,1182.5010928724,1.21179189007212,0.227414846886384,5.32855223246497,9.89987280413567e-08,3.57369939678041e-06
AT3G15340,2104.67163839289,2.28709374608308,0.209925374003416,10.8947941950355,1.22042168353026e-27,2.63508431351398e-25
AT3G15510,1018.67315593959,1.94103511017011,0.208458054508509,9.31139415431358,1.26165258729967e-20,2.06723118612654e-18
AT3G15540,4662.03826797822,4.62526625788929,0.182942733252122,25.2825907630614,4.96460881514114e-141,2.86743393640515e-137
AT3G16500,7360.48578767989,1.12248250924191,0.154631636929126,7.25907409074632,3.89748960391234e-13,3.42371491707934e-11
AT3G18560,2395.10967691011,1.1137230563133,0.123846308277446,8.99278365099338,2.41046428397137e-19,3.59283589371552e-17
AT3G19200,1613.74407268454,1.369927982539,0.196966966512134,6.95511540233122,3.52273548331033e-12,2.72193170136851e-10
AT3G20830,1866.60240551861,1.61932901195896,0.167973005865079,9.64041218182195,5.39708260630283e-22,9.51822896590948e-20
AT3G23030,11415.6260979549,2.25497049226124,0.109637815503563,20.567451858688,5.37151206980173e-94,8.27320288990863e-91
AT3G26690,4545.02010304332,1.14789728571166,0.185329038526405,6.19383392283726,5.87180966980537e-10,3.14748071465229e-08
