,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G13840,9.06018339164926,16.5211954149245,16.8210972986294,26.7904515117062,8.32973303256976,7.20702527955334
AT3G13845,1487.88345031751,1313.98574200033,1308.68136983337,1409.97154067165,1873.14871569913,1314.76732599852
AT3G13850,5.03343521758292,2.20282605532326,5.04632918958882,3.96895577951203,19.7831159523532,9.26617535942572
AT3G13855,46.3076040017629,31.9409778021873,48.7811821660253,68.4644871965825,105.162879536193,42.2125766373838
AT3G13857,39.2607946971468,22.0282605532326,35.3243043271217,53.5809030234124,48.9371815663474,25.7393759984048
AT3G13860,5373.69543829153,5964.15154478774,4873.91294227787,6316.59312309339,6938.66761613061,5799.59619996057
AT3G13870,14645.2831090793,14814.0052220489,14548.5670535846,14084.8318225433,12715.3374742177,13166.205610704
AT3G13880,342.273594795639,375.581842432616,310.349245159712,357.206020156082,379.002852981924,325.345712619836
AT3G13882,5451.2103406423,5774.70850402993,4737.66205415897,5476.16673678172,7349.94818461375,5488.66453789984
AT3G13890,0,0,0,0,1.04121662907122,1.02957503993619
AT3G13898,36.240733566597,19.8254344979094,55.509621085477,59.5343366926804,63.5142143733445,32.9464012779581
AT3G13900,106.708826612758,115.648367904471,87.4697059528729,110.138522881459,82.2561136966264,94.7209036741296
AT3G13910,2473.43006592025,1866.89508188647,2548.39624074235,2376.41227298283,2410.41649629988,2287.71573873822
AT3G13920,57339.8873116611,58544.5080723264,50754.2968791545,56223.2353336225,61315.164852746,52341.5358802761
AT3G13930,16773.4195190733,16320.7382438901,18583.1072406608,18367.3351086368,14024.1467769603,17523.367179714
AT3G13940,3594.87943239772,3572.98386173433,3116.1082745711,4356.92120695933,4009.72523855327,3800.16147240448
AT3G13950,196.303973485734,201.558584062079,179.985741095335,196.463311085845,127.028428746689,135.903905271577
AT3G13960,0,33.0423908298489,26.0727008128756,12.8991062834141,4.16486651628488,31.9168262380219
AT3G13970,585.891859326652,626.704012739468,594.625789506549,474.290215651687,622.64754418459,554.940946525607
AT3G13980,936.218950470423,918.578465069801,2153.10045422456,493.142755604369,569.545496101958,959.56393722053
AT3G13990,4125.40350433096,3805.38201057094,4298.63141466474,4652.60841253297,3411.02567683732,5015.06001952919
AT3G14000,1691.23423310786,1829.44703894597,1647.62648040075,1730.46471986724,1872.10749907005,1766.7507685305
AT3G14010,5260.94648941767,5296.69525002479,5460.1281831351,5985.18531550414,5185.25881277468,5759.44277340306
AT3G14020,579.851737065552,647.630860265039,698.07553789312,623.126057383388,719.480690688213,769.092554832335
AT3G14030,11.0735574786824,7.70989119363142,11.7747681090406,9.92238944878007,2.08243325814244,8.23660031948953
