"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01300",9159.93786345728,0.0379208447257989,0.0945943022244567,0.400878740411013,0.688509402889421,0.911241563643119
"AT1G01320",2255.41582729639,-0.132495495985989,0.132772090655533,-0.997916771000755,0.318319718837698,0.694129064455472
"AT1G01340",2168.47951389486,0.1239658977846,0.228713041898676,0.542014992916404,0.587808177451715,0.866215276432714
"AT1G01350",2976.33432951508,0.163757951359368,0.111771934959333,1.46510795772615,0.142891465902451,0.474517972796368
"AT1G01360",1294.56550611421,0.137418120809208,0.107871018226307,1.27391140890978,0.202694814616654,0.571530179543746
"AT1G01370",929.28060211631,0.0265647936208869,0.147781528310433,0.179757199188551,0.857343186286938,0.967431846868571
"AT1G01430",1491.20209387093,-0.480047720974686,0.124208020653332,-3.86486893881445,0.000111148866030223,0.00195424067876427
"AT1G01440",1315.30091617332,-0.180482322931775,0.148239770162769,-1.21750271694028,0.223413003337616,0.599617868971764
"AT1G01448",1096.82896245852,0.0992873892437846,0.139535100682886,0.711558516515707,0.476738202945254,0.80813579152133
"AT1G01470",8627.25458183525,0.340017222047474,0.174920636988871,1.94383709035491,0.0519150994760928,0.255353319820348
"AT1G01490",5784.59692420294,-0.306204109605963,0.113778494884936,-2.69123009506874,0.00711890763306316,0.0603781634711858
"AT1G01510",5153.74168008507,0.0663659610378161,0.125278858412484,0.529745895506999,0.59628812230306,0.870681042999701
"AT1G01540",4689.91497073601,-0.00729398144748891,0.0918010840154175,-0.0794541973628974,0.93667136159256,0.987853486116722
"AT1G01550",15057.0608521185,0.117388248964448,0.114173433053764,1.02815730266401,0.303875839348749,0.682126264717659
"AT1G01580",2939.98955065207,-1.54154580980372,0.778111292341008,-1.98113794900195,0.0475758055531037,0.241410901755624
"AT1G01600",1056.49159209494,-0.55247242345703,0.196955443440589,-2.80506298178899,0.00503067487840542,0.0461571412691821
"AT1G01610",2886.70906775802,0.165325238165245,0.140823852620944,1.17398604773476,0.240400614180739,0.617687099550195
"AT1G01620",14455.9816126486,-0.249973582415047,0.131628824381447,-1.89907935127224,0.0575540435789355,0.272697101887643
"AT1G01630",5238.90578928815,-0.0206981173828904,0.104758010725402,-0.197580282782818,0.843373462740283,0.96324189784896
"AT1G01640",1870.57454210896,-0.294062987399485,0.174866547615915,-1.68164232329547,0.0926382184103024,0.370472695158943
"AT1G01650",3522.50661126579,0.149563173015388,0.0954150247982129,1.56750127489554,0.116997568455209,0.424732059085589
"AT1G01690",990.385502186894,0.065122454756076,0.135597299853589,0.480263654411937,0.631039929457556,0.886523994100794
"AT1G01710",2839.07350900231,0.0911341277144485,0.11650631911148,0.782224761793789,0.43408249463326,0.784281526043028
"AT1G01720",2953.83539258261,-0.168318826871296,0.13325728563075,-1.2631116270648,0.206549066045537,0.576985538958012
"AT1G01730",3230.17772987093,0.0788470889831926,0.118967216350377,0.662763166206864,0.507482247457707,0.826957491383592
"AT1G01740",737.929231205868,0.128073083911199,0.14061582222045,0.910801372767376,0.362400039058701,0.730650851066688
"AT1G01750",2164.83213541774,-0.834264814491834,0.232995888914537,-3.58059886111485,0.000342807605960923,0.00515617455762709
"AT1G01770",1245.08920521479,-0.0683115545563616,0.137390770890519,-0.497206283315755,0.619043590994058,0.88124740173367
"AT1G01780",1140.21285782808,-0.0916884103819566,0.159173616568089,-0.576027688249047,0.564596466678568,0.854300045234908
"AT1G01790",1371.14075296039,-0.201346027664909,0.150866102540119,-1.33460084323028,0.182007021906755,0.537825493199141
"AT1G01800",5689.95422877038,-0.0215011727754376,0.104165972251471,-0.206412634670473,0.836468602295046,0.96163184604251
"AT1G01820",4582.41263889563,0.125853736676697,0.11576093737121,1.0871865720396,0.276954363970834,0.65807638288781
"AT1G01830",1271.57296105389,-0.178592501823428,0.130076703205378,-1.3729783844648,0.169759066586304,0.519006830089024
"AT1G01910",4969.95087460264,-0.0680791240042196,0.109913565608524,-0.619387821942701,0.535660901804351,0.839862491644786
"AT1G01920",3528.39327686859,0.204331062461423,0.187016056013375,1.09258566786806,0.274575758216166,0.654649227065155
"AT1G01930",1361.65700974735,0.0247843834091446,0.104950263025869,0.236153609286672,0.813313475891001,0.954641290817919
"AT1G01940",2385.84250538789,0.336907410491781,0.17666046436114,1.90709003120843,0.0565089299350243,0.269775262439546
"AT1G01950",2520.91694414054,0.0552731077538149,0.110665264745428,0.499462120123817,0.617453866075859,0.880456938111159
"AT1G01960",12019.7570424349,-0.0937752213227679,0.145994865611057,-0.64231862490694,0.520666323684907,0.833415851448294
"AT1G01990",1722.76036188468,0.0927138204246538,0.119525008227322,0.775685538948662,0.437934680369758,0.786811176653123
"AT1G02000",1295.87841924689,0.0629046535205073,0.123784453084808,0.508178951014225,0.611327851052132,0.878250161415011
"AT1G02010",828.725440944715,-0.150120412972242,0.126225612241591,-1.1893023159588,0.234320724321221,0.611558031404561
"AT1G02050",946.16965684713,0.0712319071485623,0.238517669353461,0.298644152199069,0.765211573329667,0.940847219071693
"AT1G02060",982.846065051029,-0.142508813895873,0.185399564437503,-0.768657759948039,0.442096506754176,0.789743725009025
"AT1G02080",13215.2835276921,0.0294951553339589,0.177936869061024,0.165761910331487,0.868344322512304,0.971074715750438
"AT1G02090",4573.6932992774,0.103597329296338,0.118812858037824,0.871937019336389,0.383242736821209,0.747603174649423
"AT1G02100",3984.56052642198,0.00519309428125636,0.108852483524835,0.0477076325049721,0.961949251171839,0.993713856639717
"AT1G02110",3045.48985317538,0.163257690968567,0.131857388365693,1.23813836290909,0.215664761326488,0.589666425580447
"AT1G02120",5569.51367017994,-0.00808652362256281,0.128151188531963,-0.0631014328871864,0.949685733295992,0.99074866901117
"AT1G02130",4294.98221283579,0.0274204964252863,0.113934812926323,0.240668288480167,0.809812218750709,0.953643622890247
"AT1G02140",9366.32320813835,0.150955928721383,0.138549114188166,1.08954813320832,0.275912241098993,0.656538240070273
"AT1G02145",2342.0332755988,-0.011523878944146,0.103940563709653,-0.110869890761193,0.911719522061525,0.981202346002712
"AT1G02150",2516.43031469347,0.169224233322722,0.142845235170979,1.18466837987399,0.236148589173726,0.613031757429988
"AT1G02160",1478.99441601229,0.0261004598148786,0.213823440424425,0.122065474968839,0.902847164349282,0.978341680711635
"AT1G02170",2785.17857118506,-0.0199699041695987,0.119467104482206,-0.167158183469435,0.86724558617242,0.97101748460509
