genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G09220	51.6400086017646	0.915105368410253	0.25935392038939	3.5284038391875	0.000418073813258276	0.00256275095199853
AT5G15340	37.7501499077968	0.914269352525199	0.266304812825183	3.43316871680188	0.00059657074559616	0.00345978578053085
AT3G28635	48.0976834776633	0.913415869118252	0.253538111816875	3.60267678327585	0.000314957059685185	0.00201107757168436
AT5G45380	86.223467826666	0.913346274918556	0.291830128036759	3.12971892608535	0.00174973636221747	0.00850498795918885
AT2G43320	369.469553659032	0.913226898999951	0.193454410196658	4.72063106791725	2.35114048803145e-06	2.88395909339967e-05
AT4G12290	1847.68412545543	0.912982997786329	0.228150386699326	4.0016719278654	6.28964679814606e-05	0.000505348017666734
AT1G03730	190.521254165997	0.912467826625468	0.197704160954755	4.61531928422228	3.92491441665511e-06	4.51230479479472e-05
AT5G39785	156.625740314692	0.912359606904992	0.147643195729784	6.17948969741068	6.43091304968299e-10	1.73733514191309e-08
AT2G37760	1556.63251484624	0.911645850481057	0.278776063823879	3.27017261803726	0.00107481874381406	0.00570181497368723
AT1G22490	85.6054666888655	0.911200344293936	0.225882718274916	4.03395333318477	5.48462149597913e-05	0.000447723034964144
AT5G04760	446.547269769306	0.910613632541075	0.146738317802145	6.20569764040028	5.44547866954282e-10	1.49721935799282e-08
AT3G14100	2315.22343436217	0.910601947283518	0.150550290976157	6.04849011834678	1.46209588048854e-09	3.64792922181892e-08
AT4G04940	259.408049332077	0.909326076736424	0.216740263076129	4.1954644874498	2.72312952540088e-05	0.000244883269782312
AT4G23050	1555.63858996945	0.909208909037612	0.189561460397487	4.79638058881332	1.61558191888414e-06	2.10151096747586e-05
AT1G31830	431.49628531247	0.908821330040222	0.110335107123257	8.23691890764163	1.76702164073244e-16	1.15453687094006e-14
AT5G26038	108.818455915877	0.908724145043644	0.203831728513341	4.45820752083829	8.26478693313814e-06	8.72231277871478e-05
AT1G18800	810.267796912867	0.907219834582449	0.162780940428856	5.57325588728217	2.50021908886886e-08	5.01605117974691e-07
AT4G13345	701.09004014104	0.907136761941961	0.132270095500182	6.85821506752228	6.97262350407717e-12	2.69405171402178e-10
AT5G64570	618.377147274766	0.906067763244089	0.20952568985103	4.32437551637841	1.52964548349496e-05	0.000148857989727831
AT2G46650	2646.75530249036	0.905950010554676	0.0989545891541392	9.1552096602968	5.42523574779561e-20	5.0093722044508e-18
AT3G21890	371.601192709149	0.903308085585149	0.256508940503605	3.52154620346441	0.000429037894617813	0.00261590276986987
AT2G05075	92.725648296744	0.903198647169375	0.214910073226518	4.20268177107451	2.63771285456095e-05	0.000238298457542442
AT1G22170	146.291201927515	0.902706516354304	0.163056416735579	5.53616063952993	3.09174018865445e-08	6.04254855370941e-07
AT5G01610	103.092388796739	0.902343491200626	0.177812538330611	5.0746898934814	3.88128456845764e-07	5.8201897048617e-06
AT4G05010	95.4521649948605	0.901472696633801	0.178927923999907	5.03818898963066	4.69957290836692e-07	6.94074832619203e-06
AT1G12380	352.55457239503	0.901370677841742	0.18955244185316	4.75525753733105	1.9819359811912e-06	2.49235091511406e-05
AT4G33920	964.907239365699	0.901155208012081	0.134947398330478	6.67782572439972	2.42513176739032e-11	8.48904706576197e-10
AT1G55210	1501.57178579896	0.90102405466811	0.154528199272206	5.83080666772624	5.51600641482434e-09	1.23914653684746e-07
AT2G23040	95.5886244216051	0.900651074874935	0.181353950897967	4.96626111763983	6.82560381070583e-07	9.77294787377801e-06
AT5G02460	160.498596043148	0.900637216517598	0.156828526508839	5.74281501310183	9.31154339221933e-09	2.0090490080747e-07
AT1G17420	2008.98906753189	0.900396292693897	0.2611302957091	3.44807288732572	0.000564601653724231	0.00330296896602504
AT4G10650	44.0726258034243	0.899976054111098	0.263580566026547	3.41442492395458	0.000639168059465567	0.00366424064987679
AT1G67365	86.8389266777327	0.899829566887638	0.186936275528317	4.81356314789385	1.48262722302637e-06	1.94801435639425e-05
AT2G05940	1087.7972567042	0.899762538535044	0.10141911472081	8.87172542387049	7.20211818236574e-19	5.92671149933417e-17
AT4G09510	924.897123363301	0.899130841820897	0.100101959870947	8.98215022942683	2.65525955648209e-19	2.28947802860935e-17
AT4G28560	104.800250089175	0.898511880136017	0.217862933897474	4.12420719790204	3.7201389997814e-05	0.000319240468210294
AT4G03875	39.2674411379006	0.898171098833263	0.250798704607286	3.58124297427958	0.000341963446633279	0.00215941537799954
AT5G14580	193.036713488729	0.897878306480075	0.172246921481604	5.21273935555341	1.86072249215643e-07	2.99928004182437e-06
AT5G10605	305.145497117373	0.897866952664824	0.128421516131582	6.99156169239474	2.71843038996593e-12	1.11460398489285e-10
AT1G67970	358.785624961071	0.897333784569731	0.162770941044434	5.51286230092369	3.53044444469433e-08	6.83164303312014e-07
AT3G13110	2287.93352451309	0.897035861912227	0.155358138721177	5.77398692656937	7.74174461056941e-09	1.6905692397736e-07
AT5G24280	137.19287920096	0.896939919285284	0.176435558725182	5.08366865367751	3.70213547940848e-07	5.58367738897537e-06
AT4G34920	3035.85131661427	0.895402761984711	0.135885121034777	6.58940990129118	4.41578105006669e-11	1.46898316265552e-09
AT2G30720	555.289566470317	0.89533269313045	0.147410765343716	6.07372664433844	1.24975400351426e-09	3.17556670037052e-08
AT3G58590	97.4639247831639	0.895252989948097	0.167295470888325	5.35132831268163	8.7310950306194e-08	1.53731510325163e-06
