"genes","go"
"AT2G46240","GO:0051087"
"AT5G56740","GO:0008080"
"AT5G56740","GO:0006325"
"AT5G56740","GO:0004402"
"AT5G56740","GO:0005634"
"AT5G56740","GO:0006348"
"AT5G56740","GO:0016573"
"AT1G09170","GO:0005515"
"AT1G09170","GO:0005524"
"AT1G09170","GO:0007018"
"AT1G09170","GO:0008017"
"AT1G09170","GO:1990939"
"AT1G09170","GO:0005515"
"AT1G09170","GO:0005524"
"AT1G09170","GO:0007018"
"AT1G09170","GO:0008017"
"AT1G09170","GO:1990939"
"AT5G60810","GO:0008083"
"AT5G60810","GO:0010082"
"AT1G49530","GO:0008299"
"AT5G66005","GO:0017111"
"AT5G66005","GO:0017111"
"AT5G66005","GO:0017111"
"AT1G44750","GO:0015211"
"AT1G44750","GO:0016021"
"AT1G44750","GO:0015211"
"AT1G44750","GO:0016021"
"AT3G05850","GO:0008270"
"AT3G05850","GO:0005515"
"AT2G47210","GO:0005634"
"AT2G47210","GO:0045892"
"AT2G47210","GO:0006281"
"AT2G47210","GO:0006338"
"AT2G47210","GO:0035267"
"AT2G47210","GO:0043967"
"AT2G47210","GO:0043968"
"AT2G47210","GO:0005634"
"AT2G47210","GO:0045892"
"AT2G47210","GO:0006281"
"AT2G47210","GO:0006338"
"AT2G47210","GO:0035267"
"AT2G47210","GO:0043967"
"AT2G47210","GO:0043968"
"AT2G47210","GO:0005634"
"AT2G47210","GO:0045892"
"AT2G47210","GO:0006281"
"AT2G47210","GO:0006338"
"AT2G47210","GO:0035267"
"AT2G47210","GO:0043967"
"AT2G47210","GO:0043968"
"AT5G09730","GO:0004553"
"AT5G09730","GO:0005975"
"AT5G09730","GO:0009044"
"AT5G09730","GO:0045493"
"AT5G10930","GO:0007165"
"AT5G10930","GO:0004672"
"AT5G10930","GO:0005524"
"AT5G10930","GO:0006468"
"AT5G57565","GO:0004672"
"AT5G57565","GO:0005524"
"AT5G57565","GO:0006468"
"AT5G57565","GO:0004672"
"AT5G57565","GO:0005524"
"AT5G57565","GO:0006468"
"AT3G24890","GO:0016021"
"AT3G24890","GO:0016192"
"AT3G24890","GO:0016021"
"AT3G24890","GO:0016192"
"AT3G24890","GO:0016021"
"AT3G24890","GO:0016192"
"AT3G24890","GO:0016021"
"AT3G24890","GO:0016192"
"AT1G77760","GO:0016491"
"AT1G77760","GO:0030151"
"AT1G08465","GO:0007275"
"AT4G01310","GO:0003735"
"AT4G01310","GO:0005840"
"AT4G01310","GO:0006412"
"AT1G63430","GO:0005515"
"AT1G63430","GO:0004672"
"AT1G63430","GO:0006468"
"AT1G53270","GO:0016020"
"AT1G53270","GO:0005524"
"AT3G18610","GO:0003676"
"AT1G04300","GO:0005515"
"AT3G29340","GO:0003700"
"AT5G66920","GO:0005507"
"AT5G66920","GO:0016491"
"AT1G66150","GO:0004672"
"AT1G66150","GO:0005524"
"AT1G66150","GO:0006468"
"AT1G66150","GO:0005515"
"AT1G51600","GO:0005515"
"AT1G51600","GO:0006355"
"AT1G51600","GO:0008270"
"AT1G51600","GO:0043565"
"AT1G51600","GO:0005515"
"AT1G51600","GO:0006355"
"AT1G51600","GO:0008270"
"AT1G51600","GO:0043565"
"AT2G45100","GO:0017025"
"AT2G45100","GO:0006352"
"AT2G45100","GO:0070897"
"AT2G45100","GO:0017025"
"AT2G45100","GO:0006352"
"AT2G45100","GO:0070897"
"AT2G45100","GO:0017025"
"AT2G45100","GO:0006352"
"AT2G45100","GO:0070897"
"AT4G23210","GO:0004672"
"AT4G23210","GO:0005524"
"AT4G23210","GO:0006468"
"AT4G23210","GO:0004672"
"AT4G23210","GO:0005524"
"AT4G23210","GO:0006468"
"AT5G51020","GO:0016829"
"AT5G51020","GO:0017009"
"AT4G34790","GO:0009733"
"AT1G51320","GO:0005515"
"AT3G24982","GO:0005515"
"AT3G07740","GO:0008270"
"AT3G07740","GO:0003713"
"AT3G07740","GO:0006357"
"AT3G07740","GO:0035065"
"AT5G09660","GO:0006099"
"AT5G09660","GO:0030060"
"AT5G09660","GO:0016491"
"AT5G09660","GO:0016616"
"AT3G14415","GO:0010181"
"AT3G14415","GO:0016491"
"AT3G14415","GO:0010181"
"AT3G14415","GO:0016491"
"AT4G11050","GO:0004553"
"AT4G11050","GO:0005975"
"AT4G11050","GO:0030246"
"AT5G22810","GO:0016788"
"AT1G61690","GO:0046872"
"AT2G25870","GO:0004222"
"AT2G25870","GO:0006364"
"AT1G15180","GO:0042910"
"AT1G15180","GO:1990961"
"AT1G15180","GO:0015297"
"AT1G15180","GO:0016020"
"AT1G15180","GO:0055085"
"AT2G39840","GO:0016787"
"AT2G43600","GO:0004568"
"AT2G43600","GO:0006032"
"AT2G43600","GO:0016998"
"AT2G39360","GO:0004672"
"AT2G39360","GO:0006468"
"AT4G29580","GO:0004126"
"AT4G29580","GO:0008270"
"AT4G29580","GO:0009972"
"AT2G14050","GO:0003677"
"AT2G14050","GO:0005524"
"AT2G14050","GO:0032508"
"AT1G72125","GO:0016020"
"AT1G72125","GO:0022857"
"AT1G72125","GO:0055085"
"AT1G72125","GO:0042937"
"AT1G72125","GO:0042938"
"AT1G72125","GO:0071916"
"AT1G09850","GO:0006508"
"AT1G09850","GO:0008234"
"AT3G14020","GO:0003700"
"AT3G14020","GO:0006355"
"AT3G14020","GO:0003700"
"AT3G14020","GO:0006355"
"AT4G15330","GO:0004497"
"AT4G15330","GO:0005506"
"AT4G15330","GO:0016705"
"AT4G15330","GO:0020037"
"AT4G14710","GO:0010309"
"AT3G59730","GO:0030246"
"AT3G59730","GO:0004672"
"AT3G59730","GO:0005524"
"AT3G59730","GO:0006468"
"AT4G31780","GO:0009247"
"AT4G31780","GO:0016758"
"AT2G25000","GO:0003700"
"AT2G25000","GO:0006355"
"AT2G25000","GO:0043565"
"AT3G22630","GO:0004298"
"AT3G22630","GO:0005839"
"AT3G22630","GO:0051603"
"AT5G04900","GO:0016491"
"AT1G66860","GO:0016811"
"AT1G66860","GO:0016787"
"AT5G43850","GO:0010309"
"AT3G12030","GO:0016020"
"AT3G12030","GO:0005262"
"AT3G12030","GO:0030176"
"AT3G12030","GO:0032469"
"AT5G48760","GO:0003735"
"AT5G48760","GO:0005840"
"AT5G48760","GO:0006412"
"AT5G48760","GO:0003735"
"AT5G48760","GO:0005840"
"AT5G48760","GO:0006412"
"AT1G47840","GO:0005524"
"AT1G47840","GO:0005975"
"AT1G47840","GO:0016773"
"AT1G47840","GO:0001678"
"AT1G47840","GO:0004396"
"AT1G47840","GO:0005536"
"AT5G63740","GO:0004842"
"AT5G63740","GO:0016567"
"AT1G29220","GO:0006355"
"AT2G42250","GO:0004497"
"AT2G42250","GO:0005506"
"AT2G42250","GO:0016705"
"AT2G42250","GO:0020037"
"AT5G23080","GO:0003723"
"AT5G23080","GO:0006396"
"AT5G23080","GO:0006397"
"AT5G42140","GO:0046872"
"AT5G42140","GO:0046872"
