gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT5G28910,112,85,136,134,112,87
AT5G28919,4259,3428,4092,4034,3565,3553
AT5G28920,4276,3436,4110,4045,3570,3573
AT5G28931,0,0,0,0,0,0
AT5G28950,1,0,0,0,3,2
AT5G28960,162,120,269,74,60,114
AT5G29000,2053,1653,2614,2207,2029,2132
AT5G29044,0,0,0,0,0,0
AT5G29050,0,0,0,0,0,0
AT5G29054,0,0,0,0,0,0
AT5G29070,0,0,0,0,0,0
AT5G29210,0,0,0,0,0,0
AT5G29231,0,0,0,0,0,0
AT5G29560,4,2,2,12,12,4
AT5G29613,0,0,0,0,0,0
AT5G29624,0,0,0,0,0,0
AT5G29807,0,0,0,0,0,0
AT5G30341,0,0,0,0,0,0
AT5G30490,1561,1445,1846,1897,1818,1664
AT5G30495,1605,1561,1680,1554,1939,1403
AT5G30500,0,0,2,0,1,0
AT5G30510,3076,2858,3145,3058,3548,2758
AT5G30520,0,0,0,0,0,0
AT5G31412,0,0,2,2,1,0
AT5G32017,0,0,0,0,0,0
AT5G32440,6453,5735,7046,6224,6063,5494
AT5G32450,3052,2892,3586,3004,3378,2561
AT5G32460,3,2,0,2,6,2
AT5G32470,2034,1938,2700,2212,1914,2268
AT5G32590,0,0,0,0,0,0
AT5G32597,0,0,0,0,0,0
AT5G32613,0,0,0,0,0,0
AT5G32619,0,0,0,0,0,0
AT5G33210,2,0,0,2,0,0
AT5G33280,1058,776,1185,991,834,991
AT5G33290,2306,1644,2738,1965,1284,1883
AT5G33300,2474,2300,2368,2734,2687,2299
AT5G33320,14924,12428,20613,11737,11845,12254
AT5G33330,76,59,91,52,99,70
AT5G33340,4,2,4,4,2,4
AT5G33355,10,0,2,0,0,2
AT5G33370,4,0,0,2,0,0
AT5G33390,1,0,2,0,0,0
AT5G33393,0,0,0,0,0,0
AT5G33399,11,22,13,15,33,13
AT5G33406,1,1,2,0,0,0
AT5G33421,0,0,0,0,0,0
AT5G33439,0,0,0,0,0,0
AT5G33806,0,0,0,0,0,0
AT5G33898,0,0,0,0,0,0
AT5G34581,0,0,0,0,0,0
AT5G34780,0,0,0,0,0,2
AT5G34828,0,0,0,0,0,0
AT5G34829,0,0,0,0,0,0
AT5G34830,0,0,8,0,8,0
AT5G34850,18061,17407,22935,18937,17342,17399
AT5G34869,0,0,0,0,0,0
AT5G34870,0,0,0,0,0,0
AT5G34871,10,6,7,8,3,10
AT5G34881,0,0,0,0,0,0
AT5G34882,0,0,0,0,0,0
AT5G34883,0,0,0,0,0,0
AT5G34885,0,0,0,0,0,0
AT5G34887,0,0,0,0,0,0
AT5G34905,0,0,0,0,0,0
AT5G34908,0,0,0,0,0,0
AT5G34930,1870,1864,2939,1835,1367,1932
AT5G34940,1969,1775,2618,2015,1613,2000
AT5G35050,0,0,0,0,0,0
AT5G35066,0,0,0,0,0,0
AT5G35069,0,0,0,0,0,0
AT5G35080,2941,2916,3739,2940,3341,2895
AT5G35090,2,0,0,4,0,2
AT5G35100,950,644,1281,975,701,974
AT5G35110,127,111,232,143,152,149
AT5G35120,0,0,0,0,0,0
AT5G35160,8245,8065,10881,7629,6505,7332
AT5G35170,1005,1072,1088,919,1205,887
AT5G35180,6964,5850,9643,8076,6116,7917
AT5G35190,3402,3862,7541,7381,2361,5772
AT5G35195,0,0,0,0,0,0
AT5G35200,6885,6278,9095,6531,5446,5804
AT5G35210,8003,6671,9346,8080,5555,8378
AT5G35220,884,767,1020,969,788,838
AT5G35230,0,0,0,0,0,0
AT5G35290,0,0,0,0,0,0
AT5G35300,0,0,0,0,0,0
AT5G35320,1916,2126,2077,2198,2989,1836
AT5G35330,1861,1813,2166,2013,2024,1900
AT5G35338,0,0,0,0,0,0
AT5G35360,16563,15586,18044,14096,13879,13002
AT5G35370,2240,2000,3038,2271,1871,2041
AT5G35375,0,0,1,2,2,0
AT5G35380,5,14,28,21,14,25
AT5G35390,2,6,9,2,2,2
AT5G35400,722,715,824,794,775,747
AT5G35405,0,0,0,0,0,0
AT5G35407,2,3,11,0,1,7
AT5G35410,899,838,963,872,904,767
AT5G35430,3910,3499,4938,4286,3339,4082
AT5G35450,2963,2351,3602,3352,2516,3499
AT5G35460,4226,3738,5306,4511,4128,4430
AT5G35470,0,0,0,0,0,0
AT5G35475,0,0,1,0,0,0
AT5G35480,0,0,0,0,0,0
AT5G35490,0,0,0,0,0,0
AT5G35510,0,1,1,0,0,0
AT5G35520,1237,1278,1645,1310,1710,1408
AT5G35525,53,42,74,27,6,17
AT5G35526,0,0,0,0,0,0
AT5G35530,32442,31760,30867,33347,42426,29717
AT5G35540,0,0,0,0,0,0
AT5G35550,5,10,10,4,7,12
AT5G35560,3527,2951,4306,3529,3007,3822
AT5G35570,2890,2633,3486,2924,2446,2704
AT5G35580,1606,1421,2185,1557,1309,1572
AT5G35590,11357,10503,12320,11124,13111,9921
AT5G35600,0,0,6,6,0,0
AT5G35603,0,0,0,0,0,0
AT5G35604,0,0,0,0,0,1
AT5G35605,0,0,3,2,4,0
AT5G35610,0,0,0,0,0,0
AT5G35620,9282,9876,11725,8656,11650,9010
AT5G35630,9481,9022,13156,10003,7450,10166
AT5G35631,1,0,0,0,0,0
AT5G35640,2,0,0,0,0,0
AT5G35660,1,0,0,0,0,0
AT5G35670,1796,1636,2085,1829,2013,1733
AT5G35680,8342,7519,10038,10588,9383,8571
AT5G35688,3,2,2,0,3,0
AT5G35690,3114,2296,3642,2994,2487,2939
AT5G35695,0,0,0,0,0,0
AT5G35698,0,0,0,0,0,0
AT5G35700,3555,4185,5319,3837,3358,3561
AT5G35715,0,0,0,2,0,0
AT5G35730,6579,6226,8271,6098,5402,6170
AT5G35732,1130,814,1370,693,759,972
AT5G35735,4497,3430,7216,4314,4386,5415
AT5G35737,0,0,2,0,0,0
AT5G35740,1659,1562,2275,584,734,611
AT5G35750,1978,1718,2438,2169,1435,2134
AT5G35753,1568,1496,1711,1300,1099,1376
AT5G35760,79,61,79,71,113,108
AT5G35770,266,232,226,372,615,372
AT5G35790,170,139,208,163,174,124
AT5G35810,0,0,2,0,0,2
AT5G35830,10,6,6,12,4,2
AT5G35840,2379,2011,2841,2557,1936,2355
AT5G35870,65,141,57,105,149,102
AT5G35890,2,0,4,2,2,2
AT5G35900,2,0,4,8,4,0
AT5G35910,5549,5127,6281,6765,6072,6394
AT5G35917,0,0,0,2,0,2
AT5G35920,1,3,5,0,1,2
AT5G35926,255,205,222,218,210,189
