gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G44030,50,61,47,66,22,26
AT1G44050,461,460,682,800,209,456
AT1G44080,0,0,2,8,2,0
AT1G44085,0,0,0,0,0,0
AT1G44090,6,2,10,17,6,10
AT1G44094,0,0,0,0,0,0
AT1G44100,4106,3296,7015,5021,4958,5956
AT1G44110,2531,2224,2410,3247,2801,2210
AT1G44120,998,973,1214,1039,802,1058
AT1G44125,994,965,1208,1025,796,1045
AT1G44130,228,145,217,377,249,251
AT1G44160,917,748,1056,579,415,428
AT1G44170,6752,6125,9136,6866,5998,6378
AT1G44180,593,633,1032,674,615,716
AT1G44191,0,2,0,2,0,0
AT1G44224,0,0,0,0,0,0
AT1G44318,2,11,5,2,0,2
AT1G44350,505,495,902,413,505,480
AT1G44414,8,5,6,4,17,5
AT1G44446,515,422,575,353,441,465
AT1G44478,0,0,2,0,0,0
AT1G44542,38,4,60,30,31,70
AT1G44575,765,619,1097,413,600,694
AT1G44608,510,500,1223,138,129,308
AT1G44674,0,0,0,0,0,0
AT1G44740,612,510,592,590,687,509
AT1G44750,3997,3379,4573,3622,3644,3681
AT1G44760,1200,1292,1744,827,1023,1060
AT1G44770,2815,2473,3326,2498,2287,2358
AT1G44780,1129,1192,1311,1224,1310,1151
AT1G44790,1877,1571,2070,1678,1937,1409
AT1G44800,18207,9894,19519,9114,7417,12000
AT1G44810,3894,3789,4726,3766,4454,3983
AT1G44820,2936,2113,3143,2607,1904,2559
AT1G44830,328,268,401,221,175,282
AT1G44835,3355,3238,4081,3410,3840,3375
AT1G44890,104,49,84,125,87,78
AT1G44900,4706,4297,4961,5511,4348,4760
AT1G44910,3095,2671,3620,3311,2651,3292
AT1G44920,734,649,866,697,811,732
AT1G44940,2,1,1,1,1,2
AT1G44941,2,0,1,0,1,0
AT1G44960,1904,1828,2355,1927,2335,2018
AT1G44970,1871,2201,3215,2011,1966,2397
AT1G44980,0,0,0,0,0,1
AT1G44990,0,0,0,0,0,0
AT1G45000,11207,10643,13136,10854,10287,10029
AT1G45010,37,52,40,38,22,26
AT1G45015,147,122,242,90,101,117
AT1G45050,1826,1537,1852,1885,2009,1449
AT1G45063,2,0,4,0,6,0
AT1G45100,6,2,2,0,0,0
AT1G45110,431,492,448,506,501,450
AT1G45130,10745,9884,13221,7837,8070,8740
AT1G45145,11578,8617,11326,14769,9680,6978
AT1G45150,1275,1230,1725,1440,1338,1467
AT1G45160,4670,4018,6155,4630,2896,4426
AT1G45163,138,152,223,133,141,154
AT1G45165,136,151,222,131,140,151
AT1G45170,1300,1243,1390,1403,1820,1253
AT1G45180,1737,1559,2072,2001,1474,1855
AT1G45190,0,0,0,0,0,0
AT1G45191,2,10,4,4,2,8
AT1G45201,10761,5193,11758,3889,2612,3071
AT1G45207,1401,1478,1826,1258,1439,1446
AT1G45215,0,0,0,0,0,0
AT1G45221,0,0,0,0,0,0
AT1G45223,0,0,0,0,0,0
AT1G45229,426,444,454,574,421,482
AT1G45230,737,566,705,600,646,623
AT1G45231,1008,981,1302,1391,1302,1334
AT1G45233,1221,1024,1310,1223,987,1126
AT1G45234,18,15,24,22,11,12
AT1G45236,9,0,5,3,1,5
AT1G45238,6,1,8,14,7,5
AT1G45240,5,7,4,9,15,8
AT1G45242,0,0,0,0,0,0
AT1G45243,5,6,9,4,6,9
AT1G45244,0,0,0,1,0,0
AT1G45246,0,0,0,0,0,0
AT1G45248,242,266,398,262,245,316
AT1G45249,1982,1825,2611,2224,1716,2170
AT1G45332,4525,4068,5112,5232,4268,4776
AT1G45403,0,0,0,0,0,0
AT1G45474,300,245,270,221,210,233
AT1G45545,128,202,310,176,112,196
AT1G45616,42,40,67,50,20,45
AT1G45688,7661,6797,9980,6913,6213,6400
AT1G45976,1963,1617,2182,2006,2425,1938
AT1G46264,3894,3460,4439,3372,3845,3724
AT1G46336,0,0,0,0,0,0
AT1G46408,0,0,0,0,2,0
AT1G46480,1460,1080,1881,1098,1294,1200
AT1G46554,444,357,431,373,305,388
AT1G46696,0,0,0,0,0,0
AT1G46768,248,163,349,285,143,271
AT1G46840,0,2,0,0,0,2
AT1G46912,0,0,0,0,0,0
AT1G46984,0,0,2,0,0,2
AT1G47056,864,878,1107,902,926,974
AT1G47128,30975,27748,35931,23002,17329,22156
AT1G47200,6440,5993,8118,6714,7063,5979
AT1G47210,4380,4340,4111,4147,4551,3826
AT1G47220,3,0,4,0,0,0
AT1G47230,1700,1463,1931,1739,1365,1450
AT1G47240,2630,2364,3406,2386,2327,2616
AT1G47250,4122,3522,4261,3681,4073,3315
AT1G47260,16446,17027,18359,15629,18248,14314
AT1G47265,0,4,0,0,0,0
AT1G47270,1166,1035,999,1326,1484,1209
AT1G47271,648,390,747,628,572,643
AT1G47278,3549,3924,4460,3507,4676,3762
AT1G47280,15,2,12,18,16,10
AT1G47290,3330,3158,3709,3020,2645,2541
AT1G47300,0,4,0,2,0,1
AT1G47310,1947,1661,2262,2062,1915,1828
AT1G47317,0,0,2,2,2,0
AT1G47330,2285,1641,2700,2182,1731,2188
AT1G47340,800,727,876,970,1007,935
AT1G47350,0,0,0,0,0,0
AT1G47370,2,2,0,2,6,4
AT1G47380,3218,3356,4669,3913,2911,3426
AT1G47389,0,0,0,0,0,0
AT1G47390,0,0,0,0,0,2
AT1G47395,885,535,1371,876,804,946
AT1G47400,522,266,801,467,486,653
AT1G47410,3071,2623,3663,3193,3693,2648
AT1G47420,19223,19819,23131,19201,21204,18242
AT1G47450,0,0,0,0,0,0
AT1G47470,2,2,0,1,0,0
AT1G47480,2763,2083,4070,2366,1612,2244
AT1G47485,0,0,0,2,14,0
AT1G47490,7219,6997,8210,6830,7172,6691
AT1G47495,1,0,0,2,1,3
AT1G47497,0,0,1,2,0,3
AT1G47500,6051,6135,7225,6172,6398,5678
AT1G47510,376,484,774,767,870,863
AT1G47530,7190,6104,9913,5742,5872,7158
AT1G47540,4,6,10,2,8,10
AT1G47550,5946,5518,7287,6935,5724,6489
AT1G47560,516,463,645,481,408,489
AT1G47570,2293,2049,2515,2466,2293,2355
AT1G47578,299,299,347,235,215,315
AT1G47580,382,366,383,274,355,335
AT1G47600,657,1274,3763,1795,340,2188
AT1G47603,8,0,3,0,4,2
AT1G47610,8,22,72,6,12,4
AT1G47620,193,365,534,145,182,237
AT1G47640,6524,7183,7923,6065,8118,5910
AT1G47655,322,296,634,299,399,377
AT1G47660,0,0,0,0,0,0
AT1G47670,4990,4191,5490,5822,6000,4915
AT1G47680,0,0,0,0,0,0
AT1G47690,1,0,3,0,0,0
AT1G47700,0,0,0,0,0,0
AT1G47710,4322,3455,5336,4210,3737,4282
AT1G47720,943,792,1052,941,1072,996
AT1G47730,0,6,0,0,0,2
AT1G47740,5236,4897,6659,5051,4499,5120
AT1G47750,1397,1330,1782,1286,1311,1298
AT1G47760,160,214,256,186,167,173
AT1G47765,0,0,0,0,0,0
AT1G47770,0,2,0,0,0,0
AT1G47780,0,0,0,0,0,3
AT1G47786,0,0,2,0,0,0
AT1G47790,4,2,0,0,0,2
AT1G47800,0,0,0,2,0,0
AT1G47810,0,0,0,0,0,0
AT1G47813,3,1,2,1,1,1
AT1G47820,675,645,643,702,931,702
AT1G47830,3305,3786,4737,3332,4221,3127
AT1G47840,4576,4330,5757,5445,4016,5484
AT1G47870,1994,1846,2415,2111,1854,2051
AT1G47885,4,4,0,4,1,8
AT1G47890,274,132,290,394,168,293
AT1G47900,4057,3453,4993,4084,3161,4387
AT1G47915,11,16,13,2,10,10
AT1G47920,47,70,78,55,34,58
AT1G47940,0,0,0,0,0,0
AT1G47946,0,0,0,0,0,0
AT1G47960,2365,1403,2022,1578,1737,2359
AT1G47970,7551,6828,9932,6838,6683,7435
AT1G47980,12,14,10,1,14,14
AT1G47990,236,195,261,286,511,551
AT1G48000,499,483,588,357,395,587
AT1G48010,0,0,0,0,0,0
AT1G48020,2,4,4,8,6,5
AT1G48030,10900,11283,13193,11470,11341,11355
AT1G48040,950,1067,1450,1021,1101,1015
AT1G48050,1833,1802,2362,2073,1787,2024
AT1G48060,22,26,20,14,30,20
AT1G48070,6,8,12,2,6,7
AT1G48080,0,0,0,0,0,0
AT1G48090,7387,5964,8007,8631,4302,7653
AT1G48095,0,0,0,0,0,0
AT1G48100,303,267,349,292,686,655
AT1G48110,4915,4178,5783,5556,4454,4866
AT1G48120,1040,899,1337,1350,911,1270
AT1G48130,18,14,10,4,10,24
AT1G48140,1911,2073,2282,1893,2653,1829
AT1G48145,0,0,0,0,0,2
AT1G48150,8,0,2,0,0,2
AT1G48160,4643,4524,5534,4634,5577,4081
AT1G48170,1466,1451,1724,1584,1847,1366
AT1G48175,1150,1082,1296,1123,1358,1089
AT1G48180,10,10,8,6,4,4
AT1G48190,0,0,0,0,0,0
AT1G48195,8,12,19,18,9,2
AT1G48200,1858,1854,2305,1806,2310,1703
AT1G48210,2568,2058,3369,3000,2144,2886
AT1G48220,16,10,10,9,5,8
AT1G48230,6130,5058,6851,5042,5120,5067
AT1G48240,1447,1338,1624,1382,1483,1190
AT1G48260,866,1039,910,655,381,396
AT1G48267,21,12,24,19,26,20
AT1G48270,904,871,1103,844,898,826
AT1G48280,568,564,851,593,464,903
AT1G48300,13204,10968,15083,9856,10866,10346
AT1G48310,1667,1285,1694,1463,1593,1336
AT1G48315,1828,1522,2445,1947,1663,1760
AT1G48320,1731,1419,2328,1876,1576,1691
AT1G48325,74,22,122,220,93,135
AT1G48330,1112,870,1355,831,789,893
AT1G48350,1444,1275,1221,1462,1805,1201
AT1G48360,1270,1159,1304,1263,1173,1149
AT1G48370,1431,1297,1699,1574,1132,1353
AT1G48380,1332,1309,1725,1282,1476,1269
AT1G48390,247,208,209,214,282,237
AT1G48400,29,39,78,55,50,74
AT1G48405,9,14,17,36,23,8
AT1G48410,17076,13751,18216,15057,11252,15095
AT1G48420,4919,4418,5373,3863,4897,4373
AT1G48430,2778,2364,3163,2662,2541,2611
AT1G48440,5315,4067,5484,5130,5505,4138
AT1G48450,1881,1589,1942,2142,2216,1951
AT1G48460,1109,1192,1278,1189,1522,1139
AT1G48470,75,58,74,41,74,40
AT1G48480,2353,2362,3636,2435,2227,2579
AT1G48490,4339,3505,5185,4387,2947,4022
AT1G48500,919,978,1187,948,755,586
AT1G48510,2329,2592,2795,2013,2176,2115
AT1G48520,1221,1154,1457,1261,1414,1233
AT1G48530,0,0,0,0,4,0
AT1G48540,2004,1469,2162,1726,1163,1900
AT1G48550,1171,1090,1014,1105,1347,1098
AT1G48560,724,702,776,762,702,741
AT1G48570,1992,2059,2324,2221,2524,2335
AT1G48580,502,405,562,566,431,466
AT1G48590,23,19,3,31,22,10
AT1G48598,28524,19382,39612,21435,20630,25533
AT1G48600,28524,19381,39611,21435,20630,25533
AT1G48605,833,924,888,841,924,738
AT1G48610,2394,2838,3436,2155,2903,2241
AT1G48620,6698,5556,8392,6019,5349,6117
AT1G48630,21850,24448,24226,19473,23718,17820
AT1G48635,2570,2519,3254,2677,2772,2632
AT1G48640,189,274,473,217,141,239
AT1G48650,5202,4657,5785,5548,4054,5713
AT1G48660,53,47,78,70,51,106
AT1G48670,460,367,498,329,216,292
AT1G48690,769,551,751,586,414,496
AT1G48698,65,29,40,16,39,33
AT1G48700,105,80,82,44,65,63
AT1G48720,3,0,0,2,0,0
AT1G48730,3,0,0,0,0,0
AT1G48740,210,163,206,224,244,209
AT1G48742,0,0,0,0,0,0
AT1G48745,395,330,368,351,186,220
AT1G48750,15681,7054,11558,4645,5348,4669
AT1G48760,18028,9255,14742,7295,7139,7090
AT1G48770,347,345,469,365,387,415
AT1G48780,253,245,293,221,343,265
AT1G48790,5316,4481,6492,5511,4373,5427
AT1G48800,210,106,178,90,33,81
AT1G48820,40,25,20,19,8,7
AT1G48830,14442,15191,16403,16266,19372,14070
AT1G48840,1473,1243,1762,1503,1299,1514
AT1G48850,11510,11173,18020,10852,10503,12215
AT1G48860,6035,5531,7755,5265,5639,5710
AT1G48870,365,171,229,400,189,134
AT1G48880,545,574,767,531,509,511
AT1G48900,6053,5652,7725,6175,5491,5942
AT1G48910,0,0,0,5,0,0
AT1G48912,0,0,0,0,0,0
AT1G48920,51278,51973,57985,59079,55998,55375
AT1G48930,2030,3235,5626,4424,2348,4418
AT1G48940,0,4,5,2,7,2
AT1G48950,2726,2677,2828,2827,2805,2812
AT1G48953,0,0,0,0,0,0
AT1G48960,901,696,903,1528,1375,1117
AT1G48970,2416,2264,3393,2668,2152,2880
AT1G48980,22,10,8,12,0,6
AT1G48990,2,0,2,2,0,4
AT1G49000,169,124,199,111,70,116
AT1G49005,37,52,51,43,36,41
AT1G49010,27,19,34,20,18,10
AT1G49015,0,0,0,0,0,0
AT1G49020,0,0,0,0,0,0
AT1G49030,231,365,723,67,42,77
AT1G49032,1000,950,1015,826,713,698
AT1G49040,5541,5378,7195,5448,4577,5681
AT1G49050,4502,4150,5097,4936,4466,4936
AT1G49100,20,25,55,35,6,15
AT1G49110,33,32,27,33,41,30
AT1G49120,0,16,0,4,0,0
AT1G49130,19,16,22,20,13,13
AT1G49140,5543,5571,5971,5531,6193,4508
AT1G49150,17,34,43,43,44,37
AT1G49160,2435,1872,2345,2031,1385,1629
AT1G49170,613,665,653,632,862,590
AT1G49180,542,491,581,471,510,489
AT1G49190,1,0,0,1,0,0
AT1G49200,22,23,30,23,36,52
AT1G49210,11,9,25,27,10,22
AT1G49220,9,3,15,4,8,10
AT1G49230,548,257,1005,266,247,542
AT1G49240,34484,35184,40367,33441,32866,30784
AT1G49245,550,541,727,645,623,563
AT1G49250,17,14,27,21,28,10
AT1G49260,0,0,0,0,0,0
AT1G49270,0,0,0,0,0,0
AT1G49280,0,0,0,0,0,0
AT1G49290,0,0,0,4,2,0
AT1G49300,5736,5032,6297,6026,5701,4844
AT1G49310,2647,1789,1852,6549,3504,2541
AT1G49320,817,846,1340,1020,825,1210
AT1G49330,22,11,23,12,17,16
AT1G49340,8618,7596,11723,9125,6051,9081
AT1G49350,1023,929,1005,925,901,899
AT1G49360,1662,1304,2026,1633,1493,1551
AT1G49380,347,382,490,399,312,407
AT1G49390,553,467,513,892,719,658
AT1G49400,3164,2864,3643,3481,3821,3150
AT1G49405,79,95,113,124,191,125
AT1G49410,7635,6899,8248,7903,9199,6321
AT1G49420,0,13,0,0,2,0
AT1G49430,2414,2109,3186,2914,2045,2015
AT1G49435,0,0,0,0,0,0
AT1G49450,488,384,494,577,281,365
AT1G49460,0,1,1,0,0,0
AT1G49470,1329,525,1435,234,182,389
AT1G49475,320,346,390,344,434,314
AT1G49480,4201,4221,5341,4173,4425,4625
AT1G49490,187,139,366,125,165,175
AT1G49500,1049,684,1602,538,406,564
AT1G49510,1616,1497,1909,1520,1533,1462
AT1G49520,708,584,895,643,664,619
AT1G49530,296,273,346,279,385,270
AT1G49540,2957,2928,3163,3331,3339,3101
AT1G49560,1762,1647,2312,1945,2324,2278
AT1G49570,2767,672,2026,167,124,316
AT1G49580,4613,4667,5830,4819,4359,4675
AT1G49590,2206,1970,2636,2335,2459,2079
AT1G49600,15519,14664,16726,13928,14458,13336
AT1G49610,18,20,28,30,18,41
AT1G49620,256,257,416,202,239,249
AT1G49630,1571,1361,1814,1756,1341,1552
AT1G49640,1,6,4,2,2,4
AT1G49650,249,225,356,216,204,193
AT1G49660,3636,3094,5584,2103,2431,3432
AT1G49670,5314,4591,6160,5212,3997,5240
AT1G49680,0,0,0,0,0,0
AT1G49690,0,0,0,0,0,0
AT1G49700,350,310,274,397,575,296
AT1G49710,2373,2211,3447,2454,2375,2662
AT1G49715,0,0,0,0,2,0
AT1G49720,2228,1888,2620,1949,2142,2116
AT1G49730,1327,1328,1476,1174,1400,1196
AT1G49740,2261,1846,3278,3266,3152,3469
AT1G49750,112,83,245,185,184,258
AT1G49760,21652,17987,20606,22265,21035,19784
AT1G49770,0,0,0,0,0,0
AT1G49780,1047,960,1208,1102,948,957
AT1G49790,28,18,36,17,30,36
AT1G49800,0,2,0,1,0,0
AT1G49810,0,0,2,0,0,2
AT1G49820,5787,5251,6174,5504,5204,5090
AT1G49830,26,23,15,85,6,13
AT1G49832,208,139,223,175,161,127
AT1G49840,1141,971,1258,1140,1175,1038
AT1G49850,1738,1400,1972,2122,1785,1955
AT1G49860,2444,1733,2950,3633,982,2248
AT1G49870,1649,1441,1743,1892,1277,1491
AT1G49880,357,310,357,444,413,331
AT1G49890,1849,1852,2497,2004,1808,2138
AT1G49900,150,130,170,185,102,135
AT1G49910,690,557,709,861,748,610
AT1G49920,99,101,85,70,57,73
AT1G49930,2,0,0,0,0,0
AT1G49938,7,3,6,7,1,4
AT1G49940,95,117,85,94,90,93
AT1G49950,3147,3105,3710,3408,3555,3186
AT1G49952,20,9,7,23,8,4
AT1G49960,1664,1353,2169,1598,1658,1442
AT1G49970,4419,3770,4913,4937,4618,4283
AT1G49975,14,12,14,11,2,16
AT1G49980,1393,1297,1655,1561,1232,1435
AT1G49990,76,61,99,83,66,100
AT1G50000,406,486,508,554,612,477
AT1G50010,41794,45809,50731,33380,37342,30665
AT1G50020,1380,1268,2275,1534,1361,1724
AT1G50030,6661,5257,7974,7451,4509,7681
AT1G50040,179,213,227,293,236,162
AT1G50050,117,81,65,20,21,27
AT1G50055,924,910,935,849,942,902
AT1G50060,1327,1035,2051,1532,861,1484
AT1G50070,0,0,0,0,0,0
AT1G50080,0,2,4,2,0,0
AT1G50090,239,202,328,398,136,322
AT1G50100,1,0,0,0,0,0
AT1G50110,1736,1672,1988,2109,2240,2257
AT1G50120,3355,3373,4443,3367,2999,3432
AT1G50140,3977,3659,4790,4075,3724,4351
AT1G50160,0,0,0,2,0,0
AT1G50170,1197,982,1256,1069,1212,1077
AT1G50180,150,132,238,117,136,149
AT1G50190,0,4,2,4,0,5
AT1G50200,20144,17809,22178,24024,18967,21422
AT1G50220,1,4,0,0,0,0
AT1G50240,2557,2024,2404,2851,1890,2328
AT1G50250,2230,1884,3154,1686,1827,2545
AT1G50260,1024,979,1300,1230,1170,1148
AT1G50270,444,400,536,555,421,569
AT1G50280,162,132,217,217,220,210
AT1G50290,208,159,221,138,159,171
AT1G50300,1799,1617,2078,2128,2249,2053
AT1G50310,15,9,32,18,18,13
AT1G50320,1577,1345,1968,1381,1505,1308
AT1G50325,0,0,0,0,0,0
AT1G50340,0,0,0,0,0,0
AT1G50350,2,0,0,0,0,1
AT1G50360,3538,3349,4599,3854,3377,4183
AT1G50370,5785,5242,7010,6363,5523,5738
AT1G50380,3417,2946,4030,3728,3371,3558
AT1G50390,206,349,359,240,298,209
AT1G50400,319,401,501,436,644,647
AT1G50410,3974,3306,4671,4385,3276,4252
AT1G50420,3715,2944,4060,4424,4196,4472
AT1G50430,8879,9083,11871,7531,9454,8149
AT1G50440,1662,1502,2309,1455,1453,1508
AT1G50450,413,316,474,391,418,405
AT1G50460,2546,2361,3037,2035,2348,2235
AT1G50470,0,0,0,0,0,0
AT1G50480,12196,9661,12387,10439,9614,9795
AT1G50490,10793,11203,10302,10285,11379,8545
AT1G50500,4325,3805,4930,4097,3717,3965
AT1G50510,2109,2003,2250,2024,2103,1987
AT1G50520,1933,1915,2584,1687,1848,1907
AT1G50530,7,9,4,0,9,5
AT1G50560,1798,1462,2122,1902,1539,1496
AT1G50570,6080,5135,6811,9340,8266,8240
AT1G50575,1258,1276,1410,1257,1317,1155
AT1G50580,1236,1335,1555,942,777,1074
AT1G50590,327,300,481,291,323,360
AT1G50600,3675,2989,4720,3710,2966,3612
AT1G50603,0,0,0,0,0,0
AT1G50610,4,6,6,4,5,4
AT1G50620,1996,1753,2350,2151,1947,2150
AT1G50630,1774,1846,2371,2015,1422,1391
AT1G50640,4996,4086,6480,4865,4262,4972
AT1G50650,0,0,0,2,0,0
AT1G50659,1256,1207,1650,1625,895,1913
AT1G50660,7318,7235,8369,9432,7990,9243
AT1G50670,3992,3702,5094,3812,3983,3219
AT1G50680,0,5,0,0,0,2
AT1G50690,0,0,0,0,0,0
AT1G50691,0,0,0,0,0,0
AT1G50700,783,749,947,826,802,848
AT1G50710,2513,2358,2940,2459,2624,2386
AT1G50720,58,54,62,4,4,16
AT1G50730,3041,2784,3374,2822,2785,2893
AT1G50732,4,2,7,3,0,6
AT1G50740,2301,2041,2977,2266,2407,1961
AT1G50750,300,268,373,245,260,317
AT1G50760,8,8,15,14,21,5
AT1G50770,2,0,5,0,0,2
AT1G50780,4,9,0,12,6,2
AT1G50790,262,281,326,295,257,270
AT1G50800,0,0,0,0,0,0
AT1G50820,0,1,0,0,0,0
AT1G50830,2,6,14,14,4,10
AT1G50840,1160,1193,1712,1940,1642,2037
AT1G50870,0,0,0,0,2,0
AT1G50880,0,0,0,0,0,0
AT1G50890,771,845,1264,771,603,763
AT1G50900,568,545,718,569,655,631
AT1G50910,813,888,1026,955,1046,1041
AT1G50920,22173,19936,23690,23899,20041,21901
AT1G50930,190,190,391,138,73,171
AT1G50940,1755,1501,2038,1857,1720,1603
AT1G50950,165,170,228,160,173,122
AT1G50954,0,0,0,0,0,0
AT1G50960,0,0,2,0,0,0
AT1G50970,733,581,720,593,615,661
AT1G50980,0,0,0,0,0,0
AT1G50990,0,0,0,0,0,0
AT1G51000,35,37,40,31,46,52
AT1G51010,82,87,81,41,109,114
AT1G51020,214,252,179,130,418,232
AT1G51030,30,26,38,46,25,48
AT1G51035,26,49,91,35,12,77
AT1G51040,0,0,0,0,0,0
AT1G51055,42,35,49,27,21,33
AT1G51060,13275,12924,17397,11805,12724,11500
AT1G51070,10894,8825,12331,10122,8653,8405
AT1G51080,190,124,242,216,181,208
AT1G51090,18,22,20,22,12,14
AT1G51100,215,205,256,210,214,201
AT1G51110,118,60,117,99,110,99
AT1G51120,0,0,0,0,0,0
AT1G51130,890,888,916,1091,1202,1007
AT1G51140,1396,987,1556,1546,1290,1435
AT1G51150,0,0,0,0,0,0
AT1G51160,5892,5358,6833,8090,8392,7162
AT1G51170,1124,906,1480,4574,3235,4550
AT1G51172,0,0,0,0,0,0
AT1G51190,1243,1358,1304,1355,1396,1157
AT1G51200,15760,13365,16725,14888,14965,13673
AT1G51210,0,0,2,2,2,0
AT1G51220,58,84,41,84,73,70
AT1G51230,0,0,0,0,0,0
AT1G51240,0,0,0,0,0,0
AT1G51250,0,0,0,1,0,0
AT1G51260,25,46,58,14,15,16
AT1G51270,1349,1005,980,1267,837,817
AT1G51290,0,0,0,0,0,0
AT1G51300,10,2,6,8,6,4
AT1G51310,835,849,1021,981,1096,942
AT1G51320,0,0,0,0,0,0
AT1G51330,0,0,0,4,12,6
AT1G51340,504,270,670,663,597,658
AT1G51350,1944,1660,2493,1946,1624,2019
AT1G51355,321,225,409,285,297,232
AT1G51360,622,565,665,609,565,622
AT1G51370,497,425,565,447,461,464
AT1G51380,1189,1245,1436,1396,1559,1336
AT1G51390,1630,1621,1942,1677,1541,1424
AT1G51400,313,285,411,277,334,299
AT1G51402,450,398,582,382,485,416
AT1G51405,283,284,279,490,357,383
AT1G51410,0,2,3,3,0,2
AT1G51420,4681,4289,5685,9115,6628,6995
AT1G51430,1300,1211,1476,1141,1484,1389
AT1G51440,26,16,27,9,10,18
AT1G51450,1365,1234,1531,1436,1206,1354
AT1G51460,307,319,117,428,464,322
AT1G51470,522,1115,3123,1982,285,2165
AT1G51480,89,79,75,145,68,82
AT1G51490,0,0,0,0,0,1
AT1G51500,1486,1548,1144,1739,1361,1177
AT1G51510,6512,6561,7831,6639,7980,6024
AT1G51520,302,315,408,423,364,384
AT1G51530,0,1,6,0,12,6
AT1G51538,1,2,0,0,2,0
AT1G51540,2456,2392,3113,2231,2403,2259
AT1G51550,1286,1127,1530,1246,1440,1147
AT1G51560,1337,1139,1425,1306,1250,1202
AT1G51570,5850,4810,6807,5563,4978,5309
AT1G51580,1555,1431,1906,1576,1757,1721
AT1G51590,4886,4733,6278,4747,4601,4717
AT1G51600,1984,1866,2584,2301,2034,2194
AT1G51610,1585,1259,1932,1660,1513,1519
AT1G51620,349,350,289,516,376,381
AT1G51630,8141,6430,9024,13181,8871,9522
AT1G51640,834,905,1126,1230,1013,1102
AT1G51645,821,892,1121,1211,995,1079
AT1G51650,26008,28090,31105,25841,37308,24287
AT1G51660,1941,1587,2401,1822,1664,1904
AT1G51670,83,60,86,44,79,46
AT1G51680,15618,13436,30492,11144,9413,13462
AT1G51690,6524,5677,7844,6289,5512,6002
AT1G51700,555,372,782,510,533,663
AT1G51710,7604,7397,9136,8521,7972,7345
AT1G51720,2392,2301,2911,2679,2221,2397
AT1G51730,5802,6060,6384,5809,7511,5610
AT1G51740,1128,1340,1581,1443,1428,1359
AT1G51745,1675,1697,1830,1714,2042,1836
AT1G51760,6791,5321,7768,8345,8332,7477
AT1G51770,121,115,91,74,91,82
AT1G51780,7,16,13,48,4,15
AT1G51790,2587,2472,2782,2639,1451,1882
AT1G51800,3938,3881,5109,5309,3313,4819
AT1G51805,17,2,4,10,3,3
AT1G51810,14,4,9,4,4,0
AT1G51820,367,335,392,263,214,224
AT1G51823,0,0,2,0,0,0
AT1G51830,7476,6633,6761,11177,6061,6401
AT1G51840,1962,1681,1930,3508,885,2049
AT1G51850,4012,3913,5148,4293,2175,3208
AT1G51860,2093,2022,1988,2762,1477,1386
AT1G51870,158,139,180,216,40,113
AT1G51880,108,132,168,138,67,74
AT1G51890,2266,1909,2128,2329,1264,1554
AT1G51900,2,1,14,3,0,2
AT1G51910,0,0,0,0,0,0
AT1G51913,39,39,38,56,27,46
AT1G51915,14,8,16,8,8,14
AT1G51920,25,18,40,40,35,39
AT1G51930,2,0,5,2,0,0
AT1G51940,605,751,915,734,692,766
AT1G51950,894,953,1557,5281,3455,4076
AT1G51960,34,23,32,104,71,88
AT1G51965,1373,1316,1593,1527,1291,1450
AT1G51970,0,0,0,0,0,0
AT1G51980,26593,23564,29994,27742,25294,24562
AT1G51990,0,0,0,2,0,0
AT1G52000,6,10,10,0,9,14
AT1G52030,2,4,10,3,2,2
AT1G52040,2,2,2,0,0,0
AT1G52050,1632,1662,3533,939,468,940
AT1G52060,2732,2214,4649,1124,619,1280
AT1G52070,8051,7027,12461,5156,4178,5061
AT1G52080,1146,1045,1562,1210,994,1189
AT1G52100,514,769,784,485,786,368
AT1G52110,57,68,168,65,40,94
AT1G52120,411,241,197,228,80,54
AT1G52130,88,91,55,87,33,30
AT1G52140,3031,1407,2835,2525,1926,2577
AT1G52150,6279,4570,8659,7866,5390,8121
AT1G52155,688,609,928,810,817,886
AT1G52160,2012,1722,2228,2515,2081,2255
AT1G52170,0,0,0,2,0,0
AT1G52180,0,0,0,0,0,0
AT1G52185,0,0,0,0,0,0
AT1G52190,87,82,128,103,55,85
AT1G52191,0,0,3,2,2,0
AT1G52200,8224,6954,7141,8774,6288,5427
AT1G52220,156,151,162,114,131,170
AT1G52230,76,44,77,66,57,144
AT1G52240,470,528,776,418,534,398
AT1G52260,1898,1884,2216,2875,2570,2494
AT1G52270,40,50,77,44,84,65
AT1G52280,2324,2490,3172,2084,2207,1689
AT1G52290,102,57,125,120,85,85
AT1G52300,41673,44149,47396,40539,60102,39769
AT1G52310,3792,3546,4361,4024,4221,4039
AT1G52315,445,398,458,469,452,463
AT1G52320,2462,1947,2969,2698,1888,2587
AT1G52325,1,0,2,3,2,3
AT1G52330,1039,889,1430,921,711,1153
AT1G52340,2197,2263,2598,1975,2558,1999
AT1G52342,328,270,397,317,259,180
AT1G52343,260,246,363,330,366,347
AT1G52347,1019,913,1210,1220,1077,1007
AT1G52350,0,0,0,0,0,0
AT1G52360,13435,13018,15839,13154,11246,12028
AT1G52370,2170,2201,2322,2401,2876,2177
AT1G52380,4390,3970,4544,4635,5019,4071
AT1G52390,0,1,0,0,0,0
