,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G01448,1054.00133456186,1054.05226747218,1068.9807333279,972.394165980447,1169.28627444698,1262.25899896177
AT1G01450,584.885172283135,639.920969071408,608.082667345453,543.746941793148,556.009679924032,757.767229393037
AT1G01453,81.5416505248433,123.358259098103,142.138272173418,209.362417369259,112.451395939692,158.554556150173
AT1G01460,0,2.20282605532326,0,3.96895577951203,2.08243325814244,2.05915007987238
AT1G01470,8786.36451581275,7333.20793817114,6726.7568097219,10669.5453742732,10633.9454327044,7613.70742032814
AT1G01471,0,0,0,0,0,0
AT1G01480,350.327091143771,361.263473073015,313.713464619438,345.299152817546,425.857601290129,380.942764776391
AT1G01490,6634.06761677429,6153.59458554554,6400.42752212849,4622.84124418663,5399.74943836335,5496.90113821933
AT1G01500,633.206150371931,628.906838794792,645.930136267369,686.629349855581,662.213776089296,674.371651158205
AT1G01510,5319.33433794163,5420.05350912289,4367.59791358912,5314.4317887666,5468.46973588205,5032.5627952081
AT1G01520,32.2139853925307,15.4197823872628,12.615822973972,17.8603010078041,16.6594660651395,17.5027756789153
AT1G01530,0,0,2.52316459479441,1.98447788975601,0,1.02957503993619
AT1G01540,4582.43942208749,4689.81667178323,4832.70125389623,4690.31349243834,4493.89097107139,4850.3280131394
AT1G01550,13794.6325573078,13913.0493654217,15625.9583355618,16185.40166885,14264.6678182757,16558.6553672938
AT1G01560,74.4948412202272,87.0116291852689,90.8339254125988,171.657337463895,85.3797635838401,109.134954233236
AT1G01570,246.638325661563,157.502062955613,259.044898398893,201.424505810235,140.564244924615,192.530532468068
AT1G01580,6685.40865599363,3402.26484244678,3042.09544645713,2873.52398436671,518.525881277468,1118.1184933707
AT1G01590,2.01337408703317,0,1.68210972986294,0,0,0
AT1G01600,1026.82078438692,1580.52769469444,1162.33782333529,944.611475523862,735.098940124282,889.552834504869
AT1G01610,2533.83128853124,2571.79941958991,3058.07548889082,3453.98376712034,2832.10923107372,2870.4552113421
AT1G01620,15854.3142483427,15591.6028195781,15669.6931885382,12993.3689831775,15197.5979179235,11429.3125183317
AT1G01630,5136.11729602161,5248.23307680767,5444.98919556634,5650.80079108025,4915.58370584523,5037.71067040778
AT1G01640,2482.4902493119,1689.56758443294,2009.28007232128,1537.97036456091,1609.72090854411,1894.41807348259
AT1G01650,3423.7426349999,3185.28647599744,3410.47747729711,3596.86617518277,3838.96571138559,3679.70119273195
AT1G01660,171.136797397819,243.412279113221,328.852452188205,342.322435982912,203.037242668888,298.576761581496
AT1G01670,156.036491745071,124.459672125764,190.919454339444,159.750470125359,167.635877280467,135.903905271577
AT1G01680,200.3307216598,135.473802402381,90.8339254125988,257.982125668282,166.594660651395,72.0702527955334
AT1G01690,1004.67366942955,1003.38726819975,896.564486016947,980.332077539471,1128.6788259132,928.676686022445
AT1G01695,34.2273594795639,52.8678253277583,33.6421945972588,52.5886640785344,20.8243325814244,38.0942764776391
AT1G01700,289.925868532776,212.572714338695,211.104771097799,198.447788975601,177.006826942108,184.293932148578
AT1G01710,2953.61978567766,2641.18844033259,2653.52809885879,2893.36876326427,3173.62828540908,2719.10768047148
AT1G01720,2925.43254845919,2983.72789193536,3467.66920811245,2517.3102031555,3078.8775721636,2749.99493166957
AT1G01725,645.28639489413,557.314991996786,682.936550324354,685.637110910703,810.06653741741,620.833749081523
AT1G01730,3193.2113020346,3270.09527912738,2963.03628915357,3205.92403090084,3677.57713387955,3071.22234412966
AT1G01740,722.801297244907,726.932598256677,666.115453025724,678.691438296557,840.261819660475,792.772780750867
AT1G01750,1832.17041920018,3130.21582461436,3359.17313053629,1820.75846385114,1372.32351711587,1474.35145718863
AT1G01760,674.480319156111,653.137925403348,554.255155989839,556.646048076562,561.215763069388,572.443722204522
AT1G01770,1346.94726422519,1242.39389520232,1234.6685417194,1362.3440713175,1065.16461153986,1219.01684728445
AT1G01780,1040.91440299615,1112.42715793825,1375.12470416295,1174.81091073556,1158.87410815627,979.125862979318
AT1G01790,1552.31142110257,1343.72389374719,1503.80609849747,1409.97154067165,1068.28826142707,1348.74330231641
AT1G01800,6246.4931050204,5364.98285773981,5585.44535800989,5589.28197649781,5652.76507922766,5700.75699612669
AT1G01810,114.762322960891,92.5186943235771,105.131858116434,110.138522881459,108.286529423407,165.761581429727
AT1G01820,4702.23518026596,4439.79591450404,4006.78537653352,4828.23470577638,5067.60133368963,4449.82332260422
AT1G01830,1246.27855987353,1350.33237191316,1453.34280660158,1117.26105193264,1150.5443751237,1311.67860087871
AT1G01840,198.317347572767,187.240214702477,178.303631365472,194.478833196089,246.768341089879,180.175631988833
AT1G01860,538.577568281372,554.010752913801,553.414101124907,527.8711186751,640.348226878801,572.443722204522
AT1G01870,1.00668704351658,0,0,1.98447788975601,0,0
AT1G01880,217.444401399582,212.572714338695,145.502491633144,223.253762597552,261.345373896876,180.175631988833
AT1G01890,0,0,0,0,0,0
AT1G01900,189.257164181118,149.792171761982,312.872409754507,102.200611322435,115.575045826905,110.164529273172
AT1G01910,5223.69906880755,5377.09840104409,4661.96711631514,5094.15474300369,4877.0586905696,4585.7272278758
AT1G01920,3136.83682759768,4043.28722454585,2657.73337318345,3360.71330630181,4401.22269108405,3570.56623849871
AT1G01930,1428.48891475003,1312.88432897266,1308.68136983337,1379.21213338043,1376.48838363215,1364.18692791545
AT1G01940,2231.82517547627,2234.76703312545,1859.57230636348,2709.80455846184,3171.54585215094,2107.54010674938
AT1G01950,2425.10908783145,2539.85844178772,2453.3570410051,2754.45531098135,2343.77863203932,2608.94315119831
AT1G01960,12561.4409289999,11998.7935233458,12670.4915401926,12314.6775448809,9458.41185848297,13114.7268587072
AT1G01970,504.350208801809,491.230210337088,444.076968683816,522.90992395071,545.59751363332,446.835567332307
AT1G01980,0,2.20282605532326,0.84105486493147,1.98447788975601,0,6.17745023961715
AT1G01990,1829.15035806963,1582.73052074976,1590.43474958541,1709.62770202481,1887.72574850612,1736.89309237235
AT1G02000,1203.99770404583,1187.32324381924,1410.44900849008,1329.60018613653,1284.86132027389,1359.03905271577
AT1G02010,943.265759775039,829.364009829209,842.736974661333,745.171447603383,784.036121690629,827.778332108698
AT1G02020,634.212837415448,610.182817324544,763.677817357775,675.714721461923,629.936060588088,714.525077715717
AT1G02030,115.769010004407,105.735650655517,130.363504064378,158.758231180481,108.286529423407,132.815180151769
AT1G02040,12.080244522199,14.3183693596012,10.9337132441091,10.9146283936581,18.741899323282,4.11830015974477
AT1G02050,1022.79403621285,1068.37063683178,677.890221134765,768.985182280455,1246.33630499825,892.641559624678
AT1G02060,1173.79709274034,1041.9367241679,878.902333853386,990.254466988251,748.634756302208,1063.55101625409
AT1G02065,0,0,2.52316459479441,17.8603010078041,8.32973303256976,14.4140505591067
AT1G02070,19.1270538268151,9.91271724895469,14.297932703835,20.8370178424381,7.28851640349854,6.17745023961715
AT1G02074,0,0,0,0,0,0
AT1G02080,13135.2525438044,12177.222433827,13927.8685632651,14413.2629132979,10002.9681554872,15635.126556471
AT1G02090,4297.5469887723,4489.35950074881,4441.61074170309,4503.77257080127,5336.23522399001,4373.63476964894
AT1G02100,3953.26001988963,4102.76352803958,3876.42187246915,3845.91815034715,4373.10984209913,3755.88974568723
AT1G02110,3093.54928472646,2934.16430569059,2592.97214858372,2983.66250724817,3594.27980355385,3074.31106924947
AT1G02120,5880.05902118037,5138.09177404151,5736.83523369756,5783.7608096939,4866.64652427889,6011.68865818742
AT1G02130,4357.94821138329,4291.10515576972,4113.59934437982,4069.17191294471,4817.70934271254,4120.35930982464
AT1G02140,8879.98641085979,9393.95171292606,8356.72113795909,9095.85440769669,11545.0099831417,8926.41559624678
AT1G02145,2216.72486982352,2486.99061645996,2350.74834748346,2313.90121945551,2420.82866259059,2263.00593777975
AT1G02150,2388.86835426485,2603.7403973921,2115.25298530265,2426.02422022673,3024.7343074519,2539.96162352258
AT1G02160,1538.21780249334,1551.89095597524,1306.9992601035,1374.25093865604,1978.31159523532,1124.29594361032
AT1G02170,2923.41917437216,2629.07289702831,2860.42759563193,2832.84218762671,2975.79712588555,2489.51244656571
AT1G02180,389.587885840918,326.018256187843,363.335701650395,459.406631478517,531.020480826323,373.735739496837
AT1G02190,2.01337408703317,0,3.36421945972588,0,4.16486651628488,0
