gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT3G27400,162.35188347387148,1.6913198996839507,0.3304009226498423,5.118992665393993,3.0717190613305844e-7,1.7463922149443985e-5,A0A1I9LNU6,UNIPROT:A0A1I9LNU6
AT3G28460,207.93431157854627,1.4326612778408307,0.2702050027753863,5.302127137267555,1.1446107949293992e-7,7.852586702842391e-6,A0A1I9LP45,UNIPROT:A0A1I9LP45
AT3G28760,75.14799054744395,1.2419529324925025,0.30200162542019904,4.112404795055238,3.915589616252782e-5,8.983834938879945e-4,Q84JW0,UNIPROT:Q84JW0
AT3G46940,242.7975537599739,1.019992719951908,0.28341529954754346,3.5989331612664133,3.1952529179884515e-4,0.004646910670870963,A0A1I9LM85,UNIPROT:A0A1I9LM85
AT3G47450,463.12407212749434,1.0295315680302681,0.1959830127431629,5.2531673721103385,1.4950555821181004e-7,9.613931494013573e-6,Q66GP9,UNIPROT:Q66GP9
AT3G47650,1575.6321309775456,1.0084280604260167,0.27176384426699995,3.710677787716551,2.0670506656676228e-4,0.003323034228973213,Q9SN73,UNIPROT:Q9SN73
AT3G47750,137.11876268344218,1.0326937420941749,0.2533024137988561,4.076920257515677,4.563613485529384e-5,0.001018845894974122,Q9STT8,UNIPROT:Q9STT8
AT3G48350,165.59651464385746,1.1720670109240863,0.2384229276010505,4.915915691150678,8.836842428393646e-7,4.149378756269261e-5,A0A1I9LSH0,UNIPROT:A0A1I9LSH0
AT3G48420,239.87817672270648,1.0671859076411931,0.27092629374089305,3.939026710570301,8.1812822642856e-5,0.001622668910256505,Q94K71,UNIPROT:Q94K71
AT3G48460,1857.7480706218666,1.3194678179851025,0.22269966634882213,5.924875594193189,3.125339008927229e-9,3.813082528134945e-7,Q9STM6,UNIPROT:Q9STM6
AT3G48610,542.5980253551005,1.3395451097972528,0.21643576519296062,6.1891116221156794,6.050422917822623e-10,9.685396856608116e-8,Q8H965,UNIPROT:Q8H965
AT3G48700,828.9841305540438,1.3589438272567265,0.35471226135128264,3.831116020855343,1.2756333203742742e-4,0.0022688983194773635,Q9SMM9,UNIPROT:Q9SMM9
AT3G48720,125.6977746939381,1.3168784881370417,0.3109331790315786,4.235245952968238,2.2830168208865775e-5,5.776902765048311e-4,Q9SMM7,UNIPROT:Q9SMM7
