gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT2G28630,2060.3076934274745,-1.2112726965213496,0.2547419497097267,-4.75490078450593,1.9854389761426565e-6,7.793624892263635e-5,Q9SIB2,UNIPROT:Q9SIB2
AT2G28660,207.63303380957225,-1.3077880772397763,0.3299884964791581,-3.963132324894166,7.39727527942132e-5,0.00150282538552492,Q7XZS3,UNIPROT:Q7XZS3
AT2G28670,1985.9697582134247,-1.690365254906997,0.1795056953235965,-9.416777845737766,4.651429620421402e-21,8.075955227887036e-18,A0A2H1ZE31,UNIPROT:A0A2H1ZE31
AT2G28671,2124.8660407793973,-1.5971523869300537,0.1977836753521956,-8.075248799406658,6.733920007931467e-16,5.84581955765466e-13,NA,NA
AT2G28710,24.2592610611207,-2.03128095384051,0.550341472313646,-3.6909465414281173,2.2342109443488563e-4,0.0035313988252729718,Q9SI97,UNIPROT:Q9SI97
AT2G28780,1964.3982796687885,-3.6309644516260953,0.32955145200231445,-11.017898508912031,3.1328774144800618e-28,3.535608806111474e-24,Q84W96,UNIPROT:Q84W96
AT2G28860,181.31721615434418,-1.4716997447483882,0.31680626625145913,-4.645424985313433,3.393770783686836e-6,1.2256128057375293e-4,Q9ZV28,UNIPROT:Q9ZV28
AT2G28960,281.4833135563618,-1.7595352888066442,0.24784886612137327,-7.0992267035225725,1.2545687051410669e-12,4.677017246695562e-10,A0A2H1ZE36,UNIPROT:A0A2H1ZE36
AT2G28970,34.590362521411386,-1.6152626830726253,0.46540243542125936,-3.4706794811044963,5.19143269300943e-4,0.006816511187546006,A0A1P8AX40,UNIPROT:A0A1P8AX40
AT2G28990,141.8645118793242,-1.0537697902049892,0.3018245870017438,-3.4913318383796907,4.8061890986357363e-4,0.006411376722535887,O81069,UNIPROT:O81069
AT2G29330,167.98435602832248,-2.4336056045705767,0.38614537503502877,-6.302304162907078,2.932529547023369e-10,5.1711034692081614e-8,Q9ZW16,UNIPROT:Q9ZW16
AT2G29620,130.44936100790568,-1.0544329602475977,0.2655785642538305,-3.9703240478392243,7.17749454494772e-5,0.0014727566306728637,A0A1P8AZC3,UNIPROT:A0A1P8AZC3
AT2G30080,56.187560720985935,-1.4587234859591982,0.40265947264149626,-3.6227223872067147,2.915186429082143e-4,0.004326013996766144,O64738,UNIPROT:O64738
