gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G03020,0,1,1,1,1,0
AT1G03030,474,228,237,241,305,365
AT1G03040,1040,710,759,872,1022,1223
AT1G03050,2,5,6,8,4,9
AT1G03055,1,1,3,2,3,5
AT1G03060,4183,2186,2359,2701,3476,3785
AT1G03070,9,22,18,21,21,26
AT1G03080,2858,1852,2076,2900,3672,3694
AT1G03090,709,415,479,1182,1947,1944
AT1G03100,88,61,55,92,164,122
AT1G03103,3,1,1,3,4,3
AT1G03106,2386,177,213,842,172,783
AT1G03110,241,169,134,104,178,162
AT1G03120,106,12,16,38,23,32
AT1G03130,637,1355,1445,481,1973,1440
AT1G03140,1534,857,893,1802,1307,1901
AT1G03150,196,133,130,84,178,196
AT1G03160,1727,987,1065,798,906,967
AT1G03165,1,2,0,0,0,1
AT1G03170,87,34,35,40,56,31
AT1G03180,67,54,42,17,60,48
AT1G03190,394,186,207,207,274,332
AT1G03200,43,19,19,24,40,42
AT1G03210,307,188,178,300,313,451
AT1G03220,12373,12846,18215,26936,23695,31627
AT1G03230,3952,1945,2188,2450,2253,2892
AT1G03240,9,2,0,4,4,0
AT1G03250,543,288,323,252,388,445
AT1G03260,331,205,249,230,214,284
AT1G03270,195,63,97,117,90,84
AT1G03280,658,343,411,547,604,664
AT1G03290,453,365,435,628,736,851
AT1G03300,90,45,46,59,80,84
AT1G03310,585,280,306,121,253,238
AT1G03320,49,45,44,23,66,51
AT1G03325,0,0,0,0,0,0
AT1G03330,410,255,238,150,283,313
AT1G03340,30,20,35,36,51,49
AT1G03350,1196,694,812,1100,1144,1268
AT1G03360,189,83,86,123,103,102
AT1G03365,569,343,447,515,413,651
AT1G03370,596,515,532,596,887,912
AT1G03380,1703,1125,1293,2339,2343,2792
AT1G03390,19,15,17,19,24,19
AT1G03395,0,0,0,0,1,0
AT1G03400,33,35,32,33,83,86
AT1G03410,122,384,438,176,527,339
AT1G03430,307,233,206,211,327,320
AT1G03440,382,322,341,305,495,424
AT1G03445,16,15,17,5,33,29
AT1G03457,364,286,347,272,419,493
AT1G03470,240,137,131,242,218,299
AT1G03475,4317,2946,3264,1787,2639,2745
AT1G03490,0,0,3,0,0,2
AT1G03495,58,64,71,90,120,92
AT1G03502,0,0,1,0,0,2
AT1G03506,0,0,0,0,0,0
AT1G03510,85,49,54,42,60,66
AT1G03515,0,0,0,0,0,0
AT1G03520,293,198,186,132,303,314
AT1G03530,428,242,280,636,436,518
AT1G03540,61,46,74,61,83,67
AT1G03545,47,20,41,26,37,37
AT1G03550,134,70,86,87,129,116
AT1G03560,253,112,147,117,147,172
AT1G03570,0,0,0,0,0,0
AT1G03590,875,437,448,490,600,714
AT1G03600,1793,1950,2109,1532,2311,2361
AT1G03610,1498,1474,1662,5118,1662,4682
AT1G03620,23,11,14,23,34,39
AT1G03630,1150,662,735,189,534,399
AT1G03640,0,0,0,0,0,0
AT1G03650,59,33,37,38,31,52
AT1G03660,22,15,12,22,28,39
AT1G03670,2,2,6,8,7,4
AT1G03680,2077,1398,1375,690,1218,1161
AT1G03687,394,237,228,203,257,306
AT1G03700,0,1,1,4,14,10
AT1G03710,2,0,3,2,8,3
AT1G03720,0,0,0,6,1,1
AT1G03730,309,285,286,337,465,423
AT1G03740,999,834,833,1346,1485,1826
AT1G03743,0,0,0,0,0,0
AT1G03746,0,0,0,0,0,0
AT1G03750,204,116,140,219,232,230
AT1G03760,372,142,173,303,221,378
AT1G03770,345,155,186,207,235,338
AT1G03780,377,185,196,274,433,435
AT1G03790,5449,1124,1168,2941,1695,2707
AT1G03800,91,91,91,95,81,105
AT1G03810,0,0,0,2,0,0
AT1G03820,126,91,105,29,131,98
AT1G03830,321,141,167,215,181,227
AT1G03840,29,21,37,53,107,92
AT1G03850,439,448,547,925,1436,1547
AT1G03860,1450,713,765,717,816,1079
AT1G03870,22619,15042,12708,8080,18392,18258
AT1G03880,4715,629,324,2177,1187,2320
AT1G03890,490,43,23,171,63,159
AT1G03900,3090,1896,1866,3036,2623,3516
AT1G03905,122,85,70,52,94,85
AT1G03910,1810,856,936,1783,1194,1918
AT1G03920,50,48,29,26,69,44
AT1G03930,485,318,345,321,527,470
AT1G03935,0,0,0,0,0,0
AT1G03940,153,127,154,120,199,147
AT1G03950,133,107,114,108,176,207
AT1G03960,175,123,132,121,168,166
AT1G03970,489,339,396,686,639,783
AT1G03980,25,9,7,9,12,12
AT1G03982,0,0,0,0,3,2
AT1G03987,1,0,1,0,0,0
AT1G03990,190,40,62,122,89,121
AT1G03993,158,58,73,120,104,138
AT1G03997,1,2,1,3,3,0
AT1G04000,436,309,344,228,526,416
AT1G04003,0,0,0,2,1,0
AT1G04007,4,6,8,2,12,10
AT1G04010,276,162,185,98,206,190
AT1G04013,0,3,3,0,0,0
AT1G04017,4,2,2,2,3,7
AT1G04020,292,121,114,67,126,147
AT1G04023,5,6,3,2,5,6
AT1G04027,0,0,0,0,0,0
AT1G04030,271,138,139,252,291,385
AT1G04033,0,0,0,1,1,1
AT1G04037,3,0,0,0,1,0
AT1G04040,7728,3852,4015,3882,3867,6080
AT1G04043,6,1,5,1,2,0
AT1G04047,7,10,5,4,12,5
AT1G04050,127,67,67,66,92,82
AT1G04053,59,36,53,45,72,60
AT1G04057,0,0,0,0,0,0
AT1G04063,0,0,2,0,1,0
AT1G04067,24,8,11,7,14,16
AT1G04070,203,124,118,135,154,162
AT1G04073,0,1,0,0,0,0
AT1G04077,268,137,170,216,277,261
AT1G04080,2228,1251,1414,1461,1395,1858
AT1G04083,1,0,1,0,4,1
AT1G04087,0,0,0,0,0,1
AT1G04090,35,31,19,28,32,26
AT1G04093,1,0,0,0,3,1
AT1G04097,0,1,0,0,5,1
AT1G04100,89,73,64,104,125,103
AT1G04103,4,12,6,4,14,11
AT1G04105,38,23,23,48,37,33
AT1G04110,182,131,167,41,86,52
AT1G04117,75,51,54,68,76,74
AT1G04120,3166,1770,1957,3115,3104,3628
AT1G04123,3,0,2,4,2,6
AT1G04127,1,0,0,3,2,1
AT1G04130,197,117,124,84,131,163
AT1G04133,9,13,9,5,5,5
AT1G04137,0,0,1,0,3,0
AT1G04140,3743,2271,2181,3388,3322,4544
AT1G04143,1,0,0,0,2,0
AT1G04147,2,0,0,6,1,1
AT1G04150,9,14,21,29,30,16
AT1G04153,0,0,1,0,1,2
AT1G04157,1,2,0,0,0,0
AT1G04160,340,189,211,139,263,261
AT1G04163,51,32,38,50,79,47
