gene,root_control_1,root_control_2,root_control_3,root_ABA_1,root_ABA_2,root_ABA_3
AT3G26470,4194,3946,5756,1637,2181,2147
AT3G26480,562,654,481,559,857,602
AT3G26490,162,116,144,171,143,118
AT3G26500,754,676,1229,260,174,312
AT3G26510,529,538,744,710,688,524
AT3G26511,0,0,0,0,0,0
AT3G26520,23159,27121,43449,25358,29339,34495
AT3G26539,69,76,77,27,47,32
AT3G26540,677,597,709,228,345,354
AT3G26550,756,787,864,1017,1291,1323
AT3G26560,5322,5018,6536,3646,3436,4745
AT3G26561,0,0,0,0,0,0
AT3G26570,1977,1427,3407,814,917,1240
AT3G26580,1046,968,1373,2111,1986,2000
AT3G26590,7839,7107,9693,1727,1609,1990
AT3G26600,1606,1191,1834,1126,1226,1225
AT3G26610,1796,985,1810,344,292,466
AT3G26612,498,373,487,372,438,383
AT3G26616,6,8,8,8,4,5
AT3G26618,3161,3125,3748,2099,2411,2322
AT3G26620,2,11,5,6,0,6
AT3G26630,665,527,841,487,602,730
AT3G26640,1338,1170,1427,823,1027,909
AT3G26650,1428,934,1424,927,750,976
AT3G26660,0,0,0,0,0,0
AT3G26670,3539,3368,4760,2733,3283,3330
AT3G26680,1321,1324,1681,674,834,841
AT3G26690,2384,2767,3605,2676,2890,2912
AT3G26700,1155,1301,1738,461,543,641
AT3G26710,533,400,544,287,403,297
AT3G26720,4789,3916,5568,3593,3580,4607
AT3G26730,6442,5387,7799,4685,5145,5868
AT3G26740,192,72,213,910,428,916
AT3G26742,0,0,6,0,0,0
AT3G26744,660,663,944,2329,2552,2347
AT3G26747,0,0,0,0,0,0
AT3G26750,724,624,704,361,422,412
AT3G26760,810,633,934,575,491,516
AT3G26770,2041,1739,2539,1384,1525,1653
AT3G26780,7443,7276,9258,3687,4709,4372
AT3G26782,790,736,685,335,518,330
AT3G26790,2,2,9,0,2,0
AT3G26800,0,0,4,0,0,0
AT3G26810,6497,6024,7913,3485,4376,4559
AT3G26812,0,1,2,0,0,0
AT3G26813,0,1,0,0,0,0
AT3G26815,6,0,14,0,0,1
AT3G26816,2,0,2,0,0,0
AT3G26818,0,2,15,0,2,1
AT3G26819,0,0,0,0,0,0
AT3G26820,249,286,282,54,33,54
AT3G26830,3054,2013,3566,1276,1210,1442
AT3G26840,1052,657,1390,611,632,1072
AT3G26850,1667,1713,2251,876,1291,1173
AT3G26855,1,0,8,2,0,0
AT3G26860,4,3,1,0,1,1
AT3G26870,0,0,0,0,0,0
AT3G26880,0,0,0,0,0,0
AT3G26890,3890,2947,3927,4069,4922,4496
AT3G26900,1273,1095,1151,1027,1479,1146
AT3G26910,1706,1410,2615,1654,1697,1988
AT3G26920,1442,1550,1897,903,1198,1132
AT3G26922,753,714,636,371,534,423
AT3G26930,19,19,21,18,16,15
AT3G26932,181,109,167,77,98,96
AT3G26934,0,0,0,0,2,0
AT3G26935,4475,4104,4988,2714,3079,2642
AT3G26940,2,0,2,0,2,2
AT3G26950,2957,2522,3195,1719,2039,1913
AT3G26960,9,0,9,4,2,0
AT3G26980,3210,2964,3644,1688,2478,1931
AT3G26990,1416,1084,1763,1251,1227,1307
AT3G27000,1390,1189,1601,815,1023,1236
AT3G27010,1024,968,1433,640,862,841
AT3G27020,2496,2620,3412,2937,3092,2945
AT3G27025,108,68,104,71,153,103
AT3G27027,333,148,358,202,207,211
AT3G27030,1639,1093,2154,824,824,818
AT3G27040,3,17,12,3,3,7
AT3G27050,739,567,868,413,611,564
AT3G27060,14475,13475,16049,6513,7949,7045
AT3G27070,536,345,597,242,262,274
AT3G27080,4658,4371,5063,2055,2927,2400
AT3G27090,11172,10413,15001,9859,10306,11274
AT3G27100,2078,1862,2203,1174,1461,1244
AT3G27110,1174,1113,1436,1015,1357,1160
AT3G27120,1013,850,1058,699,867,711
AT3G27130,266,320,312,170,188,206
AT3G27140,0,0,0,1,0,0
AT3G27150,4217,3226,3498,2397,3333,3082
AT3G27160,1727,1586,1981,1050,1307,1005
AT3G27170,5936,5663,9042,2129,2036,3438
AT3G27180,1516,1304,1813,631,749,832
AT3G27190,7213,6234,8307,2376,2734,3020
AT3G27200,838,886,1977,1240,1631,1636
AT3G27210,2383,2062,2980,3785,3445,3431
AT3G27220,9901,10027,9327,8846,11101,6590
AT3G27230,6923,6682,8028,3127,4345,3660
AT3G27240,21269,20161,26215,15225,18682,17464
AT3G27250,27,5,15,1035,723,1261
AT3G27260,4847,4632,6635,3964,4116,5046
AT3G27270,423,290,565,541,517,618
AT3G27280,6435,6676,6967,2733,4590,3107
AT3G27290,303,252,305,282,274,259
AT3G27300,5864,5160,7934,4095,3949,4888
AT3G27310,4326,3898,4734,3079,3846,3145
AT3G27320,2097,1835,2750,1613,1788,1823
AT3G27325,4502,3928,6089,2900,3023,3550
AT3G27328,0,0,0,0,0,0
AT3G27329,0,0,0,0,0,0
AT3G27330,1278,1200,1381,735,826,753
AT3G27331,0,0,0,0,0,0
AT3G27340,2544,2579,2724,1767,2887,1786
AT3G27350,1958,1824,2509,1879,1958,1914
AT3G27360,6103,5278,7063,2797,3448,2662
AT3G27380,18061,16532,20923,16211,20053,17229
AT3G27390,4846,4806,6444,2522,2547,3348
AT3G27400,1504,1480,2894,374,373,496
AT3G27410,16,11,10,14,2,4
AT3G27415,24,42,63,14,10,16
AT3G27416,24,41,61,13,10,15
AT3G27420,1277,1114,1403,1074,1182,1074
AT3G27425,0,0,0,0,0,0
AT3G27430,11711,10884,13014,7682,9577,8181
AT3G27440,19,33,19,48,43,29
AT3G27460,908,762,1042,1008,1091,1057
AT3G27470,3070,2834,3872,2156,2523,2691
AT3G27473,566,550,539,132,214,154
AT3G27480,215,253,241,8,14,9
AT3G27490,135,112,121,36,37,35
AT3G27500,640,687,581,162,239,157
AT3G27503,4,6,6,0,4,2
AT3G27510,493,452,542,277,256,327
AT3G27520,743,880,924,443,594,510
AT3G27530,5413,5088,6271,4415,4675,4958
AT3G27540,223,224,284,223,378,312
AT3G27550,1043,947,1067,382,517,455
AT3G27555,0,0,0,0,0,0
AT3G27560,2288,2128,2927,1447,1552,1841
AT3G27570,7664,7767,9107,4958,6158,5384
AT3G27580,2583,2232,2577,1577,2050,2257
AT3G27590,11,0,2,0,0,6
AT3G27600,1,0,4,0,0,2
AT3G27610,1751,1630,1925,1111,1289,1312
AT3G27620,168,181,218,46,70,78
AT3G27630,468,357,534,269,342,240
AT3G27640,852,894,960,352,478,449
AT3G27650,663,438,1003,353,426,430
AT3G27660,14,12,20,2,6,4
AT3G27670,2979,2542,3287,2230,2455,2829
AT3G27680,0,0,0,0,0,0
AT3G27690,11,4,12,71,2,9
AT3G27700,2752,2327,3207,2019,1984,2424
AT3G27710,48,72,65,30,60,29
AT3G27720,26,13,24,6,12,8
AT3G27730,416,278,326,136,221,197
AT3G27740,7891,7419,8263,3842,5327,4304
AT3G27750,4530,3371,3112,3350,4971,2674
AT3G27770,22365,20449,17711,18709,29692,17256
AT3G27785,2,0,1,0,0,0
AT3G27800,0,0,0,0,0,0
AT3G27809,2,0,1,0,0,0
AT3G27810,4,0,2,0,0,2
AT3G27820,6632,6559,8189,11343,13543,11996
AT3G27825,0,0,0,0,0,0
AT3G27830,1229,1256,1505,963,1095,895
AT3G27831,0,3,9,0,0,2
AT3G27835,1,0,0,0,0,0
AT3G27840,0,0,0,0,0,0
AT3G27845,0,0,0,0,0,0
AT3G27850,1087,909,1251,632,832,683
AT3G27860,20,20,19,6,20,12
AT3G27865,88,90,103,39,47,47
AT3G27870,740,646,713,1960,2674,2428
AT3G27880,1594,1354,2112,1699,1761,1996
AT3G27884,521,333,707,960,661,1121
AT3G27890,6906,5688,8497,4461,5321,5310
AT3G27900,22,18,22,16,8,13
AT3G27906,1251,1144,1634,722,861,892
AT3G27910,8,4,4,2,4,2
AT3G27920,2,0,0,10,4,4
AT3G27925,947,890,1197,867,1088,1078
AT3G27930,1690,1682,2127,1130,1237,1388
AT3G27940,269,211,322,135,156,166
AT3G27950,942,666,1232,2,6,2
AT3G27960,1818,1578,2320,1950,2156,2147
AT3G27968,0,0,0,0,0,0
AT3G27970,4,5,12,2,2,0
AT3G27980,187,97,162,62,84,125
AT3G27990,1414,1412,1816,974,1199,1300
AT3G27999,0,0,0,0,0,0
AT3G28007,1,7,7,144,148,90
AT3G28020,0,0,0,0,0,0
AT3G28030,1556,1499,2011,1272,1174,1743
AT3G28040,842,1059,1520,497,548,688
AT3G28050,3339,2302,3928,2812,2536,3087
AT3G28060,2,0,2,0,4,0
AT3G28070,13,0,2,4,0,0
AT3G28080,2,2,4,10,2,0
AT3G28100,452,221,528,810,664,626
AT3G28120,0,0,0,0,0,0
AT3G28130,765,671,1011,568,529,600
AT3G28140,619,545,832,416,411,455
AT3G28150,169,125,179,445,421,250
AT3G28155,16,21,25,10,19,18
AT3G28170,0,8,7,4,2,7
AT3G28180,3852,3725,5925,2254,2543,2885
AT3G28190,2,2,0,1,2,0
AT3G28193,2,2,2,0,0,0
AT3G28200,5079,4743,6763,3002,3519,3197
AT3G28210,1237,1310,1146,1460,2086,1157
AT3G28216,0,0,0,0,0,0
AT3G28220,2,0,0,18,8,4
AT3G28223,0,0,0,0,0,0
AT3G28230,8,22,11,4,18,6
AT3G28243,0,0,0,0,0,0
AT3G28250,0,0,0,0,0,0
AT3G28260,0,0,0,0,0,0
AT3G28270,6,4,2,8,5,2
AT3G28280,0,0,0,0,0,0
AT3G28290,1,1,0,0,0,2
AT3G28291,0,0,0,0,0,0
AT3G28300,1,1,0,0,0,2
AT3G28310,0,0,0,2,0,0
AT3G28320,0,2,0,0,0,2
AT3G28321,0,0,0,0,0,0
AT3G28330,2,7,2,2,4,2
AT3G28340,999,967,1470,535,693,746
AT3G28345,1855,1460,1952,3604,1806,3024
AT3G28360,29,34,32,13,22,11
AT3G28370,603,639,629,374,453,463
AT3G28380,69,75,87,22,35,21
AT3G28390,2,4,0,0,1,0
AT3G28410,0,0,0,0,0,0
AT3G28415,14,6,14,4,2,2
AT3G28420,64,77,81,37,66,41
AT3G28430,2411,2196,3084,2680,3139,3185
AT3G28440,0,0,0,0,0,0
AT3G28450,2214,1645,2696,1436,1416,1762
AT3G28455,559,498,700,394,673,511
AT3G28460,496,528,556,341,384,339
AT3G28470,4,4,10,12,0,8
AT3G28480,3699,3296,3969,2072,2396,2298
AT3G28490,0,2,0,0,0,0
AT3G28500,384,387,464,197,356,221
AT3G28510,1875,707,1330,413,192,489
AT3G28520,0,0,3,0,0,0
AT3G28530,0,0,0,0,0,0
AT3G28540,201,116,443,90,65,100
AT3G28550,15795,19766,32573,12560,4956,12472
AT3G28560,1,6,11,8,6,8
AT3G28570,14,30,18,8,10,5
AT3G28580,2150,1337,2751,545,628,752
AT3G28590,22,4,17,7,8,0
AT3G28600,57,36,42,23,36,21
AT3G28610,4,19,9,4,8,9
AT3G28620,81,90,89,64,68,71
AT3G28630,162,146,183,59,108,87
AT3G28640,331,315,404,135,162,162
AT3G28650,350,280,309,94,63,108
AT3G28660,355,324,372,139,206,148
AT3G28670,2277,2225,2499,1369,1766,1686
AT3G28674,0,0,0,0,0,0
AT3G28680,2,0,0,0,0,0
AT3G28685,0,0,0,0,0,0
AT3G28690,5819,5194,7713,5470,5375,6093
AT3G28695,0,0,0,0,0,1
AT3G28700,1466,1555,1846,793,1117,1019
AT3G28710,10488,9623,12152,8989,10568,9684
AT3G28715,6338,6263,7709,5639,6216,6055
AT3G28720,4348,4751,6530,2941,3335,3742
AT3G28730,7002,6192,8161,4445,5428,5446
AT3G28740,945,991,1698,2483,2417,2401
AT3G28750,64,75,101,51,77,46
AT3G28760,529,457,673,309,471,400
AT3G28770,13,20,40,40,26,53
AT3G28780,0,0,0,0,0,0
AT3G28790,0,6,2,0,0,0
AT3G28810,0,0,0,0,0,0
AT3G28820,0,0,0,0,0,0
AT3G28830,2,0,3,0,0,3
AT3G28840,52,10,8,18,25,2
AT3G28850,690,628,974,486,426,470
AT3G28857,31,27,59,14,20,14
AT3G28860,16956,16982,21825,8310,9735,10469
AT3G28870,0,0,0,0,0,0
AT3G28880,440,425,727,310,310,477
AT3G28890,57,34,84,29,72,80
AT3G28899,2,3,3,0,11,3
AT3G28900,14929,14466,15489,6427,10489,6809
AT3G28910,1841,1711,1703,733,820,819
AT3G28917,33,12,14,82,68,51
AT3G28918,0,0,0,1,0,0
AT3G28920,911,826,1426,1059,1194,1378
AT3G28925,0,2,0,0,0,0
AT3G28930,1366,1190,1681,490,597,545
AT3G28940,21848,17812,30724,11795,12713,15790
AT3G28950,3800,3471,4891,3087,3343,3568
AT3G28956,663,682,793,440,673,600
AT3G28958,4,2,0,1,1,4
AT3G28960,17,8,22,12,12,16
AT3G28970,1621,1627,2194,1404,1665,1584
AT3G28980,0,0,5,0,0,3
AT3G28990,0,0,0,0,0,0
AT3G29000,554,500,1406,333,380,643
AT3G29010,431,430,555,219,343,342
AT3G29020,10,4,11,4,3,2
AT3G29030,6,14,16,3,7,4
AT3G29033,0,0,0,0,0,0
AT3G29034,4260,3403,4643,2026,1732,1609
AT3G29035,2251,1931,2406,2096,2179,2402
AT3G29036,0,0,0,0,0,0
AT3G29040,0,0,0,0,0,0
AT3G29050,0,0,0,0,0,0
AT3G29060,2,0,1,0,2,0
AT3G29070,0,0,0,0,1,0
AT3G29075,3295,2878,4396,2307,2328,2389
AT3G29080,0,0,0,0,0,0
AT3G29090,1238,1150,1606,807,777,832
AT3G29095,0,0,1,0,0,0
AT3G29100,573,457,499,287,472,374
AT3G29110,33,11,44,0,0,1
AT3G29130,1057,1091,1460,711,1054,913
AT3G29140,65,60,78,39,58,51
AT3G29152,0,0,1,0,0,1
AT3G29160,3436,3341,4139,2393,2438,2402
AT3G29170,1284,1262,1630,1014,1317,1053
AT3G29180,6366,6240,7980,5102,6712,6160
AT3G29185,678,589,825,358,457,457
AT3G29190,7,0,11,0,1,2
AT3G29195,0,0,0,0,0,0
AT3G29200,4428,3938,7148,4778,5259,5761
AT3G29230,466,437,564,289,388,332
AT3G29240,1235,1144,1829,1021,1083,1077
AT3G29250,2591,3561,4388,905,1223,886
AT3G29255,0,0,0,0,0,0
AT3G29260,0,1,0,2,0,0
AT3G29270,1899,1532,2136,1379,1700,1613
AT3G29280,684,613,722,262,560,307
AT3G29290,431,387,484,268,405,362
AT3G29300,133,129,133,63,83,43
AT3G29305,9,10,16,10,21,5
AT3G29310,3317,3396,4403,2162,2407,2452
AT3G29320,2978,2804,3527,1870,2307,2209
AT3G29330,501,407,593,337,511,358
AT3G29340,7,22,20,18,20,17
AT3G29350,2712,2372,3367,1795,2102,2134
AT3G29360,11557,11681,15545,9428,10382,10288
AT3G29370,38,63,77,51,38,31
AT3G29375,979,892,1067,383,610,554
AT3G29380,2,0,2,0,0,2
AT3G29385,0,0,0,0,0,0
AT3G29390,3790,3415,4951,3205,3151,4398
AT3G29400,1044,1061,1598,708,830,883
AT3G29410,445,562,913,159,151,345
AT3G29430,53,37,97,4,2,13
AT3G29431,0,0,0,0,0,0
AT3G29450,0,0,0,0,0,0
AT3G29560,0,1,0,0,0,0
AT3G29570,2,0,2,2,0,0
AT3G29575,1758,1607,2592,9053,13237,8552
AT3G29580,17,46,40,8,17,24
AT3G29590,4,0,0,2,0,0
AT3G29630,686,526,843,1339,1392,1795
AT3G29633,13,8,19,7,17,5
AT3G29635,27,19,23,13,10,14
AT3G29636,4,0,0,0,0,0
AT3G29638,0,0,2,3,3,4
AT3G29639,7,6,12,18,0,1
AT3G29644,386,355,486,274,358,261
AT3G29670,82,60,251,304,271,338
AT3G29680,432,286,685,288,318,474
AT3G29690,0,4,1,0,0,0
AT3G29720,0,0,0,0,0,0
AT3G29740,0,0,0,0,0,0
AT3G29750,0,0,2,0,0,0
AT3G29760,1247,1449,1719,1121,1245,1548
AT3G29763,0,0,0,0,0,0
AT3G29765,0,0,0,0,0,0
AT3G29770,1275,1140,1829,1468,1774,1780
AT3G29780,440,427,835,146,231,257
AT3G29785,0,0,0,0,0,0
AT3G29790,0,0,0,0,0,0
AT3G29791,0,0,2,2,2,0
AT3G29796,0,0,0,0,0,0
AT3G29797,0,0,0,0,0,0
AT3G29800,0,2,0,0,0,0
AT3G29810,1388,1758,1836,1147,1500,1291
AT3G29830,0,0,0,0,0,0
AT3G29970,219,162,97,95,45,28
AT3G30160,1,1,0,0,0,1
AT3G30180,2627,2129,2633,2596,2955,2813
AT3G30200,2,2,4,8,14,12
AT3G30210,0,6,10,1509,1490,1516
AT3G30220,0,0,0,0,0,0
AT3G30222,0,0,1,0,0,0
AT3G30230,0,0,0,0,0,0
AT3G30235,0,0,0,0,0,0
AT3G30247,0,0,0,0,0,0
AT3G30260,69,118,402,33,37,105
AT3G30280,3,16,12,0,10,5
AT3G30290,0,0,2,0,2,0
AT3G30300,3966,3911,4844,3242,4285,4265
AT3G30320,0,0,0,0,0,0
AT3G30340,0,0,10,0,0,2
AT3G30345,3,0,0,0,0,0
AT3G30350,1362,1524,1186,424,908,761
AT3G30370,0,0,0,0,0,0
AT3G30380,2361,1974,2833,1608,1806,1906
AT3G30383,0,0,0,0,0,0
AT3G30385,0,0,0,0,0,0
AT3G30387,0,0,0,0,0,0
AT3G30390,37559,41077,40911,42861,50142,40193
AT3G30391,0,0,0,0,0,0
AT3G30430,0,0,0,0,0,0
AT3G30456,0,0,0,0,0,0
AT3G30460,9,12,22,32,102,50
AT3G30520,0,0,0,0,0,0
AT3G30530,0,0,2,2,2,4
AT3G30540,0,0,0,0,0,0
AT3G30580,46,36,49,36,42,25
AT3G30705,0,0,0,0,0,0
AT3G30720,53,91,86,39,66,46
AT3G30725,280,170,376,38,65,116
AT3G30730,4,2,2,0,0,0
AT3G30768,5,0,0,0,0,0
AT3G30769,1,0,0,0,0,0
AT3G30770,7,13,21,2,1,4
AT3G30775,14114,15885,16050,12418,13055,9749
AT3G30778,3,0,0,0,0,0
AT3G30805,0,0,0,0,0,0
AT3G30820,0,0,0,0,0,0
AT3G30840,0,2,0,0,0,0
AT3G30841,1495,1151,1767,950,1097,1172
AT3G30842,227,96,204,320,216,271
AT3G30845,0,0,0,0,0,0
AT3G30849,0,0,0,0,0,0
AT3G31051,2,0,0,0,0,0
AT3G31068,0,0,0,0,0,0
AT3G31350,0,0,0,0,0,0
AT3G31400,0,0,0,0,0,0
AT3G31401,0,0,0,0,0,0
AT3G31402,0,0,0,0,0,0
AT3G31430,0,0,0,0,0,0
AT3G31900,0,0,0,0,0,0
AT3G31910,0,0,0,0,0,2
AT3G31950,0,0,0,0,0,0
AT3G32030,324,356,881,203,168,444
AT3G32036,0,0,0,0,0,2
AT3G32040,268,365,574,40,28,72
AT3G32047,123,125,139,41,65,54
AT3G32050,0,0,0,0,0,0
AT3G32052,0,0,0,0,0,0
AT3G32090,0,0,0,0,0,0
AT3G32100,1,0,0,0,0,0
AT3G32120,0,0,0,0,0,0
AT3G32130,0,0,0,0,0,0
AT3G32150,0,0,0,0,0,0
AT3G32160,0,0,0,0,0,0
AT3G32180,4,0,0,0,0,0
AT3G32190,0,0,0,0,0,0
AT3G32200,0,0,0,0,0,0
AT3G32260,0,1,0,0,0,0
AT3G32280,0,0,0,0,0,0
AT3G32330,0,0,0,0,0,0
AT3G32400,0,0,0,0,0,0
AT3G32410,0,0,0,0,0,0
AT3G32896,0,0,0,0,0,0
AT3G32904,0,0,0,0,0,0
AT3G32905,0,0,2,1,0,0
AT3G32920,9,7,2,4,2,2
AT3G32930,1589,1585,1954,1018,1429,1221
AT3G32940,2626,2413,3512,2046,2067,2660
AT3G32960,0,0,0,0,0,0
AT3G32980,82464,51380,76860,51900,39749,50557
AT3G33187,0,0,0,0,0,2
AT3G33293,0,0,0,0,0,0
AT3G33393,0,0,0,0,0,0
AT3G33494,0,0,0,0,0,0
AT3G33520,2073,1801,2419,1158,1466,1413
AT3G33528,22,27,42,20,20,16
AT3G33530,7751,6493,9762,5609,5693,7672
AT3G36659,0,0,0,0,0,0
AT3G41761,32,44,61,24,43,33
AT3G41762,124,191,153,81,153,83
AT3G41768,13822,16543,8501,7408,15008,6944
AT3G41979,115,159,178,87,144,147
AT3G42050,20375,17244,24620,16360,16829,17600
AT3G42060,0,0,0,0,0,0
AT3G42130,0,0,0,0,0,0
AT3G42140,0,0,0,0,0,0
AT3G42148,0,0,0,0,0,0
AT3G42150,1948,1693,2164,1467,1745,1376
AT3G42155,0,0,0,0,0,0
AT3G42160,0,0,0,0,0,0
AT3G42170,5135,5338,5720,3800,4349,4320
AT3G42180,950,853,1154,713,638,763
AT3G42310,0,1,1,0,0,0
AT3G42380,0,0,0,0,0,3
AT3G42385,0,1,0,2,0,0
AT3G42390,0,0,0,0,0,0
AT3G42473,0,0,0,0,0,0
AT3G42475,0,0,0,0,0,0
AT3G42550,0,0,6,2,4,2
AT3G42560,0,0,0,0,0,0
AT3G42565,0,0,0,0,0,0
AT3G42570,0,0,0,0,0,0
AT3G42628,0,0,0,0,0,0
AT3G42630,935,894,1133,749,892,966
AT3G42640,1375,1386,1404,803,1126,1226
AT3G42660,2801,2606,3394,1455,1672,1797
AT3G42670,1245,868,1401,486,468,711
AT3G42723,0,0,0,0,0,0
AT3G42725,495,505,769,311,507,343
AT3G42728,0,0,0,0,0,0
AT3G42770,0,0,0,0,0,0
AT3G42780,0,0,0,0,0,0
AT3G42786,0,0,0,0,0,0
AT3G42790,6662,6021,7670,4683,6080,5054
AT3G42800,311,297,307,108,214,214
AT3G42830,3,2,9,2,0,6
AT3G42850,42,14,22,10,18,26
AT3G42860,792,600,824,569,711,678
AT3G42870,0,0,0,0,0,0
AT3G42880,0,0,0,0,0,0
AT3G42940,0,0,0,0,0,0
AT3G42950,2713,2369,3535,1637,1815,2045
AT3G42960,0,4,0,0,0,0
AT3G42970,0,0,0,0,0,0
AT3G42990,0,0,0,0,0,0
AT3G43083,0,0,0,0,0,0
AT3G43110,237,196,355,552,741,766
AT3G43120,0,0,0,0,0,0
AT3G43148,0,0,0,0,0,0
AT3G43150,0,0,0,0,0,0
AT3G43153,0,0,0,0,0,0
AT3G43160,0,0,1,0,0,3
AT3G43170,3,0,0,0,0,0
AT3G43180,0,0,0,0,0,0
AT3G43190,33315,26683,18640,11299,12461,8235
AT3G43210,1875,1720,1848,1622,1855,1674
AT3G43220,3601,3512,4778,4758,5551,5265
AT3G43230,2567,2114,2917,3793,3708,3292
AT3G43240,3974,3531,4792,2537,3017,3039
AT3G43250,17,11,6,12,10,8
AT3G43260,0,0,0,0,0,0
AT3G43270,1375,874,1545,1745,1848,1995
AT3G43280,0,0,0,0,0,0
AT3G43290,0,0,0,0,0,0
AT3G43291,0,0,0,0,0,0
AT3G43300,14550,12735,16666,9987,10967,12911
AT3G43340,0,0,0,0,0,0
AT3G43400,1,2,0,0,0,2
AT3G43402,0,0,0,0,2,0
AT3G43410,0,0,0,0,0,0
AT3G43420,0,0,0,0,0,0
AT3G43430,1435,1236,2391,1011,965,1214
AT3G43431,0,0,0,0,0,2
AT3G43432,0,0,0,0,0,0
AT3G43440,1352,1067,1431,1424,1456,1468
AT3G43470,0,0,0,0,0,0
AT3G43480,0,0,0,0,0,0
AT3G43490,0,0,0,0,0,0
AT3G43500,0,0,0,0,0,0
AT3G43505,0,0,0,0,0,2
AT3G43520,3603,3705,4131,2189,2936,2575
AT3G43540,882,729,970,516,674,671
AT3G43550,0,0,0,0,0,0
AT3G43570,0,0,0,0,0,0
AT3G43572,0,0,0,0,0,0
AT3G43574,0,0,0,0,0,0
AT3G43580,486,394,424,171,235,237
AT3G43583,2,0,0,0,0,0
AT3G43590,3923,3233,4230,2090,2305,2429
AT3G43600,5958,5452,7747,3196,3735,4850
AT3G43610,3166,2654,3881,1810,2203,2454
AT3G43623,0,0,0,0,0,0
AT3G43630,0,0,0,2,0,0
AT3G43660,0,2,0,0,0,0
AT3G43670,1693,1668,2252,1047,1034,1320
AT3G43682,0,0,0,0,0,0
AT3G43700,1270,1171,1537,881,1081,1099
AT3G43710,0,0,0,0,0,0
AT3G43720,1784,2006,1821,1586,3288,2155
AT3G43722,0,0,0,0,0,0
AT3G43740,2440,2513,2945,1458,2089,1730
AT3G43750,0,0,0,4,0,0
AT3G43790,683,350,733,210,177,268
AT3G43800,6956,7636,10031,2450,2158,3643
AT3G43810,13155,16672,17987,6720,10845,7432
AT3G43829,0,0,0,0,0,0
AT3G43833,0,0,0,0,0,0
AT3G43840,34,47,24,21,54,27
AT3G43850,17,13,30,7,2,14
AT3G43860,0,0,0,0,0,0
AT3G43870,0,0,0,0,0,0
AT3G43880,0,0,0,0,0,0
AT3G43890,96,170,212,32,58,55
AT3G43900,0,0,0,0,0,0
AT3G43910,0,0,0,0,0,0
AT3G43920,1102,841,1183,440,521,616
AT3G43930,97,126,165,63,42,68
AT3G43940,0,0,0,0,0,0
AT3G43950,0,0,0,0,0,0
AT3G43960,1165,1667,2222,233,292,347
AT3G43970,9,8,6,3,8,3
AT3G43980,4423,3649,4603,1806,2826,1996
AT3G43990,0,0,0,1,0,0
AT3G44006,0,0,0,0,0,0
AT3G44010,22943,18998,22876,10823,16056,10875
AT3G44020,95,92,108,40,58,58
AT3G44050,2860,2993,2731,1160,1613,1241
AT3G44060,12,20,8,1,6,0
AT3G44070,0,0,0,0,0,0
AT3G44080,0,0,0,0,0,0
AT3G44090,0,0,0,1,0,0
AT3G44091,0,0,0,0,0,0
AT3G44100,5558,4233,6583,5972,7394,6876
AT3G44110,26780,27492,32999,18615,28144,22225
AT3G44115,0,0,0,0,0,0
AT3G44120,125,141,154,66,119,96
AT3G44130,0,0,0,0,0,0
AT3G44140,0,0,0,0,0,0
AT3G44150,2378,2249,3235,1298,1570,1375
AT3G44160,1317,1047,1440,855,1163,1057
AT3G44170,0,0,0,0,0,0
AT3G44171,0,0,0,0,0,0
AT3G44180,4,0,3,0,0,0
AT3G44190,5389,5260,6792,3288,3837,3484
AT3G44200,3961,3496,5092,3586,4991,5440
AT3G44210,1,0,0,0,2,0
AT3G44220,164,164,258,204,281,297
AT3G44230,0,0,0,0,0,0
AT3G44235,0,0,0,0,0,0
AT3G44240,8,4,3,0,2,8
AT3G44250,2,2,0,0,0,1
AT3G44260,764,534,1765,163,226,696
AT3G44261,0,0,0,0,0,0
AT3G44280,1634,1406,2211,1586,1745,1696
AT3G44290,187,166,243,560,729,600
AT3G44300,16869,20736,20342,26846,30266,23932
AT3G44310,26425,29010,43599,25109,33259,37439
AT3G44320,7414,7032,11482,4237,5110,5898
AT3G44326,320,222,663,165,188,229
AT3G44330,11996,11907,13537,7500,10278,8660
AT3G44340,9396,8637,12311,6818,7100,8359
AT3G44350,12,8,15,8,10,6
AT3G44370,1808,1583,1980,953,1128,1241
AT3G44380,696,629,826,258,387,334
AT3G44400,1541,1458,1930,969,1056,1109
AT3G44428,0,0,0,0,0,0
AT3G44430,2359,1926,2268,1056,1365,1175
AT3G44440,4,3,5,5,0,2
AT3G44444,0,0,0,0,0,0
AT3G44450,197,160,313,40,128,104
AT3G44460,2,0,0,6,12,12
AT3G44480,5018,4009,5885,3300,3787,4686
AT3G44490,2,2,0,1,1,4
AT3G44510,461,505,728,215,203,275
AT3G44530,1894,1593,2255,1165,1197,1605
AT3G44540,2834,2242,3973,12118,7753,9955
AT3G44550,2858,2323,4311,8024,5213,6736
AT3G44560,1,0,0,38,0,2
AT3G44570,31,18,32,18,28,20
AT3G44580,8,5,4,3,2,4
AT3G44590,7270,6648,7838,2411,3849,2843
AT3G44600,3828,3585,4160,2070,2759,2579
AT3G44610,464,542,600,352,567,455
AT3G44620,680,631,998,778,856,863
AT3G44630,1124,924,1438,562,756,912
AT3G44660,8,2,6,1,1,0
AT3G44670,4458,3774,4915,2333,3229,3770
AT3G44680,2402,2114,2679,1377,1721,1652
