gene,root_control_1,root_control_2,root_control_3,root_ABA_1,root_ABA_2,root_ABA_3
AT1G79830,12079,11051,15610,9227,10284,11931
AT1G79840,1031,1034,1342,472,519,502
AT1G79850,1483,1193,1771,787,851,677
AT1G79860,123,202,367,146,96,195
AT1G79870,3266,3089,4052,2428,2855,2919
AT1G79880,1550,1347,1456,768,1129,1023
AT1G79890,773,758,904,302,394,359
AT1G79900,77,62,67,226,287,313
AT1G79910,82,82,181,36,48,82
AT1G79915,65,80,118,51,39,52
AT1G79920,15512,15116,19615,10199,13394,12510
AT1G79930,20042,19113,23864,10921,13193,12830
AT1G79940,8090,7750,10218,5651,5902,6850
AT1G79950,2973,2508,3283,1668,1931,2038
AT1G79960,614,683,647,298,571,452
AT1G79970,3398,3179,3931,3776,4449,4032
AT1G79980,0,0,0,1,0,0
AT1G79990,14991,14772,18491,10102,12081,12570
AT1G80000,2012,1815,2856,1715,1803,2071
AT1G80010,2228,1703,2667,1949,1937,2442
AT1G80030,1696,1343,2106,1117,1360,1442
AT1G80040,7044,6468,8950,5152,5962,5588
AT1G80050,1997,1202,2267,724,813,931
AT1G80060,276,266,219,160,229,200
AT1G80070,22734,18813,25568,12504,13440,16603
AT1G80080,32,24,22,32,21,18
AT1G80090,12,8,7,138,269,110
AT1G80100,327,222,147,113,155,68
AT1G80110,407,439,476,2032,3028,2049
AT1G80120,313,276,798,461,462,382
AT1G80130,2,6,2,36,32,26
AT1G80133,0,0,2,0,0,0
AT1G80140,0,0,0,0,4,2
AT1G80150,1294,1181,1517,554,796,708
AT1G80160,801,945,1067,3144,3425,1732
AT1G80170,904,909,1152,376,428,448
AT1G80180,1929,1900,2461,1468,1413,1469
AT1G80190,1086,1101,1225,454,623,539
AT1G80200,279,293,376,185,218,197
AT1G80210,1225,1228,1567,1260,1345,1440
AT1G80220,7,5,5,0,2,1
AT1G80230,7811,6773,7991,4550,5652,4450
AT1G80240,4478,5002,6545,6265,8776,6778
AT1G80245,724,792,819,307,612,477
AT1G80250,0,1,0,0,1,5
AT1G80260,3884,3087,4431,2115,2612,2826
AT1G80270,4856,5142,5818,1352,1777,1753
AT1G80280,4913,4622,5624,1448,1857,1527
AT1G80290,1135,1184,1492,656,892,904
AT1G80300,5588,4836,7792,5985,7608,7912
AT1G80310,1612,1336,2195,1781,1688,2190
AT1G80320,548,510,734,408,630,600
AT1G80325,609,572,815,456,691,686
AT1G80330,2,1,0,0,4,2
AT1G80340,428,182,533,143,200,358
AT1G80350,2571,2375,3044,1906,2251,2138
AT1G80360,7134,6426,8811,5558,6059,5890
AT1G80370,2241,2019,2106,901,1176,887
AT1G80380,2006,2270,2656,1958,1731,1652
AT1G80390,2,0,0,0,2,2
AT1G80400,1309,1217,1452,1213,1310,1362
AT1G80410,15256,12989,16235,7890,9045,9650
AT1G80420,1713,1718,2066,1150,1496,1444
AT1G80430,0,0,0,0,0,0
AT1G80440,391,357,488,271,129,163
AT1G80450,197,138,326,364,298,296
AT1G80460,10925,9612,12290,9836,8858,8247
AT1G80470,1,2,2,8,2,0
AT1G80480,1854,1817,2244,1193,1390,1486
AT1G80490,7418,5932,9137,5619,5136,7415
AT1G80500,4915,4528,6241,3484,4771,3835
AT1G80510,1033,1005,1417,683,655,775
AT1G80520,594,536,876,241,324,239
AT1G80530,4201,3488,4158,1505,1869,1932
AT1G80540,13,0,2,4,0,2
AT1G80550,1392,1269,1610,969,1212,999
AT1G80555,14,12,20,6,0,12
AT1G80560,4140,4166,4460,2103,3007,2401
AT1G80570,980,790,979,790,834,968
AT1G80580,10,2,4,1,0,0
AT1G80590,28,18,27,0,0,4
AT1G80600,6013,5372,6621,3267,4317,3886
AT1G80610,1445,1192,1934,1347,1591,1487
AT1G80620,5799,5828,6382,2827,4271,3523
AT1G80630,501,500,628,393,586,537
AT1G80640,973,1074,1220,932,1212,985
AT1G80650,264,248,286,275,249,217
AT1G80660,77,70,126,71,64,53
AT1G80670,3362,3088,3928,2166,2537,2335
AT1G80680,5583,5056,6202,3000,3815,3851
AT1G80690,2588,2283,2964,1065,1635,1449
AT1G80700,958,864,1099,598,812,636
AT1G80710,555,476,545,238,248,265
AT1G80720,1332,1296,1358,429,599,476
AT1G80730,172,117,245,50,47,43
AT1G80740,8,0,0,10,12,2
AT1G80745,54,38,46,25,51,41
AT1G80750,9973,9951,11183,3953,5756,4817
AT1G80760,404,266,464,156,128,189
AT1G80770,1419,1402,1783,800,951,1004
AT1G80780,7046,7779,8629,5734,8990,6993
AT1G80790,4965,4831,5839,2834,3332,3603
AT1G80810,1281,1234,1581,880,1038,1138
AT1G80820,2226,1767,3381,3556,3728,4540
AT1G80830,15057,13359,14425,3861,3391,5084
AT1G80831,0,0,0,0,0,0
AT1G80840,438,472,816,329,313,484
AT1G80850,1229,1243,1394,661,906,712
AT1G80860,2354,2052,2260,1245,1898,1410
AT1G80865,8,12,12,1,0,2
AT1G80870,2215,2078,2899,1105,934,1280
AT1G80880,427,433,509,143,219,214
AT1G80890,1010,889,1115,533,682,666
AT1G80900,912,939,1103,657,833,823
AT1G80910,3522,3732,4776,2110,2629,2750
AT1G80920,9785,6456,11362,9794,9418,7632
AT1G80930,8417,7866,10219,4944,4871,6914
AT1G80940,1783,1930,2337,3502,3512,2629
AT1G80950,3874,3626,5318,2897,3676,3451
AT1G80960,258,223,311,150,236,219
AT1G80970,160,164,207,145,142,143
AT1G80980,718,590,757,310,361,488
AT1G80990,0,0,6,0,0,0
AT2G01008,115,250,186,70,139,99
AT2G01010,204,277,232,147,262,240
AT2G01020,189,235,268,132,186,180
AT2G01021,2,4,3,1,0,0
AT2G01023,1,1,2,2,0,1
AT2G01050,36,22,19,8,16,2
AT2G01060,4566,4072,5251,3015,3671,3639
AT2G01070,2567,2320,3399,1721,1941,2073
AT2G01080,1373,1067,1469,729,911,895
AT2G01090,1485,1355,1612,930,1342,970
AT2G01100,7804,7680,8710,5290,7436,6728
AT2G01110,1309,1073,1423,920,1240,1221
AT2G01120,2000,1885,2038,942,1516,1239
AT2G01130,2712,2480,2791,1417,1731,2220
AT2G01140,36163,34947,47913,23343,29747,29993
AT2G01150,1788,1549,2276,2105,2550,2478
AT2G01160,0,0,0,1,0,0
AT2G01170,1994,1740,2576,1246,1272,1515
AT2G01175,153,143,185,132,189,198
AT2G01180,1766,1347,2335,863,836,964
AT2G01190,3910,3168,5550,3315,3040,3551
AT2G01200,33,48,48,27,48,22
AT2G01210,1538,1410,1668,663,960,762
AT2G01220,3847,4022,4871,3036,4209,3929
AT2G01240,5,9,4,3,0,4
AT2G01250,58272,61856,60505,25941,44823,28582
AT2G01260,1689,1451,2211,1034,1205,1281
AT2G01270,4950,4147,5105,3077,4054,3850
AT2G01275,302,250,595,815,808,674
AT2G01280,391,414,470,187,276,185
AT2G01290,1003,959,1180,313,521,429
AT2G01300,163,133,124,127,120,82
AT2G01310,0,2,0,0,0,0
AT2G01320,622,456,549,383,457,428
AT2G01330,941,923,1078,592,910,726
AT2G01340,2407,1829,2978,1459,1638,1613
AT2G01350,6420,5381,6870,4567,4955,5044
AT2G01360,0,0,0,0,0,0
AT2G01370,0,2,2,0,0,0
AT2G01390,360,420,415,157,206,188
AT2G01400,1030,996,1352,740,781,976
AT2G01410,1855,1747,2607,1401,1504,1873
AT2G01420,1625,1551,2704,1533,2313,3051
AT2G01422,6,10,9,0,0,0
AT2G01430,1124,1052,1135,1424,1832,1679
AT2G01440,2586,1997,2490,1516,1849,1870
AT2G01450,12163,12120,15543,10273,13182,12292
AT2G01460,2770,2577,3801,4096,3978,4519
AT2G01470,6354,6000,7341,5568,6571,6098
AT2G01480,2823,2691,3466,2679,3167,3287
AT2G01490,5229,4469,6467,10860,12464,11808
AT2G01500,0,2,2,3,0,0
AT2G01505,545,509,740,270,337,349
AT2G01510,322,307,324,77,167,126
AT2G01520,9118,4688,7734,3784,2824,4255
AT2G01530,3690,2597,2908,3841,2926,3468
AT2G01540,2137,2362,3239,2053,2141,2268
AT2G01554,4,2,0,0,4,4
AT2G01560,2,2,7,0,0,6
AT2G01570,6159,6130,7493,2630,3297,3086
AT2G01580,299,296,435,1014,1207,825
AT2G01590,87,50,93,157,136,137
AT2G01600,5734,4643,7076,6839,6820,7304
AT2G01610,725,921,1514,250,241,335
AT2G01620,439,421,387,358,356,323
AT2G01630,2921,2403,3497,1088,1288,1479
AT2G01640,1275,1337,1657,573,858,677
AT2G01650,3411,3227,3910,2571,2859,2821
AT2G01660,1610,1032,2518,826,737,1053
AT2G01667,0,0,0,0,0,0
AT2G01670,8138,7944,11012,3156,2869,3520
AT2G01680,2042,1794,2429,1474,1356,1673
AT2G01690,6585,5756,8521,4614,4909,5867
AT2G01710,2480,2189,3106,1731,2117,2094
AT2G01720,11088,10331,13704,6730,8804,8340
AT2G01730,354,285,310,146,205,161
AT2G01735,1375,1106,1546,1203,1322,1296
AT2G01740,317,373,331,120,172,200
AT2G01750,1902,1959,2390,859,907,1107
AT2G01755,79,81,102,59,80,51
AT2G01760,200,222,256,152,268,228
AT2G01770,0,6,6,0,6,8
AT2G01780,2,0,0,0,0,0
AT2G01790,0,0,0,0,0,0
AT2G01800,0,0,0,0,0,0
AT2G01810,12,6,20,4,8,6
AT2G01818,1173,775,1226,455,653,509
AT2G01820,5744,4920,7905,4227,4947,5271
AT2G01830,5368,4267,7791,3276,3753,4337
AT2G01850,3646,3244,5111,3790,4168,4226
AT2G01860,331,272,307,178,214,265
AT2G01870,109,92,114,70,63,80
AT2G01880,568,621,1089,614,668,774
AT2G01890,3067,2606,3706,5104,5041,4890
AT2G01900,2254,1898,2087,85,97,92
AT2G01905,164,111,163,114,71,134
AT2G01910,3912,3271,5619,3149,3229,4203
AT2G01913,1204,924,1122,408,583,387
AT2G01918,10,6,14,90,54,28
AT2G01920,4,6,8,34,24,28
AT2G01930,1702,1547,2096,1233,1491,1291
AT2G01940,221,163,424,106,122,155
AT2G01950,5081,3794,8790,2466,2410,3718
AT2G01960,35,33,40,26,29,17
AT2G01970,9947,9291,13756,6311,7254,7761
AT2G01980,2716,2268,3152,1795,1756,2455
AT2G01990,559,485,949,393,472,518
AT2G02000,106,74,183,8,20,56
AT2G02010,604,602,851,363,245,285
AT2G02020,1406,781,1627,327,392,460
AT2G02023,0,0,0,0,2,2
AT2G02026,0,0,0,0,0,0
AT2G02030,2,4,0,0,1,0
AT2G02040,5064,4515,6169,5748,5760,5849
AT2G02050,9120,8568,11011,6225,8993,6858
AT2G02060,335,307,523,771,663,711
AT2G02061,95,77,98,114,208,122
AT2G02070,623,535,866,472,367,464
AT2G02080,485,500,794,404,490,495
AT2G02090,5329,5059,6378,3539,4395,4272
AT2G02100,31157,18495,38873,16626,18568,20782
AT2G02103,0,0,0,0,0,0
AT2G02120,7561,7081,15336,8985,12503,12668
AT2G02130,18300,10741,23967,18843,21956,21781
AT2G02140,0,0,0,1,0,0
AT2G02147,6,0,0,2,0,0
AT2G02148,825,736,1118,607,692,618
AT2G02150,891,862,1183,297,402,444
AT2G02160,9838,9652,10231,6969,8553,8046
AT2G02170,1339,1324,1614,945,1270,1172
AT2G02180,3510,3132,4104,3332,3678,3141
AT2G02220,3105,2788,4446,2406,2494,3141
AT2G02230,2116,1579,2749,1629,1811,1753
AT2G02240,52,53,64,43,51,91
AT2G02250,87,92,137,69,80,46
AT2G02280,0,0,0,0,0,0
AT2G02290,0,0,0,2,0,0
AT2G02300,83,52,56,82,96,51
AT2G02310,19,16,26,0,4,9
AT2G02320,8,0,4,4,4,4
AT2G02340,14,16,9,6,12,5
AT2G02350,388,381,517,253,344,281
AT2G02360,1181,1099,1499,838,851,1024
AT2G02370,1131,976,1662,1104,1065,1189
AT2G02380,333,224,290,170,165,214
AT2G02390,12623,9858,13576,11389,11669,11924
AT2G02400,1253,1337,1654,911,1177,1125
AT2G02410,703,667,854,471,688,657
AT2G02440,1,0,0,0,0,2
AT2G02450,36,25,48,45,43,23
AT2G02470,2605,2526,3351,1838,2255,2108
AT2G02480,3837,3778,4948,2028,2147,2761
AT2G02490,0,0,0,4,0,0
AT2G02498,14,7,10,4,6,6
AT2G02500,861,832,1043,457,711,626
AT2G02510,5707,5747,6497,3620,5679,3790
AT2G02515,2,0,0,0,0,0
AT2G02520,0,0,0,0,0,0
AT2G02540,38,38,81,28,51,61
AT2G02550,0,2,2,0,0,0
AT2G02560,7754,6436,8518,5065,5091,6148
AT2G02570,5027,5104,5748,3745,4211,4539
AT2G02580,107,64,159,27,33,58
AT2G02590,408,451,501,224,307,228
