gene,Atha_WT.Col.0_sl_FLT_Rep1_G1S1,Atha_WT.Col.0_sl_FLT_Rep2_G1S2,Atha_WT.Col.0_sl_FLT_Rep3_G1S3,Atha_WT.Col.0_sl_GC_Rep1_G2S1,Atha_WT.Col.0_sl_GC_Rep2_G2S2,Atha_WT.Col.0_sl_GC_Rep3_G2S3
AT1G11900,31.22337627,29.94831717,46.06589713,48.58393825,31.95835521,34.13296733
AT1G11905,308.9470915,197.1597547,190.0218257,309.581374,197.0765238,266.5622211
AT1G11910,8788.558753,8120.98534,8291.861484,10772.07598,9528.028512,10564.96608
AT1G11915,6.573342373,11.23061894,17.27471142,10.16873126,20.41783805,10.56496608
AT1G11920,4.108338983,8.734925842,19.57800628,19.20760349,14.20371343,7.314207285
AT1G11925,0.821667797,1.247846549,1.151647428,4.519436116,3.550928356,0.812689698
AT1G11930,349.2088136,267.0391615,277.5470302,360.4250303,308.930767,303.1332575
AT1G11940,142.9701966,118.5454221,101.3449737,105.0768897,111.8542432,95.08469471
AT1G11950,290.0487322,252.0650029,211.9031268,438.3853033,255.6668417,352.7073291
AT1G11960,374.6805153,440.4898318,474.4787405,370.5937615,525.5373967,459.9823693
AT1G11970,0,0,0,0,0,0
AT1G11980,0,0,1.151647428,0,1.775464178,0
AT1G11990,4.108338983,4.991386196,1.151647428,9.038872232,1.775464178,1.625379397
AT1G12000,3220.937763,2656.665303,2349.360754,1741.112764,2368.469214,2053.666868
AT1G12010,47.6567322,142.2545066,201.5383,788.6416023,496.2422378,672.9070703
AT1G12013,33.68837966,24.95693098,21.88130114,4.519436116,7.989588802,17.06648367
AT1G12015,0,0,0,0,0,0
AT1G12020,204.5952814,334.4228751,354.7074079,440.6450213,344.4400506,329.9520175
AT1G12030,8.216677966,9.982772391,10.36482685,14.68816738,13.31598134,5.688827889
AT1G12040,1488.04038,1759.463634,2844.569148,932.1336989,2470.558404,1696.083401
AT1G12050,672.9459254,567.7701798,612.6764319,322.0098233,578.8013221,490.0518881
AT1G12060,138.8618576,169.7071307,140.5009863,94.90815844,102.9769223,101.5862123
AT1G12064,368.1071729,240.8343839,281.0019725,127.6740703,66.57990668,86.95779773
AT1G12070,55.05174237,88.59710497,54.12742913,36.15548893,55.92712161,41.44717462
AT1G12080,16745.5897,9851.748504,8638.50736,11647.71673,9064.632361,10088.72992
AT1G12090,30404.17348,40012.19959,33640.77303,17133.18232,19894.96385,20174.20907
AT1G12100,19.72002712,9.982772391,12.66812171,15.81802641,3.550928356,9.752276381
AT1G12110,6813.26937,10229.84601,9490.726457,7733.885054,8484.943307,8165.0934
AT1G12120,992.5746983,987.0466202,889.0718147,875.6407475,782.9797026,852.5114936
AT1G12130,122.4285017,56.1530947,31.09448056,58.75266951,56.8148537,60.13903768
AT1G12140,526.6890576,495.3950799,571.2171244,571.7086687,633.8407116,657.465966
AT1G12150,27.93670509,31.19616372,57.58237142,27.1166167,65.69217459,39.82179522
AT1G12160,78.88010848,193.4162151,193.476768,162.6997002,289.400661,240.5561507
AT1G12170,0,2.495693098,1.151647428,4.519436116,1.775464178,4.063448492
AT1G12180,0,2.495693098,1.151647428,3.389577087,1.775464178,0.812689698
AT1G12190,0,2.495693098,1.151647428,4.519436116,6.214124623,3.250758794
AT1G12200,345.1004746,396.8152026,521.696285,863.2122982,550.3938952,658.2786557
AT1G12210,92.02679322,57.40094125,65.64390341,128.8039293,80.78362011,91.02124622
AT1G12211,67.37675932,61.1444809,52.9757817,120.8949161,71.01856713,82.89434923
AT1G12220,84.63178305,93.58849117,115.1647428,160.4399821,176.6586857,117.8400063
AT1G12230,1437.096976,1649.653138,1514.416368,925.3545448,1699.119218,1468.530285
AT1G12240,2023.767783,930.8935255,755.480713,700.512598,711.0734033,672.9070703
AT1G12244,73.1284339,79.86217913,67.94719827,40.67492504,42.61114028,45.51062311
AT1G12250,230.0669831,202.1511409,186.5668834,85.86928621,120.7315641,112.1511784
AT1G12260,29.58004068,31.19616372,34.54942285,27.1166167,49.71299699,35.75834673
AT1G12270,1252.221722,1101.848503,1104.429884,1090.313963,1128.307485,1055.683918
AT1G12280,46.01339661,26.20477753,72.55378798,66.66168271,47.04980072,46.32331281
AT1G12290,49.3000678,48.66601541,80.61531998,93.77829941,71.90629921,70.70400376
AT1G12294,0.821667797,0,0,0,0.887732089,0
AT1G12300,124.0718373,82.35787223,87.52520455,108.4664668,96.76279771,81.26896984
AT1G12310,2085.392868,1880.504749,1780.446924,2118.485679,1798.545212,1803.358441
AT1G12320,2153.591295,2017.76787,1806.934815,2214.523697,1875.777904,1900.068515
AT1G12330,1004.078047,917.1672134,917.8630004,907.2768003,674.6763877,721.6684522
AT1G12340,161.0468881,3.743539647,1.151647428,137.8428015,1.775464178,95.89738441
AT1G12350,182.4102509,203.3989875,198.0833577,125.4143522,212.1679693,182.8551821
AT1G12360,1060.773125,940.8762979,882.1619301,1056.418192,1284.548333,1282.424344
AT1G12370,46.01339661,52.40955505,49.52083942,15.81802641,27.51969476,17.06648367
AT1G12380,78.05844068,109.8104963,120.92298,150.2712509,124.2824925,85.33241833
AT1G12390,144.6135322,351.8927268,320.1579851,110.7261848,355.0928356,218.6135289
AT1G12400,78.88010848,109.8104963,94.43508912,39.54506602,124.2824925,114.5892475
AT1G12410,1364.79021,2103.869281,1916.341321,958.1204566,1381.311131,1076.001161
AT1G12411,0,0,0,0,0,0
AT1G12420,212.8119593,244.5779236,211.9031268,180.7774446,245.0140566,169.0394573
AT1G12430,552.9824271,449.2247576,474.4787405,496.0081137,403.0303684,459.1696796
AT1G12440,1085.423159,1589.756503,1338.214312,2189.666798,1905.960795,2042.289212
AT1G12450,135.5751864,190.920522,195.7800628,118.635198,193.5255954,166.6013882
AT1G12460,242.392,235.8429977,246.4525497,145.7518147,170.4445611,147.9095251
AT1G12470,1033.658088,859.7662722,803.849905,1010.093972,925.9045689,993.1068114
AT1G12480,22.18503051,32.44401027,25.33624342,15.81802641,18.64237387,8.939586682
AT1G12490,0.821667797,1.247846549,9.213179427,2.259718058,7.101856713,0
AT1G12500,1513.512081,1974.09324,1765.475508,1164.884659,1873.114708,1557.926152
AT1G12510,0,0,0,0,0,0
AT1G12520,506.1473627,444.2333714,503.2699262,705.0320341,433.2132595,563.193961
AT1G12530,216.0986305,293.243939,275.2437354,152.5309689,295.6147857,257.6226344
AT1G12540,0,0,0,2.259718058,0.887732089,0
AT1G12550,53.40840678,117.2975756,89.82849941,93.77829941,68.35537086,70.70400376
AT1G12560,144.6135322,189.6726754,286.7602097,100.5574536,329.348605,227.5531155
AT1G12570,0,7.487079293,8.061531998,4.519436116,8.877320891,4.063448492
AT1G12580,1115.0032,979.5595409,913.2564107,1347.921822,1189.560999,1305.179656
AT1G12590,0,0,0,0,0,0
AT1G12600,22.18503051,12.47846549,9.213179427,24.85689864,16.86690969,23.56800125
AT1G12610,0.821667797,8.734925842,27.63953828,29.37633475,25.74423058,13.81572487
AT1G12615,0.821667797,0,0,0,0,0
AT1G12620,55.05174237,129.7760411,117.4680377,44.06450213,122.5070283,77.20552135
AT1G12630,0.821667797,6.239232745,12.66812171,7.909013203,8.877320891,5.688827889
AT1G12640,741.9660204,818.5873361,846.4608598,1135.508324,816.7135219,1024.80171
AT1G12650,346.7438102,369.3625785,345.4942285,501.6574089,353.3173714,369.7738128
AT1G12660,0.821667797,2.495693098,1.151647428,2.259718058,0.887732089,0
AT1G12663,0,0,1.151647428,0,2.663196267,0
AT1G12665,2.46500339,0,1.151647428,1.129859029,7.101856713,1.625379397
AT1G12672,1.643335593,0,0,0,2.663196267,2.438069095
AT1G12680,506.9690305,381.841044,381.1952988,567.1892326,522.8742005,469.7346457
AT1G12700,44.37006102,49.91386196,63.34060856,33.89577087,47.04980072,46.32331281
AT1G12710,182.4102509,91.09279807,104.799916,159.3101231,102.9769223,112.9638681
AT1G12730,105.173478,64.88802054,65.64390341,96.03801747,73.68176339,96.71007411
AT1G12740,119.9634983,154.7329721,262.5756137,159.3101231,442.0905804,316.1362927
AT1G12750,170.9069017,199.6554478,238.3910177,117.505339,157.1285798,167.4140779
AT1G12760,1087.888163,1098.104963,1089.458467,1729.814173,1520.685069,1492.098286
AT1G12770,1147.869912,1214.154692,1115.946358,1002.184959,786.5306309,834.6323202
AT1G12775,63.26842034,61.1444809,69.0988457,62.1422466,69.24310295,57.70096858
AT1G12780,1156.08659,1160.49729,1200.01662,2553.481406,1836.717692,2265.778879
AT1G12790,95.31346441,136.0152738,124.3779223,154.790687,148.2512589,218.6135289
AT1G12800,2480.615078,2498.188791,2303.294857,1338.882949,1457.65609,1269.421309
AT1G12805,1221.820014,2413.335226,2933.246,1681.230235,582.3522504,1540.046978
AT1G12810,1506.117071,1332.700114,1307.119831,1702.697557,1137.184806,1575.805325
AT1G12820,1156.908258,1108.087735,1152.799076,1729.814173,1180.683678,1467.717595
AT1G12830,181.5885831,172.2028237,183.1119411,211.2836384,144.7003305,159.2871809
AT1G12840,2352.434902,2241.132402,2019.989589,1610.049116,1950.3474,1898.443135
